pick_reason,entry_number,scores_file,mpid__signal_score,resnet34_gn__signal_score,n_pixels,reference_folder,dataset,run_number,subrun_number,event_number
A_high_tail+C_weird_lowpix,495,run1_NuMI_dirt_larcv_cropped_scores.csv,0.9928505420684814,0.8824428915977478,54,mpid,run1_samples,7017,251,12571
A_high_tail,952,run1_NuMI_dirt_larcv_cropped_scores.csv,0.9865743517875672,0.0880661830306053,331,mpid,run1_samples,7017,1661,83075
A_high_tail,439,run1_NuMI_dirt_larcv_cropped_scores.csv,0.9857634902000428,0.9932098984718324,1732,mpid,run1_samples,7017,405,20263
A_high_tail,3245,run1_NuMI_dirt_larcv_cropped_scores.csv,0.98243248462677,0.4194788038730621,79,mpid,run1_samples,7018,417,20880
B_border,414,run1_NuMI_dirt_larcv_cropped_scores.csv,0.4993837475776672,0.0062786848284304,729,mpid,run1_samples,7014,1713,85674
B_border,2313,run1_NuMI_dirt_larcv_cropped_scores.csv,0.4979581534862518,0.892532229423523,334,mpid,run1_samples,7018,670,33519
B_border+D_busy,2926,run1_NuMI_dirt_larcv_cropped_scores.csv,0.49777352809906,0.0109110223129391,4102,mpid,run1_samples,7018,347,17395
B_border,3122,run1_NuMI_dirt_larcv_cropped_scores.csv,0.497728168964386,0.0490572527050972,140,mpid,run1_samples,7023,534,26704
D_busy,705,run1_NuMI_dirt_larcv_cropped_scores.csv,0.0003215793694835,0.0079333772882819,4916,mpid,run1_samples,7020,451,22557
D_busy,1945,run1_NuMI_dirt_larcv_cropped_scores.csv,0.0003413335653021,0.0013680603587999,2241,mpid,run1_samples,7020,780,39030
D_busy,247,run1_NuMI_dirt_larcv_cropped_scores.csv,0.0003871829540003,0.0070262192748487,2500,mpid,run1_samples,7017,1701,85059
D_busy,2002,run1_NuMI_dirt_larcv_cropped_scores.csv,0.0004318918508943,0.0039615961723029,4042,mpid,run1_samples,7020,499,24996
A_high_tail,4953,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.999585211277008,0.997687816619873,1813,mpid,run1_samples,6783,197,9860
A_high_tail+D_busy,7913,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.999537467956543,0.9919243454933168,3777,mpid,run1_samples,7008,369,18498
A_high_tail+D_busy,1650,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.9987261891365052,0.997793436050415,2935,mpid,run1_samples,6568,18,936
