pick_reason,entry_number,scores_file,mpid__signal_score,resnet34_gn__signal_score,n_pixels,reference_folder,dataset,run_number,subrun_number,event_number
A_low_tail+C_weird_lowpix,3420,run1_dt_ratio_0.6_ma_0.2_eta_larcv_cropped_scores.csv,0.0001344719348708,0.0028482757043093,606,mpid,run1_signal,7008,1348,67421
A_low_tail+D_busy,11761,run1_dt_ratio_0.6_ma_0.3_eta_larcv_cropped_scores.csv,0.0001876590540632,0.0033861219417303,4088,mpid,run1_signal,7010,1751,87583
A_low_tail,2096,run1_dt_ratio_0.6_ma_0.01_pi0_larcv_cropped_scores.csv,0.0001880307099781,0.0057314909063279,949,mpid,run1_signal,4971,175,8759
A_low_tail,121,run1_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,0.0001997098879655,0.0068352883681654,2172,mpid,run1_signal,7010,716,35834
A_low_tail,2475,run1_dt_ratio_0.6_ma_0.09_pi0_larcv_cropped_scores.csv,0.0002001548273256,0.0042590778321027,3030,mpid,run1_signal,6146,59,2979
A_low_tail,2875,run1_dt_ratio_0.6_ma_0.3_eta_larcv_cropped_scores.csv,0.0002454724453855,0.0075567117892205,2430,mpid,run1_signal,7010,732,36617
A_low_tail+D_busy,7491,run1_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,0.0002519853296689,0.0885556191205978,3507,mpid,run1_signal,7010,1211,60559
A_low_tail+D_busy,4380,run1_dt_ratio_0.6_ma_0.2_eta_larcv_cropped_scores.csv,0.0002659116580616,0.0064687710255384,3173,mpid,run1_signal,7006,582,29117
A_low_tail+D_busy,1987,run1_dt_ratio_0.6_ma_0.06_eta_larcv_cropped_scores.csv,0.0002874135971069,0.033443484455347,4347,mpid,run1_signal,5932,20,1033
A_low_tail,4369,run1_dt_ratio_0.6_ma_0.2_eta_larcv_cropped_scores.csv,0.0003379207919351,0.0025753006339073,1412,mpid,run1_signal,7008,1460,73033
B_border,11799,run1_dt_ratio_0.6_ma_0.3_eta_larcv_cropped_scores.csv,0.4999734163284302,0.2902224957942962,2176,mpid,run1_signal,7010,545,27262
B_border,10861,run1_dt_ratio_0.6_ma_0.3_eta_larcv_cropped_scores.csv,0.5000272989273071,0.9850147366523744,2448,mpid,run1_signal,7010,391,19583
B_border,4558,run1_dt_ratio_0.6_ma_0.06_eta_larcv_cropped_scores.csv,0.4999669790267944,0.4537990093231201,2333,mpid,run1_signal,5891,101,5099
B_border+C_weird_lowpix,1599,run1_dt_ratio_0.6_ma_0.04_pi0_larcv_cropped_scores.csv,0.4999535083770752,0.7629826068878174,283,mpid,run1_signal,5458,208,10407
B_border+D_busy,5067,run1_dt_ratio_0.6_ma_0.02_pi0_larcv_cropped_scores.csv,0.5000486373901367,0.9812608957290648,3547,mpid,run1_signal,6544,306,15332
B_border+D_busy,6094,run1_dt_ratio_0.6_ma_0.3_eta_larcv_cropped_scores.csv,0.4999505281448364,0.5237833857536316,4744,mpid,run1_signal,7010,1541,77075
B_border,143,run1_dt_ratio_0.6_ma_0.05_eta_larcv_cropped_scores.csv,0.5000646114349365,0.8963677883148193,2855,mpid,run1_signal,5583,23,1172
B_border,2394,run1_dt_ratio_0.6_ma_0.07_eta_larcv_cropped_scores.csv,0.5000665187835693,0.0395281910896301,2964,mpid,run1_signal,6022,150,7524
B_border,2644,run1_dt_ratio_0.6_ma_0.03_eta_larcv_cropped_scores.csv,0.5000703930854797,0.9572028517723083,2836,mpid,run1_signal,5155,62,3147
B_border,833,run1_dt_ratio_0.6_ma_0.03_pi0_larcv_cropped_scores.csv,0.4999285340309143,0.3261901140213012,2916,mpid,run1_signal,5187,228,11414
D_busy,628,run1_dt_ratio_0.6_ma_0.04_eta_larcv_cropped_scores.csv,0.9999693632125854,0.999706208705902,3059,mpid,run1_signal,5341,52,2631
D_busy,261,run1_dt_ratio_0.6_ma_0.09_eta_larcv_cropped_scores.csv,0.9999626874923706,0.9962258338928224,3461,mpid,run1_signal,6192,159,7977
