run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet18_bn__signal_score,resnet18_gn__signal_score,resnet34_bn__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
7017,251,12571,A_high_tail+C_weird_lowpix,495,0.9928505420684814,0.5348012447357178,0.0580383501946926,0.2541332542896271,0.8824428915977478,54,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7017,1661,83075,A_high_tail,952,0.9865743517875672,0.7237939834594727,0.6238492727279663,0.8562676310539246,0.0880661830306053,331,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7017,405,20263,A_high_tail,439,0.9857634902000428,0.9983983635902404,0.9973363280296326,0.999935507774353,0.9932098984718324,1732,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7018,417,20880,A_high_tail,3245,0.98243248462677,0.920894980430603,0.6578502655029297,0.8765971660614014,0.4194788038730621,79,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7014,1713,85674,B_border,414,0.4993837475776672,0.0056192581541836,0.0254236999899148,0.0432562679052352,0.0062786848284304,729,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7018,670,33519,B_border,2313,0.4979581534862518,0.0199299920350313,0.9556263089179992,0.0430621095001697,0.892532229423523,334,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7018,347,17395,B_border+D_busy,2926,0.49777352809906,0.0021830778568983,0.2205685228109359,0.0089675616472959,0.0109110223129391,4102,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7023,534,26704,B_border,3122,0.497728168964386,0.0032233237288892,0.0890497118234634,0.005242777056992,0.0490572527050972,140,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7020,451,22557,D_busy,705,0.0003215793694835,1.811367656046059e-05,0.0115501387044787,0.0013289251364767,0.0079333772882819,4916,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
7020,780,39030,D_busy,1945,0.0003413335653021,0.0013997962232679,0.0078086964786052,0.0074908551760017,0.0013680603587999,2241,run1_NuMI_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_dirt_larcv_cropped.root,mpid,run1_samples
6783,197,9860,A_high_tail,4953,0.999585211277008,0.999987006187439,0.9984914064407348,0.999996781349182,0.997687816619873,1813,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7008,369,18498,A_high_tail+D_busy,7913,0.999537467956543,0.8657715916633606,0.4169667959213257,0.9898227453231812,0.9919243454933168,3777,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6568,18,936,A_high_tail+D_busy,1650,0.9987261891365052,0.4453089833259582,0.9993396401405334,0.9666364192962646,0.997793436050415,2935,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7012,68,3405,A_high_tail+C_weird_lowpix,12411,0.9987198114395142,0.981924533843994,0.955710470676422,0.996749758720398,0.9643672108650208,583,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6371,57,2852,B_border,734,0.4999464750289917,0.0090590305626392,0.0073662339709699,0.0119629018008708,0.005425754468888,1333,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6489,117,5882,B_border+D_busy,1427,0.4998590052127838,0.0022764140740036,0.8482810258865356,0.9734294414520264,0.9576911330223083,5654,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
6596,161,8067,B_border+C_weird_lowpix,2688,0.4995426535606384,0.5601667761802673,0.1851206123828888,0.996717631816864,0.7196504473686218,439,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7004,1301,65084,B_border,6438,0.4994056224822998,0.0011049075983464,0.0110373012721538,0.0022592742461711,0.0064223012886941,2109,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
7008,528,26421,D_busy,7988,4.440649354364723e-05,2.1546004518313566e-06,0.0107945427298545,4.273129525245167e-05,0.0030080943834036,2650,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run1_samples/run1_NuMI_nu_overlay_larcv_cropped.root,mpid,run1_samples
