run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
18512,206,10325,A_high_tail+C_weird_lowpix,566,0.9993832111358644,0.8704198598861694,81,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
18519,65,3258,A_high_tail,437,0.9960556030273438,0.114837534725666,247,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
17503,48,2412,A_high_tail,2114,0.992679238319397,0.576147198677063,1291,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
18732,387,19375,A_high_tail,511,0.992548167705536,0.3148410320281982,737,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
18863,26,1341,B_border,859,0.4983141124248504,0.0048330323770642,315,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
15828,304,15203,B_border,152,0.5040997266769409,0.0210550669580698,1010,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
17361,176,8841,B_border+C_weird_lowpix,1940,0.4954057931900024,0.0447218753397464,127,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
14125,86,4336,B_border,1142,0.4942873418331146,0.0044066561385989,1443,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
15634,75,3800,D_busy,307,0.000195407148567,0.0031008389778435,2738,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
17759,31,1588,D_busy,1052,0.0002595472033135,0.0043301489204168,3000,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
18678,271,13591,D_busy,1232,0.0003703085531014,0.0033776424825191,3708,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
18740,34,1742,D_busy,568,0.0003721522225532,0.0033774264156818,2650,run3_dirt_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_samples/run3_dirt_larcv_cropped.root,mpid,run3_samples
