run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
17206,541,27071,A_low_tail,9040,0.0005976207321509,0.0022704438306391,445.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17195,162,8149,A_low_tail,1031,0.0010293007362633,0.0043048374354839,2060.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17226,172,8636,A_low_tail,8911,0.0012333738850429,0.0077153821475803,1639.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17306,31,1592,A_low_tail+C_weird_lowpix,38,0.0012551526306197,0.003379137488082,370.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17111,125,6261,A_low_tail+D_busy,2124,0.0015339704696089,0.0042816731147468,4175.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17280,30,1504,A_low_tail,1339,0.0016373378457501,0.0066482196561992,641.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17237,402,20123,A_low_tail,6181,0.0016696808161213,0.0132224904373288,625.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17226,146,7322,A_low_tail,3508,0.0017332043498754,0.012603118084371,2558.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17324,55,2787,A_low_tail,5991,0.0017500733956694,0.0075174653902649,1680.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17228,49,2482,A_low_tail,8559,0.0017693940317258,0.0031804346945136,1314.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
17057,152,7620,B_border_0p5,6762,0.4998704493045807,0.9441348314285278,2485.0,run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_pi0_larcv_cropped.root,mpid,run3_signal
