run_number,subrun_number,event_number,pick_reason,entry_number,mpid__signal_score,resnet34_gn__signal_score,n_pixels,scores_file,root_file,reference_folder,dataset
14967.0,29.0,1457.0,A_low_tail,1993,0.0001086243501049,0.0041845478117465,1603.0,run3_dt_ratio_0.6_ma_0.09_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.09_eta_larcv_cropped.root,mpid,run3_signal
17573.0,89.0,4452.0,A_low_tail,468,0.0002226580400019,0.0025336504913866,1822.0,run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped.root,mpid,run3_signal
17630.0,120.0,6046.0,A_low_tail,890,0.000226082309382,0.0062966984696686,2660.0,run3_dt_ratio_0.6_ma_0.05_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.05_eta_larcv_cropped.root,mpid,run3_signal
17475.0,160.0,8049.0,A_low_tail+D_busy,6150,0.000228063960094,0.0059276851825416,3150.0,run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped.root,mpid,run3_signal
15397.0,222.0,11139.0,A_low_tail+C_weird_lowpix,6178,0.0002550969074945,0.0059156767092645,1356.0,run3_dt_ratio_0.6_ma_0.03_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.03_pi0_larcv_cropped.root,mpid,run3_signal
16846.0,56.0,2841.0,A_low_tail,1481,0.0002634268603287,0.185251384973526,2468.0,run3_dt_ratio_0.6_ma_0.2_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.2_eta_larcv_cropped.root,mpid,run3_signal
17638.0,60.0,3040.0,A_low_tail+D_busy,9739,0.0002679230819921,0.0117473797872662,4913.0,run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped.root,mpid,run3_signal
14343.0,251.0,12563.0,A_low_tail+D_busy,5322,0.0002812706516124,0.9026119112968444,4682.0,run3_dt_ratio_0.6_ma_0.1_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.1_eta_larcv_cropped.root,mpid,run3_signal
15986.0,46.0,2314.0,A_low_tail+D_busy,2776,0.0003280374512542,0.0038608645554631,6117.0,run3_dt_ratio_0.6_ma_0.03_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.03_pi0_larcv_cropped.root,mpid,run3_signal
17550.0,61.0,3081.0,A_low_tail,3246,0.0003301791439298,0.0056424192152917,2216.0,run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.4_eta_larcv_cropped.root,mpid,run3_signal
15113.0,57.0,2867.0,B_border+C_weird_lowpix,2248,0.5000014901161194,0.0236991345882415,947.0,run3_dt_ratio_0.6_ma_0.04_pi0_larcv_cropped_scores.csv,/vols/sbn/uboone/darkTridents/data/larcv_files/run3_signal/run3_dt_ratio_0.6_ma_0.04_pi0_larcv_cropped.root,mpid,run3_signal
