run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
7001,916,45840,0.02852921560406685,0.0,2413.0
7016,378,18939,0.029464228078722954,1.0,1470.0
7017,644,32240,0.022395072504878044,2.0,1446.0
7017,1674,83722,0.004628408700227737,3.0,5762.0
7017,1674,83743,0.648395299911499,4.0,179.0
7017,1022,51131,0.060837842524051666,5.0,1119.0
7016,385,19252,0.4852791428565979,6.0,123.0
7112,25,1277,0.0007796230493113399,7.0,4039.0
7001,1145,57254,0.013940056785941124,8.0,586.0
7017,657,32867,0.8300954699516296,9.0,439.0
7014,1748,87402,0.5047796368598938,10.0,2085.0
7016,131,6582,0.031049156561493874,11.0,1918.0
7012,1639,81969,0.008562588132917881,12.0,164.0
7017,1345,67269,0.05812466889619827,13.0,296.0
7016,133,6659,0.05187990888953209,14.0,1753.0
7017,731,36561,0.07412798702716827,15.0,1434.0
7017,1348,67405,0.1125769317150116,16.0,1328.0
7017,1348,67429,0.0034123717341572046,17.0,2331.0
7020,111,5573,0.05187840014696121,18.0,1613.0
7020,288,14410,0.005408479366451502,19.0,2378.0
7014,1649,82452,0.015853438526391983,20.0,1222.0
7014,1649,82459,0.02218332141637802,21.0,460.0
7014,1649,82485,0.00478607090190053,22.0,107.0
7016,376,18806,0.01059960387647152,23.0,369.0
7016,376,18816,0.21792307496070862,24.0,464.0
7001,602,30129,0.003389514284208417,25.0,3023.0
7012,1308,65441,0.8194199800491333,26.0,1967.0
7001,776,38826,0.044473882764577866,27.0,1853.0
7017,778,38917,0.1862916350364685,28.0,1599.0
7017,48,2409,0.4098983705043793,29.0,1456.0
7017,1672,83647,0.024633701890707016,30.0,751.0
7011,66,3305,0.0038907844573259354,31.0,1286.0
7012,1297,64872,0.006184784229844809,32.0,413.0
7012,1297,64889,0.11638014018535614,33.0,607.0
7012,1297,64899,0.01296369731426239,34.0,75.0
7020,267,13388,0.05032561719417572,35.0,2156.0
7017,1065,53282,0.01973489113152027,36.0,1012.0
7017,446,22345,0.04294257611036301,37.0,1562.0
7001,885,44259,0.027360323816537857,38.0,3251.0
7017,1478,73933,0.006569070741534233,39.0,1438.0
7014,1699,84991,0.04394536092877388,40.0,2619.0
7017,9,491,0.05124871805310249,41.0,3284.0
7016,307,15376,0.012932908721268177,42.0,481.0
7020,390,19550,0.012012001127004623,43.0,165.0
7017,982,49150,0.037236567586660385,44.0,1358.0
7013,92,4632,0.0014430027222260833,45.0,3583.0
7011,129,6470,0.135862335562706,46.0,1128.0
7011,129,6493,0.04949290677905083,47.0,496.0
7001,1005,50293,0.0008578275446780026,48.0,4076.0
7020,525,26276,0.13735035061836243,49.0,1733.0
7017,1742,87120,0.09472445398569107,50.0,1644.0
7017,1009,50454,0.008672249503433704,51.0,2399.0
7017,1009,50490,0.23359449207782745,52.0,2973.0
7017,1009,50498,0.053065527230501175,53.0,3246.0
7113,57,2859,0.01477859541773796,54.0,511.0
7001,1129,56456,0.09365726262331009,55.0,464.0
7001,55,2800,0.033716849982738495,56.0,2856.0
7017,966,48328,0.9647903442382812,57.0,920.0
7017,187,9391,0.004394080024212599,58.0,2601.0
7001,1039,51977,0.02139071561396122,59.0,728.0
7001,1039,51982,0.17167527973651886,60.0,820.0
7001,507,25366,0.008109398186206818,61.0,1476.0
7011,286,14310,0.10505866259336472,62.0,2126.0
7017,323,16175,0.04484105855226517,63.0,2486.0
7017,323,16177,0.19525058567523956,64.0,1108.0
7020,121,6083,0.12666243314743042,65.0,66.0
7001,220,11003,0.7190430760383606,66.0,751.0
7014,1424,71208,0.9374344944953918,67.0,101.0
7017,1223,61156,0.09383151680231094,68.0,979.0
7017,492,24646,0.02297431416809559,69.0,948.0
7017,1549,77470,0.0546756312251091,70.0,441.0
7012,1379,68953,0.11217799782752991,71.0,1110.0
7012,1379,68964,0.057632628828287125,72.0,2807.0
7001,1150,57533,0.04697389155626297,73.0,1241.0
7017,568,28433,0.0007425683434121311,74.0,2604.0
7017,759,37957,0.4577668011188507,75.0,2466.0
7017,759,37974,0.03167156130075455,76.0,619.0
7017,988,49415,0.006501226220279932,77.0,2361.0
7017,988,49423,0.01727680303156376,78.0,2693.0
7001,938,46915,0.695710301399231,79.0,1024.0
7017,451,22600,0.8398553729057312,80.0,771.0
7017,1208,60412,0.07968572527170181,81.0,3018.0
7017,28,1435,0.004830464720726013,82.0,821.0
7017,329,16485,0.004409296903759241,83.0,1469.0
7001,1159,57961,0.008401961997151375,84.0,621.0
7017,1373,68700,0.06739526987075806,85.0,338.0
7016,264,13238,0.07759792357683182,86.0,252.0
7020,213,10681,0.01703011244535446,87.0,741.0
7017,115,5751,0.1312830150127411,88.0,2183.0
7017,344,17216,0.9745486974716187,89.0,2167.0
7001,208,10404,0.03186393156647682,90.0,308.0
7016,247,12392,0.08447165787220001,91.0,2818.0
7020,524,26244,0.07221518456935883,92.0,1660.0
7017,61,3051,0.30132123827934265,93.0,1411.0
7017,588,29450,0.004602731205523014,94.0,3344.0
7017,827,41379,0.20903946459293365,95.0,3387.0
7014,994,49739,0.01487733330577612,96.0,7461.0
7017,1180,59042,0.0025604593101888895,97.0,812.0
7014,1296,64812,0.006676715798676014,98.0,1068.0
7014,1653,82662,0.02319144643843174,99.0,2417.0
7017,60,3017,0.055886462330818176,100.0,967.0
7017,976,48850,0.004241331480443478,101.0,400.0
7011,22,1102,0.07912865281105042,102.0,3057.0
7017,1578,78944,0.010005065239965916,103.0,264.0
7017,1236,61828,0.0018582394113764167,104.0,844.0
7001,353,17678,0.07697977125644684,105.0,693.0
7001,353,17687,0.037243567407131195,106.0,2058.0
7017,1002,50106,0.004697078838944435,107.0,3409.0
7017,1002,50108,0.3440870940685272,108.0,1810.0
7013,28,1413,0.07400306314229965,109.0,549.0
7017,51,2572,0.04396631568670273,110.0,417.0
7017,51,2588,0.013014376163482666,111.0,536.0
7020,1901,95065,0.07419903576374054,112.0,1961.0
7017,420,21020,0.01502255629748106,113.0,181.0
7003,1586,79336,0.01761602982878685,114.0,397.0
7020,382,19150,0.005521839018911123,115.0,640.0
7017,360,18001,0.039213236421346664,116.0,1490.0
7017,1283,64161,0.005640298128128052,117.0,1620.0
7017,1164,58246,0.23616616427898407,118.0,616.0
7012,1742,87123,0.3648461699485779,119.0,1056.0
7014,1561,78064,0.018713893368840218,120.0,2498.0
7014,1561,78082,0.031545817852020264,121.0,262.0
7020,46,2305,0.054580818861722946,122.0,2017.0
7017,732,36643,0.0006355866207741201,123.0,2782.0
7014,1495,74775,0.003239839803427458,124.0,667.0
7017,1492,74635,0.011285349726676941,125.0,1671.0
7017,1624,81223,0.0025813914835453033,126.0,1046.0
7017,631,31594,0.008370984345674515,127.0,3579.0
7017,524,26219,0.010748433880507946,128.0,1322.0
7017,524,26236,0.01828298717737198,129.0,1479.0
7020,103,5192,0.23963195085525513,130.0,2722.0
7001,825,41259,0.013333531096577644,131.0,598.0
7014,1113,55668,0.018113208934664726,132.0,1684.0
7003,1565,78288,0.0008975398959591985,133.0,236.0
7020,64,3206,0.04978339374065399,134.0,1482.0
7020,64,3221,0.2098190039396286,135.0,953.0
7017,1029,51485,0.4191485643386841,136.0,2583.0
7016,349,17472,0.05488799512386322,137.0,229.0
7011,39,1979,0.04075375944375992,138.0,1746.0
7017,698,34924,0.0025562853552401066,139.0,730.0
7016,343,17197,0.04263797029852867,140.0,452.0
7016,9,490,0.007894773967564106,141.0,2283.0
7020,19,973,0.0318496935069561,142.0,3935.0
7013,226,11339,0.002875709440559149,143.0,596.0
7016,309,15489,0.014521071687340736,144.0,4702.0
7020,115,5784,0.6596859693527222,145.0,276.0
7020,284,14240,0.05410055071115494,146.0,827.0
7013,159,7988,0.1725090742111206,147.0,590.0
7017,1521,76067,0.08432653546333313,148.0,1137.0
7020,414,20745,0.08273167163133621,149.0,838.0
7017,417,20891,0.6613039970397949,150.0,4258.0
7001,869,43466,0.020928852260112762,151.0,819.0
7011,28,1433,0.03041035309433937,152.0,419.0
7017,1146,57327,0.2259659469127655,153.0,1963.0
7001,1072,53613,0.030986852943897247,154.0,2230.0
7017,703,35179,0.028462866321206093,155.0,3476.0
7017,341,17072,0.02675333432853222,156.0,1528.0
7017,463,23182,0.35184091329574585,157.0,811.0
7012,1322,66146,0.020966408774256706,158.0,1726.0
7017,1589,79494,0.9394435286521912,159.0,1009.0
7020,278,13940,0.022293366491794586,160.0,392.0
7020,423,21175,0.11699701100587845,161.0,3342.0
7014,1450,72512,0.10035308450460434,162.0,480.0
7001,685,34252,0.024403022602200508,163.0,388.0
7017,1667,83356,0.16320858895778656,164.0,402.0
7017,1667,83363,0.010778550989925861,165.0,525.0
7020,232,11615,0.012712140567600727,166.0,1543.0
7017,1434,71748,0.03401392698287964,167.0,890.0
7017,1099,54981,0.016892677173018456,168.0,243.0
7020,465,23287,0.004140657372772694,169.0,1063.0
7003,1509,75467,0.026027211919426918,170.0,749.0
7020,61,3055,0.25392013788223267,171.0,2435.0
7020,61,3096,0.9342581033706665,172.0,255.0
7017,1031,51553,0.025857338681817055,173.0,1134.0
7017,1031,51573,0.05770000070333481,174.0,2871.0
7017,1031,51595,0.18533183634281158,175.0,659.0
7017,871,43597,0.02650054730474949,176.0,541.0
7016,249,12478,0.1537703424692154,177.0,1043.0
7017,934,46706,0.02271709032356739,178.0,1418.0
7017,712,35643,0.041685786098241806,179.0,849.0
7017,6,324,0.05088324099779129,180.0,1353.0
7017,348,17420,0.004487138241529465,181.0,868.0
7017,319,15982,0.0016753791132941842,182.0,415.0
7017,1163,58154,0.28969264030456543,183.0,1991.0
7011,107,5392,0.007524142973124981,184.0,521.0
7012,1167,58357,0.006412392016500235,185.0,1244.0
7016,60,3044,0.006275722291320562,186.0,3637.0
7020,32,1601,0.0714116245508194,187.0,2118.0
7013,203,10184,0.0047623226419091225,188.0,1417.0
7001,892,44613,0.0012796706287190318,189.0,1234.0
7011,179,9000,0.000937099801376462,190.0,2511.0
7017,449,22485,0.05882019177079201,191.0,2714.0
7017,1604,80241,0.001137615879997611,192.0,680.0
7001,372,18639,0.5868459939956665,193.0,4268.0
7017,1287,64369,0.0005869963788427413,194.0,1233.0
7017,154,7702,0.432536244392395,195.0,58.0
7017,154,7705,0.01225446816533804,196.0,3234.0
7001,795,39753,0.040151406079530716,197.0,3917.0
7001,574,28722,0.118109792470932,198.0,962.0
7001,574,28748,0.4706830680370331,199.0,1077.0
7013,158,7932,0.005425779614597559,200.0,237.0
7001,1066,53311,0.002082061255350709,201.0,975.0
7001,695,34779,0.14023058116436005,202.0,1546.0
7016,266,13347,0.01079897303134203,203.0,1698.0
7017,1093,54668,0.005950964521616697,204.0,1232.0
7017,458,22947,0.014919007197022438,205.0,190.0
7011,307,15358,0.06381817162036896,206.0,1411.0
7011,307,15365,0.022550826892256737,207.0,658.0
7020,434,21745,0.018368933349847794,208.0,1742.0
7020,464,23239,0.010179311037063599,209.0,3002.0
7020,49,2483,0.05535420775413513,210.0,3271.0
7020,347,17387,0.015260978601872921,211.0,1200.0
7016,279,13979,0.021154699847102165,212.0,298.0
7017,1571,78571,0.25190678238868713,213.0,701.0
7017,1097,54899,0.007991082035005093,214.0,694.0
7014,1264,63214,0.0058214361779391766,215.0,939.0
7020,333,16657,0.10920891910791397,216.0,3566.0
7001,992,49637,0.020256582647562027,217.0,4134.0
7016,40,2023,0.11988475918769836,218.0,2754.0
7020,239,11994,0.16560129821300507,219.0,521.0
7017,925,46287,0.010844381526112556,220.0,282.0
7017,1453,72695,0.0002158800489269197,221.0,1477.0
7003,1381,69056,0.008630058728158474,222.0,1105.0
7017,994,49701,0.042889293283224106,223.0,323.0
7001,1170,58527,0.02865079790353775,224.0,2479.0
7011,181,9064,0.15732955932617188,225.0,1553.0
7017,1369,68477,0.03324883058667183,226.0,1611.0
7014,1729,86499,0.07988302409648895,227.0,16405.0
7001,1087,54375,0.12859338521957397,228.0,3303.0
7017,81,4077,0.12183158844709396,229.0,1228.0
7017,81,4080,0.024005455896258354,230.0,2857.0
7001,1134,56746,0.010619735345244408,231.0,2697.0
7017,1422,71139,0.05530694127082825,232.0,270.0
7017,454,22744,0.26457324624061584,233.0,1202.0
7020,201,10074,0.057173073291778564,234.0,2410.0
7017,520,26017,0.017200302332639694,235.0,1481.0
7016,399,19959,0.06912077963352203,236.0,1813.0
7013,106,5346,0.12332355231046677,237.0,680.0
7020,519,25993,0.8522510528564453,238.0,156.0
7001,1144,57238,0.017933569848537445,239.0,148.0
7017,1258,62910,0.00923600047826767,240.0,1012.0
7017,1258,62915,0.015145879238843918,241.0,2732.0
7017,1230,61520,0.0033572593238204718,242.0,278.0
7020,252,12623,0.0016896430170163512,243.0,748.0
7011,188,9442,0.0029261319432407618,244.0,1501.0
7013,165,8295,0.0023579809349030256,245.0,1334.0
7012,1737,86862,0.28644078969955444,246.0,1380.0
7017,1701,85059,0.0003871829540003091,247.0,2500.0
7017,1701,85097,0.010078505612909794,248.0,1429.0
7011,258,12901,0.11082909256219864,249.0,256.0
7017,1681,84064,0.07640238106250763,250.0,498.0
7017,1681,84074,0.21472205221652985,251.0,2652.0
7014,1239,61969,0.011143057607114315,252.0,1930.0
7003,1631,81560,0.009831522591412067,253.0,3737.0
7017,1185,59271,0.034641385078430176,254.0,1157.0
7017,1590,79521,0.40056174993515015,255.0,165.0
7016,127,6393,0.03598078340291977,256.0,583.0
6999,46,2336,0.08072364330291748,257.0,351.0
7115,43,2167,0.0035434123128652573,258.0,4934.0
7020,43,2162,0.03000756725668907,259.0,2177.0
7017,1553,77656,0.00048705650260671973,260.0,2100.0
7017,946,47329,0.6972768902778625,261.0,3327.0
7017,630,31529,0.03994038701057434,262.0,1986.0
7020,45,2272,0.0008890023455023766,263.0,1307.0
7017,496,24802,0.02593737654387951,264.0,1889.0
7016,100,5018,0.06920646131038666,265.0,1203.0
7016,100,5034,0.055464353412389755,266.0,1084.0
7016,100,5047,0.04544539004564285,267.0,2962.0
7017,89,4451,0.003920984920114279,268.0,917.0
7020,405,20299,0.0038843215443193913,269.0,1334.0
7017,1394,69711,0.286881685256958,270.0,3783.0
7017,472,23610,0.027092764154076576,271.0,2029.0
7020,273,13687,0.08652080595493317,272.0,1148.0
7011,96,4848,0.002228263532742858,273.0,2112.0
7017,927,46364,0.011223480105400085,274.0,540.0
7017,776,38809,0.3050089180469513,275.0,2851.0
7001,747,37400,0.014482935890555382,276.0,67.0
7011,198,9920,0.02404562383890152,277.0,3042.0
7016,101,5051,0.008540082722902298,278.0,2609.0
7011,103,5170,0.0041922167874872684,279.0,2322.0
7001,514,25730,0.007732856087386608,280.0,1819.0
7020,25,1273,0.08024873584508896,281.0,1029.0
7001,663,33199,0.0036161215975880623,282.0,3316.0
7020,413,20679,0.1030348539352417,283.0,439.0
7017,1712,85618,0.08177969604730606,284.0,1876.0
7017,1712,85642,0.04985770210623741,285.0,164.0
7017,30,1515,0.004595966078341007,286.0,1888.0
7017,1187,59388,0.0038560577668249607,287.0,4073.0
7020,271,13560,0.23455961048603058,288.0,2348.0
7020,271,13597,0.09003324061632156,289.0,2644.0
7014,1375,68795,0.1422443836927414,290.0,592.0
7017,893,44690,0.027531616389751434,291.0,190.0
7017,893,44698,0.001420805579982698,292.0,636.0
7017,428,21406,0.01622588001191616,293.0,2823.0
7017,392,19635,0.003886877791956067,294.0,195.0
7017,672,33606,0.04346320778131485,295.0,813.0
7017,1644,82208,0.03950724005699158,296.0,158.0
7017,1644,82243,0.6874895095825195,297.0,129.0
7020,194,9749,0.015324692241847515,298.0,1440.0
7001,335,16775,0.028818277642130852,299.0,1434.0
7016,129,6485,0.035714782774448395,300.0,2026.0
7017,313,15683,0.007472124416381121,301.0,3793.0
7017,333,16653,0.02895374596118927,302.0,1587.0
7017,333,16656,0.004167682956904173,303.0,1612.0
7017,325,16277,0.0628022849559784,304.0,617.0
7020,402,20146,0.02740391343832016,305.0,2375.0
7016,253,12655,0.002255693543702364,306.0,3218.0
7017,505,25288,0.014977270737290382,307.0,1948.0
7011,141,7053,0.027088986709713936,308.0,623.0
7016,292,14614,0.01155043300241232,309.0,5570.0
7016,47,2390,0.12725937366485596,310.0,1040.0
7017,1106,55322,0.03817937895655632,311.0,2978.0
7017,1269,63499,0.49438145756721497,312.0,819.0
7001,1049,52456,0.0031107203103601933,313.0,263.0
7020,48,2422,0.003567314241081476,314.0,1736.0
7020,324,16209,0.0042580547742545605,315.0,1548.0
7017,645,32253,0.010790740139782429,316.0,1122.0
7017,645,32297,0.012119363993406296,317.0,1219.0
7020,218,10920,0.004704929888248444,318.0,1001.0
7020,154,7710,0.006233228836208582,319.0,856.0
7017,204,10223,0.0359899066388607,320.0,2833.0
7017,1506,75350,0.015557510778307915,321.0,6651.0
7017,456,22811,0.0017754861619323492,322.0,635.0
7017,1330,66518,0.0987134575843811,323.0,656.0
7020,472,23612,0.02166052535176277,324.0,1534.0
7020,309,15499,0.010955065488815308,325.0,2225.0
7020,116,5820,0.047370605170726776,326.0,437.0
7017,359,17959,0.008982923813164234,327.0,1671.0
7012,1424,71220,0.040637943893671036,328.0,3853.0
7014,838,41914,0.19353321194648743,329.0,464.0
7017,0,12,0.032002005726099014,330.0,2565.0
7017,1601,80059,0.04020245373249054,331.0,927.0
7017,1601,80090,0.3356130123138428,332.0,2126.0
7001,1106,55328,0.06356173008680344,333.0,2080.0
7017,1294,64745,0.11756891757249832,334.0,1723.0
7001,967,48353,0.018713850528001785,335.0,837.0
