run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
6361,14,734,0.00823242962360382,0.0,937.0
6695,54,2749,0.025106502696871758,1.0,2244.0
6334,106,5339,0.10029960423707962,2.0,629.0
6692,111,5571,0.09590832889080048,3.0,2657.0
6446,28,1448,0.025050822645425797,4.0,816.0
6406,22,1110,0.007667224388569593,5.0,1070.0
6387,194,9733,0.0143267922103405,6.0,1670.0
6387,194,9735,0.21231478452682495,7.0,1339.0
6387,195,9761,0.007856293581426144,8.0,1397.0
6356,47,2364,0.035562265664339066,9.0,1030.0
6356,47,2377,0.0007903150981292129,10.0,991.0
6356,53,2658,0.04098021611571312,11.0,2491.0
6580,2,110,0.015171676874160767,12.0,1623.0
6580,9,485,0.029422463849186897,13.0,1284.0
6388,61,3078,0.019858840852975845,14.0,689.0
6388,63,3191,0.017324106767773628,15.0,2354.0
6564,212,10622,0.03372934088110924,16.0,3047.0
6564,216,10806,0.07792691886425018,17.0,2587.0
6349,57,2854,0.2599460184574127,18.0,2885.0
6349,57,2869,0.007627592422068119,19.0,1996.0
6349,60,3019,0.07800037413835526,20.0,3186.0
6431,29,1457,0.011965381912887096,21.0,2324.0
6431,91,4586,0.12338551133871078,22.0,2672.0
6423,134,6726,0.003453695448115468,23.0,1083.0
6423,149,7474,0.9899715185165405,24.0,1437.0
6487,98,4950,0.09312129020690918,25.0,2755.0
6487,127,6383,0.2353050261735916,26.0,982.0
6440,189,9499,0.0161645095795393,27.0,823.0
6690,154,7744,0.044562723487615585,28.0,1568.0
6690,157,7863,0.020374849438667297,29.0,2137.0
6690,159,7951,0.24172355234622955,30.0,1208.0
6479,14,713,0.8440362811088562,31.0,3025.0
6535,202,10104,0.0014990675263106823,32.0,1885.0
6376,13,692,0.0006288613076321781,33.0,262.0
6428,25,1266,0.06277335435152054,34.0,1468.0
6354,31,1578,0.0034556000027805567,35.0,1096.0
6568,34,1729,0.0333934910595417,36.0,2681.0
6749,57,2868,0.0110126668587327,37.0,1322.0
6749,60,3047,0.011356310918927193,38.0,640.0
6479,22,1134,0.0024005589075386524,39.0,946.0
6479,23,1168,0.7839831113815308,40.0,4356.0
6479,25,1290,0.035347241908311844,41.0,1248.0
6674,13,682,0.0032010346185415983,42.0,1152.0
6658,64,3240,0.12563174962997437,43.0,2339.0
6343,119,5958,0.19322426617145538,44.0,2875.0
6343,124,6250,0.00508603872731328,45.0,1251.0
6407,131,6554,0.08967670053243637,46.0,262.0
6686,21,1079,0.001130028860643506,47.0,764.0
6686,22,1147,0.038332853466272354,48.0,1875.0
6387,111,5588,0.01965167373418808,49.0,4839.0
6591,62,3141,0.021537942811846733,50.0,1544.0
6633,31,1553,0.0029476238414645195,51.0,1984.0
6620,107,5365,0.03661623224616051,52.0,3450.0
6633,39,1972,0.06424988061189651,53.0,2520.0
6479,2,137,0.0039667836390435696,54.0,1370.0
6480,145,7268,0.030721956863999367,55.0,821.0
6480,148,7402,0.011919733136892319,56.0,1064.0
6343,40,2019,0.04209766536951065,57.0,441.0
6599,48,2448,0.09306056052446365,58.0,1959.0
6634,72,3608,0.0011677658185362816,59.0,827.0
