run_number,subrun_number,event_number,signal_score,weight
7001,916,45840,0.0285292156040668,0.970322
7016,378,18939,0.0294642280787229,0.507363
7017,644,32240,0.022395072504878,0.919102
7017,1674,83722,0.0046284087002277,0.932937
7017,1674,83743,0.648395299911499,0.66590622945
7017,1022,51131,0.0608378425240516,0.887232
7016,385,19252,0.4852791428565979,0.7876884426599999
7112,25,1277,0.0007796230493113,0.877913
7001,1145,57254,0.0139400567859411,0.8256308099999999
7017,657,32867,0.8300954699516296,0.996211
7014,1748,87402,0.5047796368598938,0.496891
7016,131,6582,0.0310491565614938,0.522867
7012,1639,81969,0.0085625881329178,0.97056
7017,1345,67269,0.0581246688961982,1.03943
7016,133,6659,0.051879908889532,0.744447
7017,731,36561,0.0741279870271682,0.98778693888
7017,1348,67405,0.1125769317150116,0.893632
7017,1348,67429,0.0034123717341572,1.06481
7020,111,5573,0.0518784001469612,1.2623580027
7020,288,14410,0.0054084793664515,1.22156
7014,1649,82452,0.0158534385263919,1.2257430498
7014,1649,82459,0.022183321416378,1.6658229876000001
7014,1649,82485,0.0047860709019005,0.917328
7016,376,18806,0.0105996038764715,8.5833065586e-09
7016,376,18816,0.2179230749607086,0.99674
7001,602,30129,0.0033895142842084,0.944818
7012,1308,65441,0.8194199800491333,1.4055988092
7001,776,38826,0.0444738827645778,0.769218
7017,778,38917,0.1862916350364685,1.17123
7017,48,2409,0.4098983705043793,0.984132
7017,1672,83647,0.024633701890707,1.07223300478
7011,66,3305,0.0038907844573259,0.951733
7012,1297,64872,0.0061847842298448,0.978585
7012,1297,64889,0.1163801401853561,1.0493670384
7012,1297,64899,0.0129636973142623,0.9961577396799999
7020,267,13388,0.0503256171941757,0.547637
7017,1065,53282,0.0197348911315202,0.87681
7017,446,22345,0.042942576110363,0.7854709896000001
7001,885,44259,0.0273603238165378,0.94651
7017,1478,73933,0.0065690707415342,1.1980819494
7014,1699,84991,0.0439453609287738,0.694572
7017,9,491,0.0512487180531024,1.08148
7016,307,15376,0.0129329087212681,0.88326
7020,390,19550,0.0120120011270046,1.06615
7017,982,49150,0.0372365675866603,0.976925
7013,92,4632,0.001443002722226,0.77899230028
7011,129,6470,0.135862335562706,1.3232023471
7011,129,6493,0.0494929067790508,0.23736736214
7001,1005,50293,0.000857827544678,1.07238921147
7020,525,26276,0.1373503506183624,1.10273
7017,1742,87120,0.094724453985691,1.2640607628
7017,1009,50454,0.0086722495034337,1.2528881105
7017,1009,50490,0.2335944920778274,0.862094
7017,1009,50498,0.0530655272305011,1.15483
7113,57,2859,0.0147785954177379,0.770011
7001,1129,56456,0.09365726262331,0.439411
7001,55,2800,0.0337168499827384,0.682002
7017,966,48328,0.9647903442382812,1.64277
7017,187,9391,0.0043940800242125,1.11733602339
7001,1039,51977,0.0213907156139612,1.09855236984
7001,1039,51982,0.1716752797365188,1.499484448
7001,507,25366,0.0081093981862068,1.07057
7011,286,14310,0.1050586625933647,1.1854
7017,323,16175,0.0448410585522651,0.940524
7017,323,16177,0.1952505856752395,0.601465
7020,121,6083,0.1266624331474304,1.2163974148300002e-16
7001,220,11003,0.7190430760383606,0.989183
7014,1424,71208,0.9374344944953918,0.80115644844
7017,1223,61156,0.0938315168023109,0.925399
7017,492,24646,0.0229743141680955,1.0761137178500002
7017,1549,77470,0.0546756312251091,1.01525
7012,1379,68953,0.1121779978275299,1.06412
7012,1379,68964,0.0576326288282871,1.22963
7001,1150,57533,0.0469738915562629,0.877913
7017,568,28433,0.0007425683434121,0.3556290339
7017,759,37957,0.4577668011188507,0.471846
7017,759,37974,0.0316715613007545,1.09499
7017,988,49415,0.0065012262202799,0.508678
7017,988,49423,0.0172768030315637,0.614188
7001,938,46915,0.695710301399231,0.92179
7017,451,22600,0.8398553729057312,1.01396
7017,1208,60412,0.0796857252717018,0.390226
7017,28,1435,0.004830464720726,0.7280683776600001
7017,329,16485,0.0044092969037592,0.470257
7001,1159,57961,0.0084019619971513,0.936247
7017,1373,68700,0.067395269870758,0.95328
7016,264,13238,0.0775979235768318,0.7287713380799999
7020,213,10681,0.0170301124453544,1.0
7017,115,5751,0.1312830150127411,0.58938618974
7017,344,17216,0.9745486974716188,1.02132
7001,208,10404,0.0318639315664768,0.680546
7016,247,12392,0.0844716578722,1.1718113664
7020,524,26244,0.0722151845693588,1.0235
7017,61,3051,0.3013212382793426,1.2803832279999998
7017,588,29450,0.004602731205523,1.13281
7017,827,41379,0.2090394645929336,0.40125
7014,994,49739,0.0148773333057761,1.01619
7017,1180,59042,0.0025604593101888,0.482088
7014,1296,64812,0.006676715798676,0.978293
7014,1653,82662,0.0231914464384317,0.987326
7017,60,3017,0.0558864623308181,0.99299
7017,976,48850,0.0042413314804434,0.991028
7011,22,1102,0.0791286528110504,0.508685
7017,1578,78944,0.0100050652399659,1.42443
7017,1236,61828,0.0018582394113764,1.0
7001,353,17678,0.0769797712564468,0.549759
7001,353,17687,0.0372435674071311,1.0967
7017,1002,50106,0.0046970788389444,0.8401417674
7017,1002,50108,0.3440870940685272,1.2629061704
7013,28,1413,0.0740030631422996,0.998413
7017,51,2572,0.0439663156867027,8.995878518900001e-06
7017,51,2588,0.0130143761634826,1.05994
7020,1901,95065,0.0741990357637405,1.2389
7017,420,21020,0.015022556297481,0.9834946226
7003,1586,79336,0.0176160298287868,1.2255751382
7020,382,19150,0.0055218390189111,0.971833
7017,360,18001,0.0392132364213466,1.04962
7017,1283,64161,0.005640298128128,1.0814993354
7017,1164,58246,0.236166164278984,1.03454
7012,1742,87123,0.3648461699485779,1.01778
7014,1561,78064,0.0187138933688402,1.39742470049
7014,1561,78082,0.0315458178520202,1.01811
7020,46,2305,0.0545808188617229,1.18029
7017,732,36643,0.0006355866207741,0.573195
7014,1495,74775,0.0032398398034274,1.313745454
7017,1492,74635,0.0112853497266769,0.978335
7017,1624,81223,0.0025813914835453,1.3810856457e-12
7017,631,31594,0.0083709843456745,0.889428
7017,524,26219,0.0107484338805079,0.550752
7017,524,26236,0.0182829871773719,0.652712
7020,103,5192,0.2396319508552551,1.2243856872
7001,825,41259,0.0133335310965776,0.648397
7014,1113,55668,0.0181132089346647,1.59766
7003,1565,78288,0.0008975398959591,0.868058
7020,64,3206,0.0497833937406539,0.739459
7020,64,3221,0.2098190039396286,1.04807
7017,1029,51485,0.4191485643386841,1.00245
7016,349,17472,0.0548879951238632,0.8175168403
7011,39,1979,0.0407537594437599,1.111718776
7017,698,34924,0.0025562853552401,1.1988381810000002
7016,343,17197,0.0426379702985286,0.8361410938000001
7016,9,490,0.0078947739675641,1.425583566
7020,19,973,0.0318496935069561,1.1952312384700001
7013,226,11339,0.0028757094405591,0.974703
7016,309,15489,0.0145210716873407,0.992557
7020,115,5784,0.6596859693527222,1.01289
7020,284,14240,0.0541005507111549,0.956103
7013,159,7988,0.1725090742111206,1.18279
7017,1521,76067,0.0843265354633331,1.05813226857
7020,414,20745,0.0827316716313362,0.748205
7017,417,20891,0.6613039970397949,1.0673173328399999
7001,869,43466,0.0209288522601127,5.376324121200001e-07
7011,28,1433,0.0304103530943393,0.7945127078
7017,1146,57327,0.2259659469127655,0.8899659432
7001,1072,53613,0.0309868529438972,0.9758404568
7017,703,35179,0.028462866321206,0.785016
7017,341,17072,0.0267533343285322,1.01884
7017,463,23182,0.3518409132957458,1.00958
7012,1322,66146,0.0209664087742567,1.12347
7017,1589,79494,0.9394435286521912,0.9085103512999999
7020,278,13940,0.0222933664917945,1.27664
7020,423,21175,0.1169970110058784,0.380015
7014,1450,72512,0.1003530845046043,0.935848
7001,685,34252,0.0244030226022005,1.1713186747
7017,1667,83356,0.1632085889577865,1.10305692077
7017,1667,83363,0.0107785509899258,1.2193040339999999
7020,232,11615,0.0127121405676007,0.984386
7017,1434,71748,0.0340139269828796,0.627437
7017,1099,54981,0.0168926771730184,1.13215
7020,465,23287,0.0041406573727726,0.935765
7003,1509,75467,0.0260272119194269,0.7482849320399999
7020,61,3055,0.2539201378822326,1.0873
7020,61,3096,0.9342581033706664,1.4030944811000001
7017,1031,51553,0.025857338681817,1.0
7017,1031,51573,0.0577000007033348,1.03582
7017,1031,51595,0.1853318363428115,1.01946
7017,871,43597,0.0265005473047494,0.576397
7016,249,12478,0.1537703424692154,1.01344
7017,934,46706,0.0227170903235673,0.966464
7017,712,35643,0.0416857860982418,1.03575
7017,6,324,0.0508832409977912,1.23099
