run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
4982,94,4705,0.13690677285194397,0.0,321.0
5226,40,2017,0.0019160486990585923,1.0,761.0
5454,29,1467,0.009055251255631447,2.0,1086.0
5454,105,5256,0.08212872594594955,3.0,2039.0
5169,127,6396,0.0788622722029686,4.0,726.0
5513,90,4508,0.0561617948114872,5.0,1132.0
5121,2,123,0.029784129932522774,6.0,1676.0
5347,3,157,0.0013835522113367915,7.0,2907.0
5519,16,813,0.05096364766359329,8.0,1243.0
5029,109,5452,0.03279348462820053,9.0,1012.0
5480,36,1817,0.0029973508790135384,10.0,2595.0
5497,30,1520,0.06608153134584427,11.0,3572.0
5497,38,1912,0.08345045894384384,12.0,865.0
5169,16,822,0.019640520215034485,13.0,101.0
5540,3,166,0.24226263165473938,14.0,2115.0
5497,89,4493,0.010346977971494198,15.0,1382.0
5432,10,523,0.0206083245575428,16.0,3711.0
5332,45,2275,0.023006383329629898,17.0,415.0
5217,85,4263,0.05765175446867943,18.0,391.0
5147,4,235,0.05315892770886421,19.0,891.0
5091,46,2312,0.002160431817173958,20.0,877.0
5774,104,5215,0.007812395691871643,21.0,6174.0
5625,111,5551,0.02589094452559948,22.0,2735.0
5441,83,4177,0.134582057595253,23.0,317.0
5566,37,1881,0.14191579818725586,24.0,2034.0
5217,50,2525,0.03213777393102646,25.0,1803.0
5412,26,1330,0.06608680635690689,26.0,726.0
5412,27,1398,0.2902680039405823,27.0,338.0
5136,11,563,0.0759582594037056,28.0,2307.0
5092,65,3267,0.0008558182162232697,29.0,459.0
5489,25,1281,0.018890434876084328,30.0,1167.0
5360,13,685,0.008644990622997284,31.0,897.0
4981,1,94,0.11540468782186508,32.0,183.0
5078,39,1973,0.06721937656402588,33.0,3217.0
4957,52,2605,0.5825715661048889,34.0,2502.0
5588,148,7432,0.00732573214918375,35.0,844.0
5071,45,2261,0.02199043519794941,36.0,879.0
5019,67,3351,0.03783130645751953,37.0,54.0
5226,5,290,0.004715575836598873,38.0,1118.0
5589,40,2043,0.2498706579208374,39.0,376.0
5093,101,5065,0.13388559222221375,40.0,178.0
5337,8,436,0.07308466732501984,41.0,1625.0
5382,13,654,0.05380520224571228,42.0,4344.0
5162,0,45,0.0950050801038742,43.0,9903.0
5061,98,4923,0.024720782414078712,44.0,2709.0
5162,37,1863,0.03824703395366669,45.0,3984.0
5151,62,3112,0.0010380740277469158,46.0,1057.0
5383,9,496,0.005614676978439093,47.0,785.0
5577,7,375,0.006509954109787941,48.0,3950.0
5577,16,837,0.0034170271828770638,49.0,2191.0
5564,76,3827,0.9764403700828552,50.0,1343.0
5463,2,111,0.017988912761211395,51.0,2675.0
5463,3,168,0.010588412173092365,52.0,933.0
5581,34,1735,0.0005524755106307566,53.0,3189.0
5385,3,195,0.029673906043171883,54.0,715.0
5144,17,886,0.12721921503543854,55.0,746.0
5142,26,1328,0.027639638632535934,56.0,1200.0
5005,171,8573,0.031998105347156525,57.0,2380.0
4999,132,6648,0.003199650440365076,58.0,769.0
5602,84,4227,0.0017809659475460649,59.0,331.0
5184,4,201,0.1498464196920395,60.0,1348.0
5077,30,1529,0.11788460612297058,61.0,1783.0
5782,84,4234,0.015834955498576164,62.0,922.0
5564,65,3287,0.033113423734903336,63.0,1580.0
5099,8,439,0.01899009197950363,64.0,2779.0
5091,51,2573,0.0324917808175087,65.0,2165.0
5427,25,1276,0.8650261163711548,66.0,2305.0
5338,37,1870,0.015044275671243668,67.0,1428.0
4955,24,1210,0.009063166566193104,68.0,1833.0
5532,69,3453,0.03413623943924904,69.0,112.0
5130,59,2996,0.021935774013400078,70.0,86.0
4971,141,7055,0.7660067677497864,71.0,201.0
5448,9,490,0.04850723594427109,72.0,1119.0
5586,11,554,0.009021822363138199,73.0,1814.0
5341,148,7404,0.019279720261693,74.0,744.0
5037,9,471,0.005062158685177565,75.0,2173.0
5046,50,2502,0.04712254926562309,76.0,1265.0
5533,1,69,0.03939886763691902,77.0,1163.0
5533,4,231,0.016275154426693916,78.0,603.0
4992,43,2166,0.003530388232320547,79.0,1833.0
5411,81,4052,0.007955643348395824,80.0,5400.0
5419,45,2281,0.04819071292877197,81.0,494.0
5582,41,2057,0.01363541092723608,82.0,46.0
5616,210,10513,0.010406694374978542,83.0,1470.0
5576,37,1856,0.002239514607936144,84.0,3520.0
4997,11,567,0.12235348671674728,85.0,997.0
4997,11,582,0.19201284646987915,86.0,1166.0
5474,11,574,0.009980238974094391,87.0,2964.0
5427,15,767,0.011268023401498795,88.0,528.0
5031,35,1778,0.007675500120967627,89.0,1281.0
5519,151,7556,0.05046139284968376,90.0,196.0
5382,115,5796,0.0022052263375371695,91.0,1236.0
5412,19,991,0.00695209251716733,92.0,2007.0
5769,55,2796,0.32730042934417725,93.0,539.0
5361,57,2872,0.01764541305601597,94.0,4048.0
5598,22,1124,0.013218722306191921,95.0,3111.0
5519,62,3143,0.006573967635631561,96.0,5764.0
5005,189,9462,0.218384250998497,97.0,3015.0
5418,39,1973,0.005116146057844162,98.0,1373.0
5170,15,773,0.002035902813076973,99.0,202.0
5092,53,2687,0.45274412631988525,100.0,1701.0
5418,87,4373,0.0012314821360632777,101.0,2946.0
5153,62,3119,0.007179995067417622,102.0,2587.0
5527,103,5181,0.055763982236385345,103.0,252.0
5364,147,7394,0.0027597276493906975,104.0,610.0
5412,94,4742,0.02827361598610878,105.0,1207.0
5365,18,950,0.010869349353015423,106.0,1323.0
5049,21,1075,0.045153092592954636,107.0,210.0
4998,71,3562,0.026608632877469063,108.0,1672.0
4998,75,3789,0.011488414369523525,109.0,6479.0
5090,162,8140,0.047998201102018356,110.0,48.0
5106,189,9456,0.17262274026870728,111.0,2656.0
4998,107,5377,0.0024139476008713245,112.0,1239.0
4998,109,5487,0.0028083431534469128,113.0,2480.0
5497,22,1121,0.015507417730987072,114.0,1214.0
5497,23,1178,0.003476328682154417,115.0,1551.0
5169,22,1142,0.04672321677207947,116.0,2091.0
5512,210,10532,0.014577426947653294,117.0,342.0
5061,147,7388,0.01623453013598919,118.0,1164.0
5061,152,7626,0.013560815714299679,119.0,3226.0
5363,11,595,0.25441238284111023,120.0,561.0
