run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
4982,94,4705,0.00039247667882591486,0.0,321.0
5226,40,2017,0.0007408225210383534,1.0,761.0
5454,29,1467,0.001631056540645659,2.0,1086.0
5454,105,5256,0.0024599418975412846,3.0,2039.0
5169,127,6396,0.006107380613684654,4.0,726.0
5513,90,4508,3.0924577004043385e-05,5.0,1132.0
5121,2,123,0.03638164699077606,6.0,1676.0
5347,3,157,3.7068145957164234e-06,7.0,2907.0
5519,16,813,0.031894948333501816,8.0,1243.0
5029,109,5452,0.009087097831070423,9.0,1012.0
5480,36,1817,2.1058458514744416e-06,10.0,2595.0
5497,30,1520,0.5098164081573486,11.0,3572.0
5497,38,1912,0.004519833251833916,12.0,865.0
5169,16,822,0.0036817642394453287,13.0,101.0
5540,3,166,0.00021572798141278327,14.0,2115.0
5497,89,4493,0.0019710154738277197,15.0,1382.0
5432,10,523,0.006364662665873766,16.0,3711.0
5332,45,2275,0.004050400108098984,17.0,415.0
5217,85,4263,0.0006441370351240039,18.0,391.0
5147,4,235,0.0009721525711938739,19.0,891.0
5091,46,2312,0.0026912111788988113,20.0,877.0
5774,104,5215,0.00041179722757078707,21.0,6174.0
5625,111,5551,0.007935932837426662,22.0,2735.0
5441,83,4177,0.0018260508077219129,23.0,317.0
5566,37,1881,0.000441305513959378,24.0,2034.0
5217,50,2525,0.0006260151858441532,25.0,1803.0
5412,26,1330,0.005691130645573139,26.0,726.0
5412,27,1398,0.13470527529716492,27.0,338.0
5136,11,563,0.0026942396070808172,28.0,2307.0
5092,65,3267,0.0006191735155880451,29.0,459.0
5489,25,1281,0.0017666908679530025,30.0,1167.0
5360,13,685,0.0028886771760880947,31.0,897.0
4981,1,94,0.0005048296297900379,32.0,183.0
5078,39,1973,0.0011092040222138166,33.0,3217.0
4957,52,2605,0.13315121829509735,34.0,2502.0
5588,148,7432,0.002361391205340624,35.0,844.0
5071,45,2261,0.0004158089868724346,36.0,879.0
5019,67,3351,0.0070828841999173164,37.0,54.0
5226,5,290,0.000649529742076993,38.0,1118.0
5589,40,2043,0.007669099606573582,39.0,376.0
5093,101,5065,0.003930606413632631,40.0,178.0
5337,8,436,0.0007840549224056304,41.0,1625.0
5382,13,654,0.0008768781553953886,42.0,4344.0
5162,0,45,0.0009317976073361933,43.0,9903.0
5061,98,4923,0.004431558307260275,44.0,2709.0
5162,37,1863,9.956417557077657e-08,45.0,3984.0
5151,62,3112,0.002591458847746253,46.0,1057.0
5383,9,496,0.001181428786367178,47.0,785.0
5577,7,375,4.040962721774122e-06,48.0,3950.0
5577,16,837,3.5720742744160816e-05,49.0,2191.0
5564,76,3827,0.514550507068634,50.0,1343.0
5463,2,111,0.0010641133412718773,51.0,2675.0
5463,3,168,4.9479327572043985e-05,52.0,933.0
5581,34,1735,1.1573368965400732e-06,53.0,3189.0
5385,3,195,0.0014179095160216093,54.0,715.0
5144,17,886,0.006587727926671505,55.0,746.0
5142,26,1328,0.04444856196641922,56.0,1200.0
5005,171,8573,0.0001064221651176922,57.0,2380.0
4999,132,6648,0.00015462988812942058,58.0,769.0
5602,84,4227,0.0023072899784892797,59.0,331.0
5184,4,201,0.005000720731914043,60.0,1348.0
5077,30,1529,0.014020762406289577,61.0,1783.0
5782,84,4234,0.002269574673846364,62.0,922.0
5564,65,3287,2.456349193380447e-06,63.0,1580.0
5099,8,439,7.515871402574703e-05,64.0,2779.0
5091,51,2573,0.006821547169238329,65.0,2165.0
5427,25,1276,0.36526113748550415,66.0,2305.0
5338,37,1870,0.00159177603200078,67.0,1428.0
4955,24,1210,0.013346925377845764,68.0,1833.0
5532,69,3453,0.003494872245937586,69.0,112.0
5130,59,2996,0.3962387144565582,70.0,86.0
4971,141,7055,0.0034156017936766148,71.0,201.0
5448,9,490,0.00451374426484108,72.0,1119.0
5586,11,554,0.001984372502192855,73.0,1814.0
5341,148,7404,0.00045920212869532406,74.0,744.0
5037,9,471,0.007036699913442135,75.0,2173.0
5046,50,2502,0.000377628777641803,76.0,1265.0
5533,1,69,0.0003201483632437885,77.0,1163.0
5533,4,231,2.9854658350814134e-05,78.0,603.0
4992,43,2166,0.002226121025159955,79.0,1833.0
5411,81,4052,8.320595270561171e-07,80.0,5400.0
5419,45,2281,0.004735115449875593,81.0,494.0
5582,41,2057,0.02966281585395336,82.0,46.0
5616,210,10513,0.047198884189128876,83.0,1470.0
5576,37,1856,0.027527986094355583,84.0,3520.0
4997,11,567,0.0004397883894853294,85.0,997.0
4997,11,582,0.001421740627847612,86.0,1166.0
5474,11,574,0.0009938650764524937,87.0,2964.0
5427,15,767,0.005756236147135496,88.0,528.0
5031,35,1778,0.41282516717910767,89.0,1281.0
5519,151,7556,0.006246300879865885,90.0,196.0
5382,115,5796,3.383252624189481e-05,91.0,1236.0
5412,19,991,0.0029911960009485483,92.0,2007.0
5769,55,2796,0.07482519745826721,93.0,539.0
5361,57,2872,0.001118938555009663,94.0,4048.0
5598,22,1124,0.0007355902926065028,95.0,3111.0
5519,62,3143,0.0033874206710606813,96.0,5764.0
5005,189,9462,0.012796463444828987,97.0,3015.0
5418,39,1973,0.003427256131544709,98.0,1373.0
5170,15,773,0.010636793449521065,99.0,202.0
5092,53,2687,7.49242099118419e-05,100.0,1701.0
5418,87,4373,0.001335293403826654,101.0,2946.0
5153,62,3119,0.004503204021602869,102.0,2587.0
5527,103,5181,0.00012800368131138384,103.0,252.0
5364,147,7394,9.298822988057509e-05,104.0,610.0
5412,94,4742,2.6783787689055316e-05,105.0,1207.0
5365,18,950,0.0010696526151150465,106.0,1323.0
5049,21,1075,0.009548123925924301,107.0,210.0
4998,71,3562,0.007017691154032946,108.0,1672.0
4998,75,3789,0.0009388827602379024,109.0,6479.0
5090,162,8140,0.007140395697206259,110.0,48.0
