run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
6361,14,734,0.009115338325500488,0.0,937.0
6695,54,2749,0.022775091230869293,1.0,2244.0
6334,106,5339,0.006804736331105232,2.0,629.0
6692,111,5571,0.19847644865512848,3.0,2657.0
6446,28,1448,0.009850041940808296,4.0,816.0
6406,22,1110,0.010721742175519466,5.0,1070.0
6387,194,9733,0.020369183272123337,6.0,1670.0
6387,194,9735,0.017672471702098846,7.0,1339.0
6387,195,9761,0.010040185414254665,8.0,1397.0
6356,47,2364,0.07692579180002213,9.0,1030.0
6356,47,2377,0.010783286765217781,10.0,991.0
6356,53,2658,0.6113442778587341,11.0,2491.0
6580,2,110,0.2833506464958191,12.0,1623.0
6580,9,485,0.030352143570780754,13.0,1284.0
6388,61,3078,0.009805066511034966,14.0,689.0
6388,63,3191,0.021800264716148376,15.0,2354.0
6564,212,10622,0.03870997205376625,16.0,3047.0
6564,216,10806,0.02026211842894554,17.0,2587.0
6349,57,2854,0.33959925174713135,18.0,2885.0
6349,57,2869,0.008584232069551945,19.0,1996.0
6349,60,3019,0.014088058844208717,20.0,3186.0
6431,29,1457,0.03606056421995163,21.0,2324.0
6431,91,4586,0.5491418838500977,22.0,2672.0
6423,134,6726,0.00353801716119051,23.0,1083.0
6423,149,7474,0.9928892850875854,24.0,1437.0
6487,98,4950,0.22910667955875397,25.0,2755.0
6487,127,6383,0.00593901053071022,26.0,982.0
6440,189,9499,0.01478005200624466,27.0,823.0
6690,154,7744,0.05502348020672798,28.0,1568.0
6690,157,7863,0.007816143333911896,29.0,2137.0
6690,159,7951,0.00980200245976448,30.0,1208.0
6479,14,713,0.23415984213352203,31.0,3025.0
6535,202,10104,0.009842162020504475,32.0,1885.0
6376,13,692,0.011485585011541843,33.0,262.0
6428,25,1266,0.015802817419171333,34.0,1468.0
6354,31,1578,0.008400087244808674,35.0,1096.0
6568,34,1729,0.013481060974299908,36.0,2681.0
6749,57,2868,0.017233366146683693,37.0,1322.0
6749,60,3047,0.007793191354721785,38.0,640.0
6479,22,1134,0.0033215798903256655,39.0,946.0
6479,23,1168,0.38925591111183167,40.0,4356.0
6479,25,1290,0.010276858694851398,41.0,1248.0
6674,13,682,0.0285131074488163,42.0,1152.0
6658,64,3240,0.10780072212219238,43.0,2339.0
6343,119,5958,0.03494156152009964,44.0,2875.0
6343,124,6250,0.011983361095190048,45.0,1251.0
6407,131,6554,0.04882511496543884,46.0,262.0
6686,21,1079,0.012410511262714863,47.0,764.0
6686,22,1147,0.0075698974542319775,48.0,1875.0
6387,111,5588,0.5880316495895386,49.0,4839.0
6591,62,3141,0.06901250779628754,50.0,1544.0
6633,31,1553,0.004381602164357901,51.0,1984.0
6620,107,5365,0.015383017249405384,52.0,3450.0
6633,39,1972,0.017516810446977615,53.0,2520.0
6479,2,137,0.013589683920145035,54.0,1370.0
6480,145,7268,0.012123344466090202,55.0,821.0
6480,148,7402,0.011015730910003185,56.0,1064.0
6343,40,2019,0.01812559925019741,57.0,441.0
6599,48,2448,0.03925579413771629,58.0,1959.0
6634,72,3608,0.005506500136107206,59.0,827.0
6605,115,5764,0.018881749361753464,60.0,3027.0
6572,132,6612,0.08687885850667953,61.0,1124.0
6572,135,6771,0.010897845961153507,62.0,1176.0
6376,41,2074,0.0049642776139080524,63.0,570.0
6468,147,7376,0.013148287311196327,64.0,4463.0
6488,23,1186,0.14200320839881897,65.0,1643.0
6487,93,4698,0.012322797439992428,66.0,2356.0
5091,52,2617,0.7435014843940735,67.0,555.0
6341,26,1335,0.017850160598754883,68.0,1933.0
6658,29,1456,0.017552148550748825,69.0,5690.0
6379,188,9411,0.010411733761429787,70.0,595.0
6379,191,9573,0.019434036687016487,71.0,2989.0
6697,78,3947,0.04342615604400635,72.0,1078.0
6697,80,4050,0.010711554437875748,73.0,763.0
6527,222,11120,0.03762931004166603,74.0,1939.0
6749,207,10359,0.008120674639940262,75.0,368.0
6749,210,10504,0.01996198110282421,76.0,3399.0
6752,93,4658,0.020359432324767113,77.0,1405.0
6457,160,8025,0.005686532240360975,78.0,977.0
6647,69,3456,0.23021145164966583,79.0,83.0
6647,70,3522,0.013247999362647533,80.0,1729.0
6647,77,3863,0.01691012643277645,81.0,758.0
6549,29,1490,0.011174737475812435,82.0,1048.0
6549,30,1519,0.003270497778430581,83.0,878.0
6633,21,1074,0.01616664044559002,84.0,1459.0
6446,147,7381,0.006003368645906448,85.0,674.0
6535,149,7492,0.011526281014084816,86.0,758.0
6535,152,7650,0.005576660856604576,87.0,2138.0
6680,33,1685,0.011135872453451157,88.0,947.0
6666,0,40,0.030527126044034958,89.0,1511.0
6647,48,2401,0.021072952076792717,90.0,2762.0
6579,81,4063,0.010800812393426895,91.0,808.0
6579,83,4184,0.03701261803507805,92.0,3966.0
6579,88,4421,0.022562401369214058,93.0,2170.0
6406,132,6648,0.32345131039619446,94.0,4219.0
6655,20,1032,0.03224603086709976,95.0,1414.0
6369,95,4778,0.014232623390853405,96.0,1404.0
6369,97,4866,0.023776790127158165,97.0,194.0
6369,100,5019,0.01222021970897913,98.0,942.0
6412,21,1079,0.37320056557655334,99.0,1057.0
6412,37,1891,0.015220564790070057,100.0,1133.0
6528,97,4888,0.011574934236705303,101.0,857.0
6528,98,4904,0.04670942574739456,102.0,1781.0
6382,205,10293,0.0054214876145124435,103.0,2107.0
6596,36,1824,0.015033390372991562,104.0,2625.0
6596,40,2042,0.009171810932457447,105.0,3226.0
6687,199,10000,0.9981275200843811,106.0,1623.0
6647,182,9111,0.07904466241598129,107.0,101.0
6647,182,9127,0.006458347197622061,108.0,585.0
6647,192,9602,0.008552190847694874,109.0,584.0
6640,44,2247,0.0070169465616345406,110.0,1084.0
6589,48,2432,0.05791469290852547,111.0,2653.0
6481,20,1039,0.009799354709684849,112.0,983.0
6481,25,1287,0.009086990728974342,113.0,583.0
6560,8,446,0.008078072220087051,114.0,1035.0
6698,46,2331,0.004766358993947506,115.0,1070.0
6356,24,1244,0.062151890248060226,116.0,1323.0
6356,27,1400,0.015386261977255344,117.0,2383.0
6356,31,1557,0.010259350761771202,118.0,657.0
6650,33,1660,0.024379903450608253,119.0,1357.0
6650,33,1666,0.01833619363605976,120.0,1381.0
6693,43,2191,0.017820941284298897,121.0,1093.0
6468,34,1722,0.016076944768428802,122.0,1696.0
6664,70,3541,0.33850327134132385,123.0,1839.0
6551,205,10284,0.014759756624698639,124.0,1536.0
6551,205,10291,0.012214181944727898,125.0,707.0
6577,75,3790,0.011142195202410221,126.0,430.0
6339,11,559,0.012171333655714989,127.0,1155.0
6339,18,920,0.01652282290160656,128.0,1267.0
6339,19,974,0.0034760874696075916,129.0,301.0
6535,195,9789,0.05133771896362305,130.0,3213.0
6535,212,10606,0.020002301782369614,131.0,1511.0
6668,129,6476,0.033158015459775925,132.0,1217.0
6544,104,5201,0.06709731370210648,133.0,1474.0
6544,108,5404,0.013346134684979916,134.0,1004.0
6647,120,6046,0.01456207875162363,135.0,2088.0
6647,123,6156,0.3281343877315521,136.0,1505.0
6647,124,6237,0.0032748759258538485,137.0,1952.0
6647,232,11647,0.012422086670994759,138.0,1922.0
6639,39,1982,0.018162153661251068,139.0,1500.0
6571,137,6885,0.01122582983225584,140.0,1120.0
6571,137,6886,0.01587669551372528,141.0,2757.0
6369,122,6108,0.011215302161872387,142.0,759.0
6369,122,6140,0.037275221198797226,143.0,1414.0
6674,19,986,0.028752312064170837,144.0,2372.0
6387,93,4694,0.05042712390422821,145.0,1082.0
6387,100,5020,0.010591484606266022,146.0,1382.0
6387,101,5083,0.41669178009033203,147.0,4450.0
6572,228,11428,0.018955044448375702,148.0,1586.0
6336,153,7660,0.02380622923374176,149.0,1791.0
6336,157,7870,0.01137212011963129,150.0,816.0
6336,157,7878,0.010300501249730587,151.0,1920.0
6620,16,839,0.015350934118032455,152.0,1387.0
6478,26,1335,0.01916002668440342,153.0,1299.0
6615,28,1432,0.009608662687242031,154.0,1933.0
6615,30,1544,0.026650194078683853,155.0,4052.0
6478,16,804,0.21961912512779236,156.0,16308.0
6507,128,6446,0.01697094552218914,157.0,1997.0
6507,128,6447,0.011231532320380211,158.0,246.0
6354,75,3775,0.01104063168168068,159.0,953.0
6382,183,9200,0.013297578319907188,160.0,1868.0
6382,190,9534,0.015912923961877823,161.0,1096.0
6695,29,1492,0.03813245892524719,162.0,3162.0
6341,105,5292,0.01945532113313675,163.0,794.0
6647,156,7819,0.003253804286941886,164.0,764.0
6751,10,518,0.004868530668318272,165.0,1357.0
6751,13,665,0.010341759771108627,166.0,1673.0
6376,46,2309,0.005521378014236689,167.0,1054.0
6690,165,8262,0.005360275506973267,168.0,571.0
6525,10,513,0.016077131032943726,169.0,2029.0
6361,35,1792,0.0068316408433020115,170.0,1365.0
6479,63,3184,0.0071732643991708755,171.0,552.0
6669,111,5569,0.0146174356341362,172.0,3810.0
6553,60,3010,0.015035051852464676,173.0,857.0
6553,61,3074,0.008485459722578526,174.0,746.0
6562,16,817,0.2186962515115738,175.0,1989.0
6482,104,5203,0.011621830984950066,176.0,644.0
6482,105,5279,0.006641377229243517,177.0,685.0
6552,82,4135,0.027464818209409714,178.0,821.0
6552,82,4139,0.008691846393048763,179.0,1156.0
6423,80,4022,0.008455051109194756,180.0,1042.0
6649,44,2212,0.07397422939538956,181.0,2485.0
6649,44,2243,0.05928249657154083,182.0,1524.0
6698,27,1399,0.006523077376186848,183.0,231.0
6564,121,6080,0.006907696835696697,184.0,381.0
6630,23,1163,0.05297951027750969,185.0,2071.0
6630,29,1498,0.28086015582084656,186.0,637.0
6749,181,9100,0.00888617243617773,187.0,1119.0
6475,65,3261,0.014426345005631447,188.0,1806.0
6712,20,1013,0.8978610634803772,189.0,3369.0
6712,21,1056,0.014583270065486431,190.0,1881.0
6565,15,756,0.010749194771051407,191.0,2310.0
6529,102,5112,0.05752301588654518,192.0,2877.0
6529,105,5251,0.02205638214945793,193.0,66.0
6647,41,2100,0.021061668172478676,194.0,1349.0
6752,2,123,0.01206247042864561,195.0,1405.0
6583,10,520,0.007634940557181835,196.0,2061.0
6446,62,3124,0.015772579237818718,197.0,888.0
6535,168,8438,0.013511323370039463,198.0,1938.0
6535,171,8563,0.013788438402116299,199.0,198.0
6535,174,8745,0.01355388481169939,200.0,1044.0
6467,8,419,0.1288251429796219,201.0,1942.0
6423,19,988,0.08801429718732834,202.0,1060.0
6387,160,8019,0.10624529421329498,203.0,4551.0
6520,23,1173,0.0368540957570076,204.0,2452.0
6520,25,1273,0.06794024258852005,205.0,944.0
6520,27,1392,0.17646494507789612,206.0,1538.0
6436,21,1094,0.031021960079669952,207.0,3261.0
6436,24,1226,0.016907110810279846,208.0,2341.0
