run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
4982,94,4705,0.014538631774485111,0.0,321.0
5226,40,2017,0.011771667748689651,1.0,761.0
5454,29,1467,0.009252221323549747,2.0,1086.0
5454,105,5256,0.011918200179934502,3.0,2039.0
5169,127,6396,0.103855200111866,4.0,726.0
5513,90,4508,0.010368680581450462,5.0,1132.0
5121,2,123,0.05869898572564125,6.0,1676.0
5347,3,157,0.021193644031882286,7.0,2907.0
5519,16,813,0.11084319651126862,8.0,1243.0
5029,109,5452,0.04161090403795242,9.0,1012.0
5480,36,1817,0.011304087936878204,10.0,2595.0
5497,30,1520,0.023362556472420692,11.0,3572.0
5497,38,1912,0.014044987969100475,12.0,865.0
5169,16,822,0.27862387895584106,13.0,101.0
5540,3,166,0.011916060000658035,14.0,2115.0
5497,89,4493,0.011258586309850216,15.0,1382.0
5432,10,523,0.02476191706955433,16.0,3711.0
5332,45,2275,0.013720713555812836,17.0,415.0
5217,85,4263,0.009450443089008331,18.0,391.0
5147,4,235,0.025969987735152245,19.0,891.0
5091,46,2312,0.2039656937122345,20.0,877.0
5774,104,5215,0.013575482182204723,21.0,6174.0
5625,111,5551,0.09305962920188904,22.0,2735.0
5441,83,4177,0.011881380341947079,23.0,317.0
5566,37,1881,0.019026143476366997,24.0,2034.0
5217,50,2525,0.008126867935061455,25.0,1803.0
5412,26,1330,0.01935967244207859,26.0,726.0
5412,27,1398,0.02801910787820816,27.0,338.0
5136,11,563,0.016841020435094833,28.0,2307.0
5092,65,3267,0.0074112555012106895,29.0,459.0
5489,25,1281,0.004748035687953234,30.0,1167.0
5360,13,685,0.012256009504199028,31.0,897.0
4981,1,94,0.01810077205300331,32.0,183.0
5078,39,1973,0.050212908536195755,33.0,3217.0
4957,52,2605,0.5332714915275574,34.0,2502.0
5588,148,7432,0.010192488320171833,35.0,844.0
5071,45,2261,0.013513009063899517,36.0,879.0
5019,67,3351,0.2674407660961151,37.0,54.0
5226,5,290,0.005319343414157629,38.0,1118.0
5589,40,2043,0.02026914618909359,39.0,376.0
5093,101,5065,0.01731378585100174,40.0,178.0
5337,8,436,0.024580953642725945,41.0,1625.0
5382,13,654,0.04548643156886101,42.0,4344.0
5162,0,45,0.026817213743925095,43.0,9903.0
5061,98,4923,0.12374015152454376,44.0,2709.0
5162,37,1863,0.03680723160505295,45.0,3984.0
5151,62,3112,0.008090006187558174,46.0,1057.0
5383,9,496,0.007068271283060312,47.0,785.0
5577,7,375,0.02651861123740673,48.0,3950.0
5577,16,837,0.016686581075191498,49.0,2191.0
5564,76,3827,0.2621419429779053,50.0,1343.0
5463,2,111,0.048443395644426346,51.0,2675.0
5463,3,168,0.01251191459596157,52.0,933.0
5581,34,1735,0.010495863854885101,53.0,3189.0
5385,3,195,0.0076764049008488655,54.0,715.0
5144,17,886,0.018099213019013405,55.0,746.0
5142,26,1328,0.01919451914727688,56.0,1200.0
5005,171,8573,0.028266500681638718,57.0,2380.0
4999,132,6648,0.006270918995141983,58.0,769.0
5602,84,4227,0.00803619809448719,59.0,331.0
5184,4,201,0.012646021321415901,60.0,1348.0
5077,30,1529,0.03531244397163391,61.0,1783.0
5782,84,4234,0.018498307093977928,62.0,922.0
5564,65,3287,0.012433934956789017,63.0,1580.0
5099,8,439,0.05142980068922043,64.0,2779.0
5091,51,2573,0.05303880572319031,65.0,2165.0
5427,25,1276,0.8170282244682312,66.0,2305.0
5338,37,1870,0.012784185819327831,67.0,1428.0
4955,24,1210,0.012825258076190948,68.0,1833.0
5532,69,3453,0.012920820154249668,69.0,112.0
5130,59,2996,0.08674108237028122,70.0,86.0
4971,141,7055,0.0817301794886589,71.0,201.0
5448,9,490,0.17739568650722504,72.0,1119.0
5586,11,554,0.009240414015948772,73.0,1814.0
5341,148,7404,0.008476478978991508,74.0,744.0
5037,9,471,0.01356786023825407,75.0,2173.0
5046,50,2502,0.008364598266780376,76.0,1265.0
5533,1,69,0.01222200971096754,77.0,1163.0
5533,4,231,0.00820737611502409,78.0,603.0
4992,43,2166,0.018863588571548462,79.0,1833.0
5411,81,4052,0.01763063296675682,80.0,5400.0
5419,45,2281,0.010500079952180386,81.0,494.0
5582,41,2057,0.06167835742235184,82.0,46.0
5616,210,10513,0.02481437288224697,83.0,1470.0
5576,37,1856,0.031826507300138474,84.0,3520.0
4997,11,567,0.019657259806990623,85.0,997.0
4997,11,582,0.03231380879878998,86.0,1166.0
5474,11,574,0.026895878836512566,87.0,2964.0
5427,15,767,0.008821993134915829,88.0,528.0
5031,35,1778,0.0185907781124115,89.0,1281.0
5519,151,7556,0.013922643847763538,90.0,196.0
5382,115,5796,0.006107517518103123,91.0,1236.0
5412,19,991,0.012525932863354683,92.0,2007.0
5769,55,2796,0.03356519713997841,93.0,539.0
5361,57,2872,0.016024356707930565,94.0,4048.0
5598,22,1124,0.022900698706507683,95.0,3111.0
5519,62,3143,0.010061701759696007,96.0,5764.0
5005,189,9462,0.03433012217283249,97.0,3015.0
5418,39,1973,0.015174910426139832,98.0,1373.0
5170,15,773,0.012016314081847668,99.0,202.0
5092,53,2687,0.01759546808898449,100.0,1701.0
5418,87,4373,0.06081905588507652,101.0,2946.0
5153,62,3119,0.012724499218165874,102.0,2587.0
5527,103,5181,0.013358986005187035,103.0,252.0
5364,147,7394,0.007575373165309429,104.0,610.0
5412,94,4742,0.009063323959708214,105.0,1207.0
5365,18,950,0.009890744462609291,106.0,1323.0
5049,21,1075,0.0068990918807685375,107.0,210.0
4998,71,3562,0.024130960926413536,108.0,1672.0
4998,75,3789,0.03212711960077286,109.0,6479.0
5090,162,8140,0.03278028219938278,110.0,48.0
5106,189,9456,0.008387248031795025,111.0,2656.0
4998,107,5377,0.14844439923763275,112.0,1239.0
4998,109,5487,0.008732323534786701,113.0,2480.0
5497,22,1121,0.013771723955869675,114.0,1214.0
5497,23,1178,0.020717410370707512,115.0,1551.0
5169,22,1142,0.01665646955370903,116.0,2091.0
5512,210,10532,0.009165200404822826,117.0,342.0
5061,147,7388,0.006506439298391342,118.0,1164.0
5061,152,7626,0.020571812987327576,119.0,3226.0
5363,11,595,0.009269331581890583,120.0,561.0
4977,48,2441,0.009409952908754349,121.0,635.0
