run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
6361,14,734,0.006103177089244127,0.0,937.0
6695,54,2749,0.017874127253890038,1.0,2244.0
6334,106,5339,0.015888547524809837,2.0,629.0
6692,111,5571,0.0014095730148255825,3.0,2657.0
6446,28,1448,0.007117839064449072,4.0,816.0
6406,22,1110,0.008241190575063229,5.0,1070.0
6387,194,9733,0.0004064663371536881,6.0,1670.0
6387,194,9735,0.000445313286036253,7.0,1339.0
6387,195,9761,0.00026089264429174364,8.0,1397.0
6356,47,2364,0.0009666238911449909,9.0,1030.0
6356,47,2377,0.0011763132642954588,10.0,991.0
6356,53,2658,0.16856442391872406,11.0,2491.0
6580,2,110,0.15484458208084106,12.0,1623.0
6580,9,485,0.03522150591015816,13.0,1284.0
6388,61,3078,0.0014450660673901439,14.0,689.0
6388,63,3191,0.007872072048485279,15.0,2354.0
6564,212,10622,0.0011965351877734065,16.0,3047.0
6564,216,10806,0.018785743042826653,17.0,2587.0
6349,57,2854,0.0060940952971577644,18.0,2885.0
6349,57,2869,0.0033677148167043924,19.0,1996.0
6349,60,3019,0.002848489675670862,20.0,3186.0
6431,29,1457,0.0011618342250585556,21.0,2324.0
6431,91,4586,0.2911403775215149,22.0,2672.0
6423,134,6726,7.180046668509021e-05,23.0,1083.0
6423,149,7474,0.9719399809837341,24.0,1437.0
6487,98,4950,0.0006142857600934803,25.0,2755.0
6487,127,6383,0.0025145101826637983,26.0,982.0
6440,189,9499,0.006155669689178467,27.0,823.0
6690,154,7744,0.09387286007404327,28.0,1568.0
6690,157,7863,0.0005809219437651336,29.0,2137.0
6690,159,7951,0.04791317507624626,30.0,1208.0
6479,14,713,0.686098575592041,31.0,3025.0
6535,202,10104,0.013778118416666985,32.0,1885.0
6376,13,692,0.0021290660370141268,33.0,262.0
6428,25,1266,0.008054109290242195,34.0,1468.0
6354,31,1578,0.0020642282906919718,35.0,1096.0
6568,34,1729,0.00041709162178449333,36.0,2681.0
6749,57,2868,0.0009177986648865044,37.0,1322.0
6749,60,3047,0.0018138412851840258,38.0,640.0
6479,22,1134,0.0006018856074661016,39.0,946.0
6479,23,1168,0.7411298751831055,40.0,4356.0
6479,25,1290,0.0021773693151772022,41.0,1248.0
6674,13,682,0.00010932776058325544,42.0,1152.0
6658,64,3240,0.19519908726215363,43.0,2339.0
6343,119,5958,0.010482333600521088,44.0,2875.0
6343,124,6250,2.4600936740171164e-05,45.0,1251.0
6407,131,6554,0.17761459946632385,46.0,262.0
6686,21,1079,0.004774046596139669,47.0,764.0
6686,22,1147,3.1005285563878715e-05,48.0,1875.0
6387,111,5588,0.001612610649317503,49.0,4839.0
6591,62,3141,0.030552878975868225,50.0,1544.0
6633,31,1553,0.00019346352200955153,51.0,1984.0
6620,107,5365,0.0006303960690274835,52.0,3450.0
6633,39,1972,0.0010488084517419338,53.0,2520.0
6479,2,137,0.0003131181583739817,54.0,1370.0
6480,145,7268,0.0005520122940652072,55.0,821.0
6480,148,7402,0.002744869329035282,56.0,1064.0
6343,40,2019,0.015394622460007668,57.0,441.0
6599,48,2448,0.01306638028472662,58.0,1959.0
6634,72,3608,0.024467909708619118,59.0,827.0
6605,115,5764,0.0011590939247980714,60.0,3027.0
