run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
7001,916,45840,0.004695659503340721,0.0,2413.0
7016,378,18939,0.0044016046449542046,1.0,1470.0
7017,644,32240,0.0033909014891833067,2.0,1446.0
7017,1674,83722,0.007894889451563358,3.0,5762.0
7017,1674,83743,0.007504700683057308,4.0,179.0
7017,1022,51131,0.0027886133175343275,5.0,1119.0
7016,385,19252,0.185019388794899,6.0,123.0
7112,25,1277,0.0034340755082666874,7.0,4039.0
7001,1145,57254,0.0012788799358531833,8.0,586.0
7017,657,32867,0.15593256056308746,9.0,439.0
7014,1748,87402,0.0058890944346785545,10.0,2085.0
7016,131,6582,0.004466709215193987,11.0,1918.0
7012,1639,81969,0.0013243525754660368,12.0,164.0
7017,1345,67269,0.003926839213818312,13.0,296.0
7016,133,6659,0.005889663938432932,14.0,1753.0
7017,731,36561,0.005665229633450508,15.0,1434.0
7017,1348,67405,0.004436917137354612,16.0,1328.0
7017,1348,67429,0.003537403652444482,17.0,2331.0
7020,111,5573,0.00624697282910347,18.0,1613.0
7020,288,14410,0.0059925164096057415,19.0,2378.0
7014,1649,82452,0.003218969563022256,20.0,1222.0
7014,1649,82459,0.0015516852727159858,21.0,460.0
7014,1649,82485,0.0048124101012945175,22.0,107.0
7016,376,18806,0.003572171786800027,23.0,369.0
7016,376,18816,0.007768908981233835,24.0,464.0
7001,602,30129,0.005731471814215183,25.0,3023.0
7012,1308,65441,0.011934974230825901,26.0,1967.0
7001,776,38826,0.005662554409354925,27.0,1853.0
7017,778,38917,0.010564491152763367,28.0,1599.0
7017,48,2409,0.004045569337904453,29.0,1456.0
7017,1672,83647,0.004831516649574041,30.0,751.0
7011,66,3305,0.005771062336862087,31.0,1286.0
7012,1297,64872,0.004368597641587257,32.0,413.0
7012,1297,64889,0.009508014656603336,33.0,607.0
7012,1297,64899,0.005096630658954382,34.0,75.0
7020,267,13388,0.003022185992449522,35.0,2156.0
7017,1065,53282,0.004567223601043224,36.0,1012.0
7017,446,22345,0.00562713760882616,37.0,1562.0
7001,885,44259,0.004131126217544079,38.0,3251.0
7017,1478,73933,0.003545365994796157,39.0,1438.0
7014,1699,84991,0.004736438859254122,40.0,2619.0
7017,9,491,0.0047617037780582905,41.0,3284.0
7016,307,15376,0.004940591286867857,42.0,481.0
7020,390,19550,0.0040185158140957355,43.0,165.0
7017,982,49150,0.003935603424906731,44.0,1358.0
7013,92,4632,0.00564770819619298,45.0,3583.0
