run_number,subrun_number,event_number,signal_score,weight
6361,14,734,0.0085447505116462,1.00292
6695,54,2749,0.0125478925183415,0.877913
6334,106,5339,0.0045650801621377,0.97699
6692,111,5571,0.0592595823109149,0.776568
6446,28,1448,0.0052440650761127,1.00833
6406,22,1110,0.0032582005951553,0.945935
6387,194,9733,0.0025706873275339,1.3776724879
6387,194,9735,0.0016648640157654,1.22716
6387,195,9761,0.0034509722609072,1.06163
6356,47,2364,0.0232324879616498,1.02742
6356,47,2377,0.0036725627724081,0.544552
6356,53,2658,0.0960209518671035,1.02466
6580,2,110,0.0973760858178138,0.579585
6580,9,485,0.0044613033533096,1.04587
6388,61,3078,0.0036303198430687,1.25026
6388,63,3191,0.0059981839731335,0.950159
6564,212,10622,0.0035225495230406,1.093599483
6564,216,10806,0.0041948594152927,1.2693729172000001
6349,57,2854,0.0348938703536987,1.2810431382
6349,57,2869,0.0036852729972451,0.960616
6349,60,3019,0.006702444050461,1.02986
6431,29,1457,0.032766580581665,0.969513
6431,91,4586,0.3731977641582489,0.88257953232
6423,134,6726,0.0028762246947735,1.248204015
6423,149,7474,0.7903067469596863,0.6071002901599999
6487,98,4950,0.0379829965531826,1.10961
6487,127,6383,0.0013183985138311,1.16192
6440,189,9499,0.0023758262395858,1.0055
6690,154,7744,0.0129975797608494,0.900526
6690,157,7863,0.0029794557485729,0.985592
6690,159,7951,0.0056301346048712,1.3263235208
6479,14,713,0.3430584669113159,1.0
6535,202,10104,0.0046628559939563,1.30797
6376,13,692,0.0011108720209449,1.04095
6428,25,1266,0.0048054866492748,0.601957
6354,31,1578,0.0065118758939206,0.945273
6568,34,1729,0.0046889870427548,0.911798
6749,57,2868,0.0080716330558061,0.746786
6749,60,3047,0.0054001370444893,0.81364785048
6479,22,1134,0.0026699085719883,1.02875
6479,23,1168,0.0201027151197195,1.0952
6479,25,1290,0.0038945283740758,1.25821620598
6674,13,682,0.0020241821184754,0.538206
6658,64,3240,0.0562460869550704,1.06578
6343,119,5958,0.0053172744810581,1.19026
6343,124,6250,0.0308596398681402,1.35769
6407,131,6554,0.0032279307488352,2.36717
6686,21,1079,0.0064160320907831,1.02004
6686,22,1147,0.0023009465076029,0.386319043253
6387,111,5588,0.3049213886260986,1.06358
6591,62,3141,0.0151241766288876,0.543634
6633,31,1553,0.003381208050996,1.02645
6620,107,5365,0.0021397245582193,0.621303
6633,39,1972,0.0032446575351059,0.776869
6479,2,137,0.0044087483547627,1.3771397532
6480,145,7268,0.0020032171159982,1.02849
6480,148,7402,0.0023254945408552,0.448065
6343,40,2019,0.0035821199417114,1.04332
6599,48,2448,0.0926820039749145,0.9031658198400001
6634,72,3608,0.0054608052596449,1.02408
6605,115,5764,0.0045723249204456,0.568703
6572,132,6612,0.0050152787007391,1.09811
6572,135,6771,0.0018175521399825,1.40354239689
6376,41,2074,0.0027028082404285,1.01895
6468,147,7376,0.0033201533369719,1.01103438912
6488,23,1186,0.8111625909805298,1.13324
6487,93,4698,0.0027505608741194,1.3782242448
5091,52,2617,0.6865385174751282,1.02749
6341,26,1335,0.0060907718725502,0.877913
6658,29,1456,0.0043181348592042,1.05856
