run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
14954,2,109,0.048892516642808914,0.0,566.0
14954,94,4743,0.021929217502474785,1.0,1606.0
16387,37,1862,0.07681290060281754,2.0,923.0
17149,52,2644,0.03119632601737976,3.0,920.0
15780,103,5190,0.07135065644979477,4.0,839.0
17122,154,7710,0.05515122413635254,5.0,1278.0
15149,67,3389,0.04383980855345726,6.0,1420.0
14766,58,2924,0.002189022023230791,7.0,1670.0
15367,117,5893,0.005140676163136959,8.0,4111.0
14399,110,5517,0.7404088377952576,9.0,962.0
14399,161,8073,0.06520821154117584,10.0,2054.0
15447,21,1054,0.2735859155654907,11.0,184.0
17501,9,499,0.008786954917013645,12.0,2737.0
15910,13,677,0.010085606016218662,13.0,858.0
17118,28,1422,0.008984583429992199,14.0,3188.0
17484,172,8629,0.027714332565665245,15.0,3233.0
15345,161,8063,0.0199331883341074,16.0,1287.0
15348,260,13021,0.014541400596499443,17.0,2721.0
15722,175,8781,0.0034367237240076065,18.0,2076.0
16222,153,7682,0.18689464032649994,19.0,4093.0
16952,67,3393,0.0070621296763420105,20.0,2660.0
15348,195,9785,0.059360530227422714,21.0,3118.0
14956,113,5700,0.021580569446086884,22.0,3054.0
16935,206,10318,0.05752947926521301,23.0,869.0
16752,63,3177,0.01759638451039791,24.0,1194.0
14603,148,7437,0.016458794474601746,25.0,912.0
17517,173,8695,0.010086415335536003,26.0,2244.0
17371,65,3274,0.07348090410232544,27.0,1536.0
15933,230,11544,0.033871691673994064,28.0,803.0
16038,145,7252,0.009114825166761875,29.0,1489.0
15366,60,3039,0.03355729579925537,30.0,2707.0
14913,53,2660,0.002115342067554593,31.0,406.0
16199,126,6334,0.00328731257468462,32.0,703.0
14607,262,13137,0.05598277226090431,33.0,2380.0
14410,143,7172,0.08498537540435791,34.0,1107.0
14390,97,4877,0.02063964121043682,35.0,3105.0
15954,97,4888,0.007677327375859022,36.0,1090.0
14743,48,2429,0.004860661458224058,37.0,2072.0
16038,99,4960,0.004795121494680643,38.0,914.0
16499,220,11010,0.0033644067589193583,39.0,1070.0
16420,30,1507,0.1088588610291481,40.0,669.0
15102,40,2043,0.064238041639328,41.0,971.0
15102,88,4411,0.00620205607265234,42.0,1888.0
14874,233,11657,0.20097310841083527,43.0,1480.0
17312,179,8976,0.015645675361156464,44.0,2921.0
14619,8,435,0.02388554997742176,45.0,2050.0
15348,205,10297,0.14223620295524597,46.0,1506.0
15592,188,9413,0.024169573560357094,47.0,702.0
15092,57,2883,0.05576610565185547,48.0,2759.0
15834,203,10158,0.023506639525294304,49.0,1689.0
15875,60,3019,0.0018798314267769456,50.0,1477.0
14637,74,3737,0.03629938140511513,51.0,2355.0
14903,44,2221,0.1122296005487442,52.0,2455.0
14218,87,4396,0.024179916828870773,53.0,1239.0
14959,61,3071,0.508237898349762,54.0,1578.0
14959,69,3452,0.06857328116893768,55.0,1923.0
16205,42,2120,0.043077774345874786,56.0,1388.0
14713,47,2395,0.09387772530317307,57.0,1571.0
14713,53,2654,0.0005803817766718566,58.0,505.0
16825,47,2376,0.0022618595976382494,59.0,1731.0
15415,43,2159,0.11260145157575607,60.0,3107.0
17237,67,3386,0.03875209018588066,61.0,2457.0
16730,9,483,0.003957825712859631,62.0,1985.0
16730,52,2636,0.023362843319773674,63.0,438.0
17307,52,2629,0.00811382569372654,64.0,3057.0
17307,79,3980,0.002008484210819006,65.0,1776.0
15136,15,762,0.9877267479896545,66.0,1971.0
16453,267,13364,0.08890186995267868,67.0,1650.0
15279,7,387,0.005026114638894796,68.0,1061.0
15967,70,3521,0.021289536729454994,69.0,276.0
17271,16,846,0.3200487494468689,70.0,382.0
16200,80,4046,0.013936982490122318,71.0,2321.0
14956,229,11471,0.007080014795064926,72.0,1144.0
17027,68,3413,0.039171744138002396,73.0,1427.0
