run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
14954,2,109,0.0018939630826935172,0.0,566.0
14954,94,4743,0.004743194207549095,1.0,1606.0
16387,37,1862,0.005019568372517824,2.0,923.0
17149,52,2644,0.004693889990448952,3.0,920.0
15780,103,5190,0.0059000421315431595,4.0,839.0
17122,154,7710,0.0029103870037943125,5.0,1278.0
15149,67,3389,0.00460696080699563,6.0,1420.0
14766,58,2924,0.003583976998925209,7.0,1670.0
15367,117,5893,0.0033657902386039495,8.0,4111.0
14399,110,5517,0.4731515645980835,9.0,962.0
14399,161,8073,0.04144258052110672,10.0,2054.0
15447,21,1054,0.023670174181461334,11.0,184.0
17501,9,499,0.0043212976306676865,12.0,2737.0
15910,13,677,0.00633205333724618,13.0,858.0
17118,28,1422,0.00474843243137002,14.0,3188.0
17484,172,8629,0.0025970221031457186,15.0,3233.0
15345,161,8063,0.002678108401596546,16.0,1287.0
15348,260,13021,0.06099376454949379,17.0,2721.0
15722,175,8781,0.005177499260753393,18.0,2076.0
16222,153,7682,0.00582518195733428,19.0,4093.0
16952,67,3393,0.00692214397713542,20.0,2660.0
15348,195,9785,0.00565812923014164,21.0,3118.0
14956,113,5700,0.0034213606268167496,22.0,3054.0
16935,206,10318,0.00487375445663929,23.0,869.0
16752,63,3177,0.008503854274749756,24.0,1194.0
14603,148,7437,0.003994233440607786,25.0,912.0
17517,173,8695,0.007918326184153557,26.0,2244.0
17371,65,3274,0.0036319969221949577,27.0,1536.0
15933,230,11544,0.015225183218717575,28.0,803.0
16038,145,7252,0.007181589957326651,29.0,1489.0
15366,60,3039,0.007600188720971346,30.0,2707.0
14913,53,2660,0.0016672044293954968,31.0,406.0
16199,126,6334,0.006983657833188772,32.0,703.0
14607,262,13137,0.0034529557451605797,33.0,2380.0
14410,143,7172,0.0037708929739892483,34.0,1107.0
14390,97,4877,0.005380814895033836,35.0,3105.0
15954,97,4888,0.027280695736408234,36.0,1090.0
14743,48,2429,0.004971655085682869,37.0,2072.0
16038,99,4960,0.0051190354861319065,38.0,914.0
16499,220,11010,0.005411433521658182,39.0,1070.0
16420,30,1507,0.09154940396547318,40.0,669.0
15102,40,2043,0.010386579670011997,41.0,971.0
15102,88,4411,0.004103934392333031,42.0,1888.0
14874,233,11657,0.026225773617625237,43.0,1480.0
17312,179,8976,0.003502000356093049,44.0,2921.0
14619,8,435,0.004630948882550001,45.0,2050.0
15348,205,10297,0.08297941088676453,46.0,1506.0
15592,188,9413,0.0021442037541419268,47.0,702.0
15092,57,2883,0.004519835114479065,48.0,2759.0
15834,203,10158,0.012416544370353222,49.0,1689.0
15875,60,3019,0.0021019242703914642,50.0,1477.0
14637,74,3737,0.004240312613546848,51.0,2355.0
14903,44,2221,0.003018778981640935,52.0,2455.0
14218,87,4396,0.004447970073670149,53.0,1239.0
14959,61,3071,0.10839632898569107,54.0,1578.0
14959,69,3452,0.1361560970544815,55.0,1923.0
16205,42,2120,0.0022787079215049744,56.0,1388.0
14713,47,2395,0.004982725717127323,57.0,1571.0
14713,53,2654,0.0021273912861943245,58.0,505.0
16825,47,2376,0.0017178840935230255,59.0,1731.0
15415,43,2159,0.010648280382156372,60.0,3107.0
17237,67,3386,0.00437901308760047,61.0,2457.0
16730,9,483,0.005286196246743202,62.0,1985.0
16730,52,2636,0.005582008045166731,63.0,438.0
17307,52,2629,0.0038914885371923447,64.0,3057.0
17307,79,3980,0.0029959704261273146,65.0,1776.0
15136,15,762,0.9982378482818604,66.0,1971.0
16453,267,13364,0.008179541677236557,67.0,1650.0
15279,7,387,0.0022332454100251198,68.0,1061.0
15967,70,3521,0.0022785367909818888,69.0,276.0
17271,16,846,0.004171484149992466,70.0,382.0
16200,80,4046,0.0052754501812160015,71.0,2321.0
14956,229,11471,0.006146522704511881,72.0,1144.0
17027,68,3413,0.003754159901291132,73.0,1427.0
14291,12,601,0.0066237617284059525,74.0,2219.0
16583,127,6376,0.009951638989150524,75.0,1714.0
16583,164,8206,0.006074233446270227,76.0,374.0
15145,5,258,0.0033045513555407524,77.0,3940.0
15498,97,4856,0.039295610040426254,78.0,2899.0
14764,46,2346,0.01555776596069336,79.0,2255.0
16295,239,11960,0.006282309535890818,80.0,315.0
17320,49,2469,0.005797703750431538,81.0,2174.0
15486,370,18522,0.006610766053199768,82.0,2489.0
14559,221,11062,0.00363924284465611,83.0,1949.0
16313,16,816,0.0033173789270222187,84.0,2595.0
14641,98,4930,0.002971011446788907,85.0,744.0
15123,0,31,0.0036998088471591473,86.0,937.0
15902,312,15639,0.004055655095726252,87.0,2634.0
15800,269,13478,0.011912629939615726,88.0,387.0
14653,53,2661,0.00410493602976203,89.0,97.0
14653,68,3429,0.006691212300211191,90.0,2133.0
14831,124,6215,0.0050205024890601635,91.0,1753.0
14831,137,6881,0.004869385156780481,92.0,1976.0
14218,95,4791,0.006881413981318474,93.0,344.0
14218,132,6607,0.005278416909277439,94.0,3068.0
15828,386,19312,0.002714440692216158,95.0,231.0
15433,129,6484,0.005192613694816828,96.0,569.0
14758,58,2946,0.0029433793388307095,97.0,917.0
14917,61,3054,0.004461804870516062,98.0,1180.0
16125,43,2196,0.00399112980812788,99.0,979.0
16125,154,7720,0.0059549096040427685,100.0,2945.0
16186,118,5939,0.003898072522133589,101.0,3112.0
17474,33,1694,0.008914513513445854,102.0,138.0
14537,38,1922,0.007074281107634306,103.0,737.0
14537,90,4541,0.006931377574801445,104.0,3847.0
17364,101,5092,0.0019983286038041115,105.0,727.0
17467,22,1138,0.004642354790121317,106.0,2409.0
14372,274,13724,0.003287463914602995,107.0,2588.0
14555,196,9828,0.002071854891255498,108.0,2605.0
14401,46,2323,0.0053977686911821365,109.0,2064.0
14655,11,556,0.006028888747096062,110.0,2489.0
16411,228,11422,0.7590849995613098,111.0,1061.0
17260,13,657,0.0036307545378804207,112.0,1560.0
17260,13,680,0.003192263189703226,113.0,1219.0
17260,53,2686,0.004725622944533825,114.0,2218.0
14914,280,14031,0.0016535217873752117,115.0,172.0
15073,86,4334,0.005116879474371672,116.0,899.0
14912,245,12276,0.030381783843040466,117.0,1895.0
14227,114,5732,0.02571510523557663,118.0,1989.0
14239,40,2037,0.005021905526518822,119.0,1974.0
17144,40,2030,0.0034302121493965387,120.0,265.0
15894,160,8034,0.013001568615436554,121.0,779.0
16446,138,6902,0.00465830834582448,122.0,1619.0
17206,252,12613,0.004660900216549635,123.0,2319.0
16801,55,2788,0.004073514137417078,124.0,1658.0
16894,172,8644,0.005786500405520201,125.0,2594.0
15251,139,6989,0.004665306303650141,126.0,2083.0
14890,116,5841,0.001964025665074587,127.0,938.0
16946,22,1146,0.0025738116819411516,128.0,2637.0
14944,65,3274,0.002011537319049239,129.0,569.0
16468,105,5299,0.005870128516107798,130.0,426.0
14890,53,2677,0.002560807392001152,131.0,249.0
14828,55,2797,0.006161886267364025,132.0,167.0
15426,75,3800,0.0034367090556770563,133.0,3117.0
14985,45,2296,0.005757104139775038,134.0,1419.0
17482,5,279,0.005951136816293001,135.0,2035.0
15117,124,6222,0.004397370852530003,136.0,2488.0
15391,289,14472,0.005829452537000179,137.0,1113.0
16925,104,5215,0.0013125850819051266,138.0,5043.0
16864,134,6714,0.0041824826039373875,139.0,99.0
14383,3,154,0.005121896509081125,140.0,414.0
14383,25,1293,0.9213771224021912,141.0,1871.0
14383,25,1295,0.002261598128825426,142.0,2206.0
14546,69,3468,0.005225911270827055,143.0,4821.0
15466,170,8533,0.0059766690246760845,144.0,1150.0
14729,177,8863,0.0269276425242424,145.0,1019.0
14367,86,4311,0.037647850811481476,146.0,1402.0
15092,80,4017,0.0047437227331101894,147.0,1692.0
16459,59,2984,0.0034822430461645126,148.0,1741.0
16232,135,6778,0.004655078984797001,149.0,975.0
14760,45,2259,0.004717599134892225,150.0,1023.0
15484,335,16792,0.04453994333744049,151.0,1438.0
14965,102,5132,0.006515929941087961,152.0,463.0
14884,165,8256,0.005045605357736349,153.0,991.0
15801,192,9626,0.02107749506831169,154.0,1644.0
16749,30,1527,0.05608261004090309,155.0,139.0
16749,67,3377,0.004663112573325634,156.0,2060.0
14231,0,48,0.0035368038807064295,157.0,2895.0
14231,21,1065,0.0030728767160326242,158.0,2064.0
15715,106,5342,0.004937638528645039,159.0,1392.0
17522,57,2868,0.004809407517313957,160.0,1050.0
14915,174,8714,0.06153542920947075,161.0,2181.0
14760,13,672,0.9758303761482239,162.0,2422.0
15975,133,6678,0.005495867226272821,163.0,2525.0
14760,53,2682,0.003170433919876814,164.0,690.0
14401,38,1933,0.6125323176383972,165.0,1206.0
16821,124,6236,0.0039834920316934586,166.0,845.0
14464,201,10066,0.002057740930467844,167.0,1329.0
14139,239,11969,0.012718952260911465,168.0,1454.0
16453,94,4733,0.003138275584205985,169.0,1246.0
17388,10,507,0.012174475938081741,170.0,4168.0
17388,23,1162,0.005548564717173576,171.0,1366.0
17518,10,516,0.001573706977069378,172.0,1065.0
14971,59,2989,0.09380389004945755,173.0,1406.0
14971,103,5156,0.005690248683094978,174.0,1157.0
14956,56,2810,0.005360170733183622,175.0,1109.0
16141,44,2245,0.003916278015822172,176.0,1239.0
16731,78,3932,0.8391326069831848,177.0,2536.0
16731,276,13845,0.013464322313666344,178.0,290.0
14569,29,1459,0.18360941112041473,179.0,2020.0
14342,130,6538,0.0071273245848715305,180.0,3478.0
15949,119,5952,0.002237193053588271,181.0,642.0
14117,18,928,0.005047784652560949,182.0,2467.0
14257,185,9295,0.00571857113391161,183.0,1444.0
17309,112,5614,0.003223101608455181,184.0,658.0
14652,12,610,0.005531220696866512,185.0,2706.0
14245,51,2588,0.004824270028620958,186.0,1969.0
15450,50,2514,0.0024800864048302174,187.0,784.0
15450,230,11535,0.004167146049439907,188.0,5260.0
14549,33,1663,0.0043681226670742035,189.0,1407.0
17111,209,10475,0.00558627862483263,190.0,1605.0
16874,66,3323,0.003065127180889249,191.0,3292.0
16736,51,2568,0.005269946064800024,192.0,1265.0
17313,228,11449,0.004878159612417221,193.0,1652.0
14806,4,208,0.0038147151935845613,194.0,2211.0
14146,14,714,0.0025302290450781584,195.0,1670.0
14140,36,1805,0.004572557285428047,196.0,1122.0
16266,242,12119,0.0014989003539085388,197.0,563.0
16387,91,4590,0.0025195227935910225,198.0,2057.0
16387,155,7774,0.004691204521805048,199.0,1737.0
17352,312,15602,0.004878937266767025,200.0,2729.0
16040,67,3385,0.04753986373543739,201.0,987.0
16978,476,23807,0.0033140573650598526,202.0,4023.0
14642,73,3664,0.03625496104359627,203.0,825.0
14878,156,7832,0.0073404316790401936,204.0,2285.0
15528,174,8747,0.0016916177701205015,205.0,823.0
17332,32,1616,0.005078083369880915,206.0,3206.0
15828,69,3496,0.009900732897222042,207.0,223.0
15689,18,917,0.0024087962228804827,208.0,254.0
15053,137,6895,0.04478711634874344,209.0,1303.0
14695,15,778,0.005297626368701458,210.0,2736.0
14196,61,3077,0.02039514109492302,211.0,766.0
14270,223,11163,0.001153559540398419,212.0,641.0
14609,203,10195,0.0046361698769032955,213.0,4459.0
15330,18,912,0.004681204911321402,214.0,1494.0
14768,63,3178,0.004470111336559057,215.0,3356.0
14643,268,13431,0.002874183701351285,216.0,2516.0
17488,256,12849,0.02136235311627388,217.0,791.0
16834,63,3193,0.0028093501459807158,218.0,1015.0
14216,49,2496,0.004242219962179661,219.0,1697.0
16091,46,2304,0.003944555763155222,220.0,548.0
16091,56,2847,0.002567644463852048,221.0,1385.0
14259,110,5515,0.008602729067206383,222.0,2366.0
14874,226,11344,0.00649739895015955,223.0,2401.0
16878,86,4340,0.003878580406308174,224.0,1797.0
16878,193,9665,0.004523840732872486,225.0,3389.0
16298,79,3986,0.001505039632320404,226.0,526.0
14801,256,12836,0.0916093960404396,227.0,1646.0
15462,24,1226,0.007216292433440685,228.0,1898.0
16382,0,18,0.006756195332854986,229.0,2827.0
16382,11,565,0.006998846307396889,230.0,1432.0
16382,16,836,0.005433193873614073,231.0,1415.0
14719,3,184,0.008249429054558277,232.0,1588.0
14938,216,10809,0.0033638186287134886,233.0,222.0
16962,11,592,0.008856019005179405,234.0,774.0
14610,300,15008,0.0033655038569122553,235.0,3004.0
15689,114,5741,0.003728229319676757,236.0,808.0
14873,305,15283,0.007841778919100761,237.0,802.0
14942,44,2208,0.0019865212962031364,238.0,627.0
17467,101,5093,0.008109122514724731,239.0,3542.0
15292,41,2075,0.0078624552115798,240.0,1268.0
15457,199,9958,0.002221409697085619,241.0,2458.0
15799,272,13631,0.00352667598053813,242.0,2799.0
15783,316,15802,0.00785758439451456,243.0,1562.0
16312,68,3442,0.004512585233896971,244.0,4125.0
16125,30,1543,0.22868458926677704,245.0,233.0
14277,174,8744,0.004779144190251827,246.0,386.0
14277,197,9859,0.010138065554201603,247.0,1024.0
16666,104,5224,0.23175080120563507,248.0,3566.0
15875,35,1774,0.13834631443023682,249.0,2726.0
15859,87,4368,0.004533989820629358,250.0,1580.0
14149,9,453,0.008719632402062416,251.0,943.0
14149,9,483,0.007279237266629934,252.0,1789.0
14149,134,6733,0.0029417690820991993,253.0,596.0
14877,187,9359,0.04550237953662872,254.0,1749.0
14315,4,231,0.014390618540346622,255.0,2340.0
14329,36,1839,0.005029196385294199,256.0,1737.0
14802,80,4010,0.006148412823677063,257.0,2279.0
16831,40,2037,0.004957943223416805,258.0,1152.0
14543,296,14847,0.20109674334526062,259.0,1624.0
14784,56,2807,0.00800639484077692,260.0,3024.0
15128,2,136,0.004859543405473232,261.0,858.0
16963,113,5652,0.000908049289137125,262.0,469.0
14393,25,1288,0.002634100615978241,263.0,1612.0
14795,27,1392,0.27722862362861633,264.0,392.0
17524,90,4517,0.0036887135356664658,265.0,468.0
17536,3,152,0.005813686177134514,266.0,264.0
14124,242,12113,0.008461150340735912,267.0,2431.0
14544,279,13986,0.01104142889380455,268.0,1628.0
17057,78,3950,0.0030025492887943983,269.0,1532.0
16144,150,7525,0.003996011335402727,270.0,2763.0
14919,53,2690,0.002252039033919573,271.0,678.0
16739,26,1330,0.0011294536525383592,272.0,556.0
14760,30,1537,0.003471354953944683,273.0,772.0
17109,142,7118,0.0046337805688381195,274.0,217.0
17111,168,8442,0.004469519015401602,275.0,1148.0
15290,4,236,0.005243841093033552,276.0,1146.0
17522,65,3258,0.10213673114776611,277.0,2010.0
14798,12,608,0.026535972952842712,278.0,1081.0
14798,46,2303,0.004296102561056614,279.0,433.0
17479,11,557,0.005727448966354132,280.0,2541.0
14401,143,7184,0.08452488481998444,281.0,498.0
14682,1,68,0.006800475064665079,282.0,907.0
14682,73,3699,0.0043172636069357395,283.0,8010.0
15273,62,3128,0.010073317214846611,284.0,1351.0
14902,74,3734,0.0036137427669018507,285.0,3585.0
14902,189,9464,0.0031848337966948748,286.0,506.0
14212,189,9479,0.3379386365413666,287.0,1824.0
14722,69,3453,0.008896790444850922,288.0,628.0
14722,69,3484,0.0036165681667625904,289.0,2103.0
17505,53,2698,0.003365132724866271,290.0,2925.0
16731,350,17526,0.0030248898547142744,291.0,99.0
14427,165,8265,0.0029951189644634724,292.0,1289.0
14427,165,8284,0.007558789569884539,293.0,2842.0
15960,463,23170,0.0028213055338710546,294.0,1762.0
15923,85,4297,0.006127596832811832,295.0,2986.0
14271,102,5127,0.00310768885537982,296.0,1752.0
16161,50,2531,0.004539211746305227,297.0,1502.0
14401,219,10980,0.011709176935255527,298.0,1779.0
14912,142,7108,0.0020896969363093376,299.0,241.0
14916,77,3851,0.002837962470948696,300.0,2536.0
16996,10,516,0.014310923404991627,301.0,575.0
16963,95,4784,0.003362971358001232,302.0,1161.0
16088,71,3570,0.0035155448131263256,303.0,1918.0
16067,106,5335,0.1304619312286377,304.0,1397.0
16199,43,2199,0.0033693399745970964,305.0,1461.0
16199,50,2548,0.2425307184457779,306.0,864.0
16883,101,5082,0.011417396366596222,307.0,314.0
14743,119,5985,0.002700116951018572,308.0,2370.0
16122,283,14170,0.00574122741818428,309.0,702.0
14436,159,7993,0.02091890573501587,310.0,1626.0
14206,92,4609,0.0027240600902587175,311.0,810.0
16352,475,23783,0.0035667838528752327,312.0,5294.0
14798,29,1466,0.02081247791647911,313.0,1153.0
16685,59,2984,0.004297230858355761,314.0,1309.0
16125,222,11135,0.0034899951424449682,315.0,1409.0
14243,89,4476,0.0015141101321205497,316.0,288.0
15872,4,238,0.005349828861653805,317.0,73.0
16874,433,21688,0.0340469665825367,318.0,1653.0
17312,108,5435,0.0037527456879615784,319.0,2590.0
17194,70,3534,0.008525591343641281,320.0,675.0
16470,23,1186,0.003925872966647148,321.0,1649.0
14425,124,6218,0.0028060218319296837,322.0,267.0
16683,30,1526,0.002395946765318513,323.0,585.0
16441,53,2665,0.026915762573480606,324.0,3264.0
16134,259,12960,0.05881398171186447,325.0,623.0
16340,28,1433,0.004503926262259483,326.0,1575.0
14452,48,2401,0.004753916058689356,327.0,926.0
14452,48,2437,0.0038635029923170805,328.0,339.0
14989,86,4311,0.004314802587032318,329.0,2330.0
16978,105,5261,0.010484510101377964,330.0,1509.0
16978,105,5286,0.0032111317850649357,331.0,5136.0
16978,359,17962,0.005091787315905094,332.0,2233.0
16446,88,4401,0.003223191946744919,333.0,1188.0
16378,35,1755,0.004482278134673834,334.0,1416.0
16826,149,7489,0.002683651866391301,335.0,820.0
16685,50,2525,0.0041349660605192184,336.0,1419.0
16323,26,1310,0.003109175246208906,337.0,603.0
15111,207,10396,0.006342530250549316,338.0,177.0
15900,18,920,0.0034556244499981403,339.0,1770.0
17356,11,575,0.005874386988580227,340.0,271.0
14418,13,655,0.00291764666326344,341.0,730.0
15975,22,1120,0.005043250974267721,342.0,2176.0
14401,145,7272,0.012252517975866795,343.0,2426.0
17491,23,1175,0.009396939538419247,344.0,783.0
17240,255,12786,0.005468263290822506,345.0,448.0
15006,10,528,0.9969785213470459,346.0,1902.0
16949,127,6357,0.005237999372184277,347.0,3081.0
16432,39,1986,0.006727384403347969,348.0,511.0
16432,64,3244,0.0014111518394201994,349.0,450.0
14983,2,113,0.0031825306359678507,350.0,2813.0
15946,58,2915,0.00411504041403532,351.0,546.0
17055,295,14788,0.041580911725759506,352.0,1113.0
15683,20,1026,0.0027643535286188126,353.0,1033.0
14716,85,4260,0.007344226352870464,354.0,2579.0
14985,22,1140,0.0017992703942582011,355.0,1962.0
17556,66,3337,0.005024490877985954,356.0,1819.0
15529,240,12050,0.9933263063430786,357.0,5266.0
14279,297,14874,0.006600674707442522,358.0,808.0
16817,23,1198,0.004678997211158276,359.0,176.0
14936,2,129,0.0045632775872945786,360.0,1688.0
14202,38,1917,0.003521585837006569,361.0,1321.0
17125,16,843,0.005505069624632597,362.0,1576.0
17125,49,2469,0.004045532550662756,363.0,2406.0
17043,109,5486,0.004812335129827261,364.0,1376.0
17228,49,2470,0.002092153299599886,365.0,892.0
17228,49,2490,0.027946874499320984,366.0,2573.0
17228,51,2599,0.004143041558563709,367.0,1685.0
15878,17,860,0.004947169218212366,368.0,2035.0
14805,149,7460,0.03920983523130417,369.0,1208.0
16063,144,7236,0.018703415989875793,370.0,1529.0
15273,83,4163,0.007813318632543087,371.0,2396.0
15273,166,8337,0.0043804519809782505,372.0,720.0
14383,33,1682,0.02159716561436653,373.0,545.0
14425,7,377,0.005395807791501284,374.0,1987.0
14425,162,8149,0.006025749258697033,375.0,1275.0
14712,118,5917,0.8586328625679016,376.0,4295.0
15246,74,3717,0.007290671579539776,377.0,465.0
14556,77,3883,0.0024643323849886656,378.0,1509.0
15422,112,5649,0.003953155130147934,379.0,2093.0
