run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
15676,62,3125,0.9013326168060303,0.0,610.0
14925,135,6763,0.001477703102864325,1.0,413.0
15867,161,8059,0.010581131093204021,2.0,128.0
15873,316,15803,0.038825489580631256,3.0,1751.0
15828,529,26485,0.0003974621940869838,4.0,3069.0
14342,199,9992,0.000827334588393569,5.0,762.0
15777,75,3773,0.08479710668325424,6.0,463.0
15857,1,63,0.11332879215478897,7.0,1296.0
15782,11,573,0.15142594277858734,8.0,3560.0
15437,20,1006,0.019007552415132523,9.0,2394.0
17204,155,7784,0.055563561618328094,10.0,1858.0
15013,172,8611,0.05075136199593544,11.0,2464.0
15592,42,2136,0.04501688480377197,12.0,2865.0
15700,6,327,0.0037960330955684185,13.0,1265.0
15700,8,419,0.2136259824037552,14.0,1962.0
15828,142,7140,0.049910418689250946,15.0,478.0
15886,3,172,0.07823454588651657,16.0,681.0
15892,32,1625,0.006637650541961193,17.0,1413.0
15892,32,1645,0.0011776334140449762,18.0,1420.0
15521,1,66,0.20698998868465424,19.0,2051.0
15907,51,2592,0.005323843099176884,20.0,126.0
18923,124,6238,0.4744819402694702,21.0,74.0
15491,26,1338,0.04334216192364693,22.0,2826.0
15473,7,389,0.6804328560829163,23.0,635.0
15900,25,1278,0.0037254320923238993,24.0,1350.0
18948,167,8393,0.044447556138038635,25.0,1879.0
15859,145,7263,0.043919455260038376,26.0,1332.0
15785,245,12269,0.17379942536354065,27.0,199.0
15762,267,13374,0.048574965447187424,28.0,4469.0
15762,295,14765,0.01039945799857378,29.0,1299.0
15590,62,3103,0.0030298754572868347,30.0,2519.0
15783,195,9798,0.14553222060203552,31.0,1748.0
15895,22,1127,0.037217941135168076,32.0,1862.0
15715,45,2293,0.20431263744831085,33.0,1473.0
15872,75,3771,0.6674750447273254,34.0,751.0
15923,56,2831,0.03753867745399475,35.0,1668.0
15923,439,21972,0.0009912796085700393,36.0,903.0
15657,13,698,0.0034017683938145638,37.0,4145.0
15657,21,1085,0.01081108208745718,38.0,1106.0
15151,282,14139,0.04262201488018036,39.0,1115.0
15633,27,1390,0.09968835115432739,40.0,198.0
15633,35,1757,0.026248661801218987,41.0,455.0
15633,35,1800,0.0016181129030883312,42.0,2069.0
15780,121,6057,0.06334983557462692,43.0,1740.0
15780,121,6100,0.005987037438899279,44.0,1016.0
15894,16,822,0.010076835751533508,45.0,1004.0
15921,17,872,0.028718018904328346,46.0,983.0
18283,86,4346,0.3661626875400543,47.0,2047.0
15775,11,556,0.005369419697672129,48.0,1197.0
15766,32,1640,0.0904485210776329,49.0,1770.0
15466,90,4519,0.11923782527446747,50.0,291.0
15466,178,8916,0.4566773772239685,51.0,2237.0
15466,182,9132,0.006056365091353655,52.0,792.0
15910,71,3568,0.007698961533606052,53.0,1487.0
15794,23,1197,0.010249607264995575,54.0,2165.0
15466,29,1459,0.0009901507291942835,55.0,814.0
15466,82,4113,0.10898146033287048,56.0,1936.0
15466,215,10800,0.018083566799759865,57.0,1172.0
15465,60,3014,0.25735899806022644,58.0,138.0
15677,26,1323,0.022632932290434837,59.0,2642.0
15677,318,15941,0.002157787326723337,60.0,1143.0
15846,62,3132,0.04584133252501488,61.0,1453.0
15921,63,3152,0.7285791635513306,62.0,962.0
14715,18,937,0.006227616686373949,63.0,1002.0
15504,201,10088,0.02090947888791561,64.0,2433.0
15466,175,8778,0.028772644698619843,65.0,2466.0
15872,63,3151,0.02120591141283512,66.0,715.0
15872,67,3370,0.08503464609384537,67.0,1373.0
15931,315,15790,0.0027334834448993206,68.0,2087.0
15931,398,19903,0.000462722236989066,69.0,1233.0
16286,357,17894,0.5086394548416138,70.0,2799.0
15913,51,2582,0.11636307090520859,71.0,1191.0
15445,7,397,0.05593818426132202,72.0,2825.0
15443,59,2959,0.13118407130241394,73.0,632.0
15442,190,9515,0.0014488084707409143,74.0,2237.0
15708,60,3006,0.058081332594156265,75.0,1718.0
15457,9,452,0.021115146577358246,76.0,906.0
15779,46,2350,0.11153044551610947,77.0,1500.0
15677,370,18539,0.0038659663405269384,78.0,1351.0
15458,8,429,0.025230050086975098,79.0,1240.0
15780,89,4469,0.09265442192554474,80.0,3896.0
15828,375,18785,0.01440218836069107,81.0,619.0
15859,276,13835,0.004382806830108166,82.0,1802.0
15859,326,16323,0.14288748800754547,83.0,1934.0
15632,16,822,0.03745487704873085,84.0,180.0
15632,38,1950,0.01651959866285324,85.0,2539.0
15596,67,3356,0.003972675651311874,86.0,4212.0
15900,103,5197,0.055155668407678604,87.0,185.0
15777,51,2564,0.00802843552082777,88.0,1118.0
15800,150,7549,0.009533208794891834,89.0,2033.0
15861,63,3189,0.07910718023777008,90.0,2042.0
15709,62,3128,0.009756597690284252,91.0,1288.0
15647,7,370,0.0014751498820260167,92.0,562.0
15783,12,619,0.05994771793484688,93.0,1300.0
15504,54,2711,0.036682430654764175,94.0,625.0
15803,83,4173,0.036820925772190094,95.0,1226.0
15800,240,12038,0.012944693677127361,96.0,4046.0
15677,97,4876,0.21889285743236542,97.0,1916.0
15466,23,1183,0.09385359287261963,98.0,492.0
15700,50,2503,0.43747857213020325,99.0,2642.0
15794,185,9266,0.17319826781749725,100.0,3896.0
15509,19,971,0.03549409285187721,101.0,761.0
15828,475,23754,0.02302810736000538,102.0,2770.0
15828,483,24192,0.010250261053442955,103.0,2526.0
15589,3,178,0.07285495847463608,104.0,1457.0
15783,10,509,0.02992718107998371,105.0,703.0
15872,1,92,0.05533074960112572,106.0,155.0
15878,80,4031,0.006444969214498997,107.0,108.0
15832,14,720,0.0028793704695999622,108.0,1735.0
17237,181,9077,0.046762097626924515,109.0,455.0
17237,524,26248,0.03461853414773941,110.0,1536.0
18233,328,16439,0.0013746238546445966,111.0,2390.0
15900,44,2201,0.0053648934699594975,112.0,1149.0
15489,104,5234,0.025183435529470444,113.0,268.0
15808,25,1279,0.16541190445423126,114.0,2098.0
15808,88,4441,0.0039104581810534,115.0,1209.0
15466,252,12649,0.010824558325111866,116.0,3480.0
15702,34,1749,0.024639762938022614,117.0,968.0
15921,156,7803,0.08378144353628159,118.0,1948.0
15592,31,1599,0.20975802838802338,119.0,3405.0
15910,132,6604,0.04714144021272659,120.0,2853.0
15904,20,1008,0.007268872112035751,121.0,1484.0
15904,43,2182,0.04842331260442734,122.0,1939.0
15504,113,5652,0.0756504014134407,123.0,4767.0
15913,20,1035,0.004975527990609407,124.0,172.0
15439,17,888,0.08701326698064804,125.0,81.0
15439,17,897,0.03870266675949097,126.0,2465.0
15465,11,563,0.026730095967650414,127.0,439.0
15465,77,3874,0.044753335416316986,128.0,3851.0
15696,3,152,0.025847703218460083,129.0,1518.0
15702,30,1528,0.04260655865073204,130.0,3025.0
15923,5,280,0.008886583149433136,131.0,1647.0
15519,10,502,0.04014822095632553,132.0,147.0
15689,92,4641,0.006743571255356073,133.0,1676.0
15689,158,7949,0.09586337208747864,134.0,4321.0
15794,41,2077,0.030345674604177475,135.0,2388.0
15923,363,18186,0.04921096935868263,136.0,1506.0
15783,182,9134,0.027575518935918808,137.0,1043.0
15632,2,137,0.00626671826466918,138.0,2324.0
15792,189,9453,0.10552108287811279,139.0,1460.0
15778,23,1189,0.01164292637258768,140.0,4122.0
15863,4,235,0.031207159161567688,141.0,2090.0
15504,208,10413,0.0024707724805921316,142.0,1459.0
15689,118,5907,0.5699989795684814,143.0,846.0
15910,178,8929,0.057173971086740494,144.0,1302.0
15151,266,13312,0.05590866878628731,145.0,798.0
15828,312,15633,0.0012856096727773547,146.0,1631.0
15918,28,1436,0.16976670920848846,147.0,2145.0
15751,4,248,0.013744284398853779,148.0,5148.0
15751,33,1658,0.007294607348740101,149.0,57.0
15677,39,1961,0.20030812919139862,150.0,1362.0
15828,140,7012,0.02975970320403576,151.0,1590.0
15828,304,15203,0.5040997266769409,152.0,1010.0
15828,304,15249,0.018553968518972397,153.0,400.0
15892,57,2890,0.044227633625268936,154.0,3178.0
15590,1,56,0.007285145111382008,155.0,1876.0
18021,612,30620,0.046188633888959885,156.0,1623.0
15923,425,21289,0.06297244131565094,157.0,2900.0
15777,9,476,0.06378299742937088,158.0,3426.0
15777,65,3277,0.08838611096143723,159.0,2454.0
15698,10,523,0.005972106941044331,160.0,1729.0
15766,28,1412,0.09073890745639801,161.0,1377.0
15766,28,1417,0.026438919827342033,162.0,761.0
15766,43,2196,0.006975346244871616,163.0,952.0
15871,51,2554,0.0093012023717165,164.0,351.0
15871,66,3303,0.0034420941956341267,165.0,977.0
15871,66,3306,0.03958936035633087,166.0,2698.0
15876,33,1683,0.00811280868947506,167.0,4731.0
14715,25,1265,0.0012041045119985938,168.0,532.0
15466,33,1694,0.026365546509623528,169.0,517.0
15800,233,11699,0.014588719233870506,170.0,1237.0
15456,38,1934,0.04562314599752426,171.0,1364.0
15466,140,7010,0.09747463464736938,172.0,860.0
15840,22,1101,0.021077372133731842,173.0,1696.0
15709,29,1483,0.028283409774303436,174.0,2847.0
15890,46,2348,0.13371582329273224,175.0,1960.0
16141,207,10386,0.5980207324028015,176.0,1401.0
15715,40,2017,0.019071731716394424,177.0,311.0
15903,19,964,0.11899206042289734,178.0,1649.0
15903,57,2868,0.0531117208302021,179.0,1065.0
15451,27,1400,0.013709167018532753,180.0,908.0
15923,29,1477,0.006221212912350893,181.0,4718.0
15632,3,176,0.409718781709671,182.0,532.0
15829,32,1602,0.39892980456352234,183.0,2067.0
14745,153,7678,0.0155351422727108,184.0,1134.0
15832,37,1885,0.0011032583424821496,185.0,1757.0
15832,128,6424,0.004352704156190157,186.0,4003.0
15491,328,16405,0.8781251907348633,187.0,1008.0
15907,94,4714,0.023049529641866684,188.0,1925.0
14897,156,7820,0.37422627210617065,189.0,2128.0
15590,350,17512,0.040027037262916565,190.0,1258.0
15923,84,4202,0.0688275694847107,191.0,2255.0
15592,117,5900,0.2198718786239624,192.0,167.0
15900,39,1996,0.00535421259701252,193.0,1033.0
15466,272,13629,0.010973210446536541,194.0,1167.0
15900,38,1914,0.061021093279123306,195.0,179.0
16340,165,8271,0.035812534391880035,196.0,683.0
16340,165,8290,0.011543652042746544,197.0,1577.0
16340,286,14302,0.10377359390258789,198.0,2553.0
15808,4,214,0.007265962194651365,199.0,1514.0
16200,71,3563,0.017156781628727913,200.0,785.0
15965,487,24383,0.08329714089632034,201.0,2295.0
18062,263,13200,0.032500188797712326,202.0,2199.0
18862,53,2687,0.366122841835022,203.0,2579.0
16199,158,7908,0.048177894204854965,204.0,1832.0
16075,32,1612,0.008388742804527283,205.0,1770.0
16770,116,5804,0.003621151903644204,206.0,3485.0
14225,55,2767,0.023725345730781555,207.0,128.0
15589,343,17200,0.05924651026725769,208.0,1392.0
16776,12,610,0.009982840158045292,209.0,167.0
16536,28,1423,0.0043188706040382385,210.0,996.0
15433,33,1675,0.036554526537656784,211.0,2488.0
15799,246,12314,0.20910020172595978,212.0,470.0
16889,262,13106,0.0002826071286108345,213.0,864.0
15264,19,991,0.036640167236328125,214.0,2875.0
16209,118,5942,0.026527278125286102,215.0,1794.0
16874,220,11048,0.0009283613762818277,216.0,576.0
15299,14,701,0.017662009224295616,217.0,2025.0
15299,14,743,0.007463857531547546,218.0,3029.0
15966,171,8591,0.0069387368857860565,219.0,442.0
16453,364,18209,0.509964644908905,220.0,1420.0
16453,384,19233,0.10006741434335709,221.0,2223.0
16724,102,5108,0.022061271592974663,222.0,1139.0
18512,137,6864,0.04641984403133392,223.0,1923.0
18512,182,9117,0.052559055387973785,224.0,738.0
15394,90,4507,0.010946420021355152,225.0,721.0
14121,45,2295,0.030376115813851357,226.0,1760.0
18677,283,14177,0.006671901326626539,227.0,1039.0
16150,39,1997,0.005795384291559458,228.0,585.0
16150,235,11770,0.11152477562427521,229.0,4269.0
15249,17,889,0.046403881162405014,230.0,1188.0
15415,182,9114,0.018545115366578102,231.0,1029.0
16048,3,156,0.9232426881790161,232.0,1073.0
16048,11,562,0.02063436433672905,233.0,3157.0
16048,12,645,0.002957676537334919,234.0,825.0
16147,215,10752,0.0019342389423400164,235.0,2221.0
18032,344,17242,0.039902400225400925,236.0,2475.0
18770,10,520,0.04107153043150902,237.0,2022.0
17818,24,1219,0.25815942883491516,238.0,2559.0
14123,83,4167,0.010295338928699493,239.0,718.0
18634,19,955,0.015335525386035442,240.0,1661.0
