run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
15676,62,3125,0.06831128150224686,0.0,610.0
14925,135,6763,0.0031891465187072754,1.0,413.0
15867,161,8059,0.028066977858543396,2.0,128.0
15873,316,15803,0.002174056600779295,3.0,1751.0
15828,529,26485,0.1190497875213623,4.0,3069.0
14342,199,9992,0.002115265466272831,5.0,762.0
15777,75,3773,0.014308527112007141,6.0,463.0
15857,1,63,0.0018948004581034184,7.0,1296.0
15782,11,573,4.825780706596561e-06,8.0,3560.0
15437,20,1006,0.1301865130662918,9.0,2394.0
17204,155,7784,0.0018775395583361387,10.0,1858.0
15013,172,8611,0.07406182587146759,11.0,2464.0
15592,42,2136,0.0018314420012757182,12.0,2865.0
15700,6,327,0.01774011366069317,13.0,1265.0
15700,8,419,0.012041831389069557,14.0,1962.0
15828,142,7140,0.0018739436054602265,15.0,478.0
15886,3,172,0.006162184290587902,16.0,681.0
15892,32,1625,0.000770028680562973,17.0,1413.0
15892,32,1645,1.1542941138031892e-05,18.0,1420.0
15521,1,66,7.569939498353051e-06,19.0,2051.0
15907,51,2592,0.0010860369075089693,20.0,126.0
18923,124,6238,0.30105218291282654,21.0,74.0
15491,26,1338,0.0008296812884509563,22.0,2826.0
15473,7,389,0.9374977350234985,23.0,635.0
15900,25,1278,0.0008706759545020759,24.0,1350.0
18948,167,8393,0.014236191287636757,25.0,1879.0
15859,145,7263,0.9628561735153198,26.0,1332.0
15785,245,12269,0.037184640765190125,27.0,199.0
15762,267,13374,4.0161683045880636e-07,28.0,4469.0
15762,295,14765,0.0001052056104526855,29.0,1299.0
15590,62,3103,0.0018254313617944717,30.0,2519.0
15783,195,9798,0.8565629720687866,31.0,1748.0
15895,22,1127,0.000435991765698418,32.0,1862.0
15715,45,2293,0.009744535200297832,33.0,1473.0
15872,75,3771,0.27465713024139404,34.0,751.0
15923,56,2831,0.0011261141626164317,35.0,1668.0
15923,439,21972,0.042306236922740936,36.0,903.0
15657,13,698,0.000840533641166985,37.0,4145.0
15657,21,1085,0.010050280950963497,38.0,1106.0
15151,282,14139,0.0006311613833531737,39.0,1115.0
15633,27,1390,0.0003235215845052153,40.0,198.0
15633,35,1757,0.03492129594087601,41.0,455.0
15633,35,1800,0.004637021571397781,42.0,2069.0
15780,121,6057,0.006859800312668085,43.0,1740.0
15780,121,6100,0.0021958232391625643,44.0,1016.0
15894,16,822,0.001740100560709834,45.0,1004.0
15921,17,872,0.004405233543366194,46.0,983.0
18283,86,4346,0.0013967029517516494,47.0,2047.0
15775,11,556,0.01142003946006298,48.0,1197.0
15766,32,1640,0.013406994752585888,49.0,1770.0
15466,90,4519,0.003627245547249913,50.0,291.0
15466,178,8916,0.2074427455663681,51.0,2237.0
15466,182,9132,0.0001447359099984169,52.0,792.0
15910,71,3568,0.00021889913477934897,53.0,1487.0
15794,23,1197,0.028636295348405838,54.0,2165.0
15466,29,1459,0.0011906219879165292,55.0,814.0
15466,82,4113,0.0036367897409945726,56.0,1936.0
15466,215,10800,0.0002196044661104679,57.0,1172.0
15465,60,3014,0.02512582205235958,58.0,138.0
15677,26,1323,0.006578842177987099,59.0,2642.0
15677,318,15941,0.0005667711957357824,60.0,1143.0
15846,62,3132,0.0026560830883681774,61.0,1453.0
15921,63,3152,0.003989006858319044,62.0,962.0
14715,18,937,0.004264827352017164,63.0,1002.0
15504,201,10088,0.000451559986686334,64.0,2433.0
15466,175,8778,0.007694608997553587,65.0,2466.0
15872,63,3151,8.464590064249933e-05,66.0,715.0
15872,67,3370,0.0014765368541702628,67.0,1373.0
15931,315,15790,0.004652320872992277,68.0,2087.0
15931,398,19903,0.00016770471120253205,69.0,1233.0
16286,357,17894,0.01687178574502468,70.0,2799.0
15913,51,2582,0.005219459068030119,71.0,1191.0
15445,7,397,0.010790618136525154,72.0,2825.0
15443,59,2959,0.0028482917696237564,73.0,632.0
15442,190,9515,0.014973090961575508,74.0,2237.0
15708,60,3006,0.006819919217377901,75.0,1718.0
15457,9,452,0.0017076836666092277,76.0,906.0
15779,46,2350,0.011162957176566124,77.0,1500.0
15677,370,18539,0.018321583047509193,78.0,1351.0
15458,8,429,0.001094058621674776,79.0,1240.0
15780,89,4469,0.03493344783782959,80.0,3896.0
15828,375,18785,0.00020643546304199845,81.0,619.0
15859,276,13835,0.0022907613310962915,82.0,1802.0
15859,326,16323,0.0032096824143081903,83.0,1934.0
15632,16,822,0.0043609472922980785,84.0,180.0
15632,38,1950,0.008176127448678017,85.0,2539.0
15596,67,3356,0.0004752283275593072,86.0,4212.0
15900,103,5197,0.14426471292972565,87.0,185.0
15777,51,2564,0.00062785972841084,88.0,1118.0
15800,150,7549,0.0014055803185328841,89.0,2033.0
15861,63,3189,0.0029212457593530416,90.0,2042.0
15709,62,3128,0.005348380655050278,91.0,1288.0
15647,7,370,0.012078294530510902,92.0,562.0
15783,12,619,0.004971848800778389,93.0,1300.0
15504,54,2711,0.005072066094726324,94.0,625.0
15803,83,4173,0.004043295048177242,95.0,1226.0
15800,240,12038,0.007652128115296364,96.0,4046.0
15677,97,4876,0.02345053292810917,97.0,1916.0
15466,23,1183,0.0008231954416260123,98.0,492.0
15700,50,2503,9.706273885967676e-06,99.0,2642.0
15794,185,9266,1.6516642062924802e-05,100.0,3896.0
15509,19,971,0.012126611545681953,101.0,761.0
15828,475,23754,0.004296347498893738,102.0,2770.0
15828,483,24192,0.008392373099923134,103.0,2526.0
15589,3,178,0.00018412520876154304,104.0,1457.0
15783,10,509,0.0026420385111123323,105.0,703.0
15872,1,92,0.008777453564107418,106.0,155.0
15878,80,4031,0.007033998146653175,107.0,108.0
15832,14,720,0.001611335203051567,108.0,1735.0
17237,181,9077,0.00037475614226423204,109.0,455.0
17237,524,26248,0.0033295108005404472,110.0,1536.0
18233,328,16439,0.0019391286186873913,111.0,2390.0
15900,44,2201,0.02544340118765831,112.0,1149.0
15489,104,5234,0.0009108416852541268,113.0,268.0
15808,25,1279,0.003446426475420594,114.0,2098.0
15808,88,4441,0.010987646877765656,115.0,1209.0
15466,252,12649,0.0031248026061803102,116.0,3480.0
15702,34,1749,0.0029074358753859997,117.0,968.0
15921,156,7803,0.00762281846255064,118.0,1948.0
15592,31,1599,0.005374028813093901,119.0,3405.0
15910,132,6604,0.0056878565810620785,120.0,2853.0
15904,20,1008,0.001673384103924036,121.0,1484.0
15904,43,2182,0.003524111583828926,122.0,1939.0
15504,113,5652,0.003916350193321705,123.0,4767.0
15913,20,1035,0.0009954633424058557,124.0,172.0
15439,17,888,0.007092804182320833,125.0,81.0
15439,17,897,0.00011892364273080602,126.0,2465.0
15465,11,563,0.00813177041709423,127.0,439.0
15465,77,3874,0.061601828783750534,128.0,3851.0
15696,3,152,0.0001838367898017168,129.0,1518.0
15702,30,1528,0.009302648715674877,130.0,3025.0
15923,5,280,0.001247623935341835,131.0,1647.0
15519,10,502,0.0007043942459858954,132.0,147.0
15689,92,4641,0.009686106815934181,133.0,1676.0
15689,158,7949,0.00026289268862456083,134.0,4321.0
15794,41,2077,0.0030369050800800323,135.0,2388.0
15923,363,18186,0.0014084792928770185,136.0,1506.0
15783,182,9134,0.0027412755880504847,137.0,1043.0
15632,2,137,0.0050980765372514725,138.0,2324.0
15792,189,9453,0.013168095611035824,139.0,1460.0
15778,23,1189,0.00034980723285116255,140.0,4122.0
15863,4,235,0.03145025297999382,141.0,2090.0
15504,208,10413,0.10125777125358582,142.0,1459.0
15689,118,5907,0.001711505465209484,143.0,846.0
15910,178,8929,0.05245962366461754,144.0,1302.0
15151,266,13312,0.004507367964833975,145.0,798.0
15828,312,15633,0.007787876296788454,146.0,1631.0
15918,28,1436,0.001123038469813764,147.0,2145.0
15751,4,248,0.0013417028822004795,148.0,5148.0
15751,33,1658,0.07473525404930115,149.0,57.0
15677,39,1961,0.004752269480377436,150.0,1362.0
15828,140,7012,0.0015769926831126213,151.0,1590.0
15828,304,15203,0.052775464951992035,152.0,1010.0
15828,304,15249,0.00031645892886444926,153.0,400.0
15892,57,2890,0.00012704278924502432,154.0,3178.0
15590,1,56,0.0031957319006323814,155.0,1876.0
18021,612,30620,0.024936821311712265,156.0,1623.0
15923,425,21289,0.005244510248303413,157.0,2900.0
15777,9,476,0.0002970369241666049,158.0,3426.0
15777,65,3277,0.0006019449210725725,159.0,2454.0
15698,10,523,0.00228422530926764,160.0,1729.0
15766,28,1412,0.012692347168922424,161.0,1377.0
15766,28,1417,0.006498260889202356,162.0,761.0
15766,43,2196,0.0040468573570251465,163.0,952.0
15871,51,2554,0.04466812685132027,164.0,351.0
15871,66,3303,0.000987793318927288,165.0,977.0
15871,66,3306,0.13700450956821442,166.0,2698.0
15876,33,1683,8.001555329428811e-07,167.0,4731.0
14715,25,1265,0.0236322320997715,168.0,532.0
15466,33,1694,0.009007838554680347,169.0,517.0
15800,233,11699,0.010211603716015816,170.0,1237.0
15456,38,1934,0.024228960275650024,171.0,1364.0
15466,140,7010,0.21082793176174164,172.0,860.0
15840,22,1101,0.0018248907290399075,173.0,1696.0
15709,29,1483,0.0022675280924886465,174.0,2847.0
15890,46,2348,0.09101361036300659,175.0,1960.0
16141,207,10386,0.26540589332580566,176.0,1401.0
15715,40,2017,0.0031674648635089397,177.0,311.0
15903,19,964,0.0022231731563806534,178.0,1649.0
15903,57,2868,0.004134331364184618,179.0,1065.0
15451,27,1400,0.04619576781988144,180.0,908.0
15923,29,1477,0.0006820724811404943,181.0,4718.0
15632,3,176,0.009057561866939068,182.0,532.0
15829,32,1602,0.02950211986899376,183.0,2067.0
14745,153,7678,0.0030166569631546736,184.0,1134.0
15832,37,1885,1.589516962496873e-08,185.0,1757.0
15832,128,6424,0.006328667048364878,186.0,4003.0
15491,328,16405,0.7515226602554321,187.0,1008.0
15907,94,4714,0.0035431855358183384,188.0,1925.0
14897,156,7820,0.034011196345090866,189.0,2128.0
15590,350,17512,0.013234803453087807,190.0,1258.0
15923,84,4202,0.002601080108433962,191.0,2255.0
15592,117,5900,0.0034771612845361233,192.0,167.0
15900,39,1996,0.0171879343688488,193.0,1033.0
15466,272,13629,0.0020340997725725174,194.0,1167.0
15900,38,1914,0.18413066864013672,195.0,179.0
16340,165,8271,0.035482071340084076,196.0,683.0
16340,165,8290,0.006621615961194038,197.0,1577.0
16340,286,14302,0.004635549150407314,198.0,2553.0
15808,4,214,0.0004696488904301077,199.0,1514.0
16200,71,3563,0.0035971265751868486,200.0,785.0
15965,487,24383,0.20208624005317688,201.0,2295.0
18062,263,13200,0.01851603016257286,202.0,2199.0
18862,53,2687,0.0019066946115344763,203.0,2579.0
16199,158,7908,0.0011245050700381398,204.0,1832.0
16075,32,1612,0.0008321357308886945,205.0,1770.0
16770,116,5804,0.006320779211819172,206.0,3485.0
14225,55,2767,0.0010335176484659314,207.0,128.0
15589,343,17200,0.0013939322670921683,208.0,1392.0
16776,12,610,0.017601024359464645,209.0,167.0
16536,28,1423,0.0036728770937770605,210.0,996.0
15433,33,1675,0.002251447644084692,211.0,2488.0
15799,246,12314,0.16714386641979218,212.0,470.0
16889,262,13106,0.00014002688112668693,213.0,864.0
15264,19,991,0.0005683970521204174,214.0,2875.0
16209,118,5942,3.322778138681315e-05,215.0,1794.0
16874,220,11048,0.0023648638743907213,216.0,576.0
15299,14,701,0.0006237032939679921,217.0,2025.0
15299,14,743,0.00011437187640694901,218.0,3029.0
15966,171,8591,0.006294687744230032,219.0,442.0
16453,364,18209,0.09946692734956741,220.0,1420.0
16453,384,19233,0.00014570035273209214,221.0,2223.0
16724,102,5108,0.013931152410805225,222.0,1139.0
18512,137,6864,0.002673650626093149,223.0,1923.0
18512,182,9117,0.0005903010023757815,224.0,738.0
15394,90,4507,0.011294158175587654,225.0,721.0
14121,45,2295,0.01565737836062908,226.0,1760.0
18677,283,14177,0.015416285023093224,227.0,1039.0
16150,39,1997,0.010748079046607018,228.0,585.0
16150,235,11770,0.00281566777266562,229.0,4269.0
15249,17,889,0.002015963662415743,230.0,1188.0
15415,182,9114,2.999282955329363e-08,231.0,1029.0
16048,3,156,0.07083521783351898,232.0,1073.0
16048,11,562,0.03494511917233467,233.0,3157.0
16048,12,645,0.0028294483199715614,234.0,825.0
16147,215,10752,0.0018514866242185235,235.0,2221.0
18032,344,17242,0.000712936045601964,236.0,2475.0
18770,10,520,0.0004113783943466842,237.0,2022.0
17818,24,1219,0.004927217029035091,238.0,2559.0
14123,83,4167,0.0019211774924769998,239.0,718.0
18634,19,955,0.012086314149200916,240.0,1661.0
18059,205,10252,0.011255216784775257,241.0,2106.0
16949,136,6828,0.019969604909420013,242.0,1806.0
16514,13,666,0.01342699769884348,243.0,1606.0
15989,504,25237,0.014785123988986015,244.0,2102.0
16571,26,1318,0.0005571104120463133,245.0,825.0
15774,331,16555,0.0014022525865584612,246.0,3066.0
14154,73,3681,0.008060595951974392,247.0,99.0
16228,41,2089,0.09925571084022522,248.0,575.0
16831,22,1144,0.00014412484597414732,249.0,2367.0
15425,197,9892,0.003763360669836402,250.0,2055.0
18463,210,10512,0.009217672049999237,251.0,1812.0
18463,468,23422,0.0002673344570212066,252.0,837.0
16802,223,11166,0.051907699555158615,253.0,2607.0
18032,572,28649,0.0049147228710353374,254.0,2223.0
16551,272,13603,0.09433284401893616,255.0,124.0
16551,272,13645,0.004692375659942627,256.0,1392.0
18677,253,12688,0.0008755422895774245,257.0,2229.0
16853,10,516,0.059480566531419754,258.0,1638.0
15989,494,24719,0.025633051991462708,259.0,2254.0
18463,121,6059,0.007542724255472422,260.0,2020.0
18941,41,2097,0.003132936544716358,261.0,2446.0
18610,215,10795,0.006789587903767824,262.0,1185.0
18610,234,11708,0.00012877938570454717,263.0,496.0
15593,250,12548,0.0014867405407130718,264.0,1487.0
18007,9,481,0.00043321686098352075,265.0,1823.0
18007,9,498,0.11009027063846588,266.0,2533.0
15916,96,4804,0.1459578275680542,267.0,2520.0
15916,380,19024,0.009328458458185196,268.0,297.0
15771,44,2243,0.0004194353532511741,269.0,1653.0
15771,44,2249,0.00016616343054920435,270.0,3202.0
16101,67,3364,0.002524311188608408,271.0,2470.0
17861,335,16769,0.01205082144588232,272.0,273.0
18770,47,2355,0.018026061356067657,273.0,995.0
15873,168,8445,0.002204092452302575,274.0,3231.0
18603,245,12256,0.0009736911742947996,275.0,76.0
15975,7,372,0.08302947133779526,276.0,1436.0
15975,98,4904,0.012100066989660263,277.0,205.0
16964,167,8353,0.03479904681444168,278.0,777.0
14174,160,8034,0.00988323800265789,279.0,388.0
14174,175,8793,0.004021922126412392,280.0,949.0
16889,32,1609,0.0037198897916823626,281.0,2338.0
16889,32,1646,0.015233678743243217,282.0,2081.0
18265,7,397,5.717969179386273e-05,283.0,902.0
15386,101,5072,0.03213696554303169,284.0,1194.0
15774,116,5844,0.01886805333197117,285.0,1040.0
18527,412,20631,3.169402873481886e-08,286.0,8936.0
17013,31,1582,0.0005581340519711375,287.0,1618.0
16551,77,3897,0.030375588685274124,288.0,87.0
16551,122,6149,0.001581806456670165,289.0,3799.0
18032,427,21395,0.48123490810394287,290.0,1001.0
18481,13,674,0.005438230466097593,291.0,1721.0
14148,180,9008,0.007496699690818787,292.0,515.0
15242,86,4325,0.051709964871406555,293.0,1874.0
16557,28,1419,0.0015091290697455406,294.0,1374.0
18954,401,20077,0.0003701080859173089,295.0,1871.0
16448,11,573,0.0001278226700378582,296.0,1628.0
16906,68,3429,0.0007339301519095898,297.0,2391.0
18238,199,9960,0.0009644429082982242,298.0,1318.0
15916,340,17020,0.0025706735905259848,299.0,1235.0
15225,25,1265,0.0005765818059444427,300.0,2070.0
18863,46,2308,0.0074629816226661205,301.0,1774.0
18863,161,8088,0.0014726731460541487,302.0,4757.0
15501,5,265,0.22342762351036072,303.0,1508.0
14154,7,363,6.022599700372666e-05,304.0,3894.0
18957,103,5151,0.0071859052404761314,305.0,1351.0
18957,355,17758,2.4833352654241025e-05,306.0,1112.0
15634,75,3800,4.679673656937666e-05,307.0,2738.0
16894,28,1448,0.013982724398374557,308.0,738.0
16080,26,1322,0.004546536598354578,309.0,1111.0
16794,6,311,0.009776187129318714,310.0,411.0
18219,34,1725,0.03869058936834335,311.0,3650.0
15949,232,11616,0.0016613313928246498,312.0,444.0
14157,100,5038,0.002761614276096225,313.0,6272.0
14186,9,477,0.0003497885772958398,314.0,1420.0
14186,129,6466,0.00812818668782711,315.0,842.0
16514,34,1728,7.681341230636463e-06,316.0,4849.0
16514,34,1742,0.17357300221920013,317.0,2311.0
18685,303,15184,0.005872457753866911,318.0,439.0
15411,228,11441,5.380467200666317e-07,319.0,4839.0
16845,47,2383,0.0032865593675523996,320.0,2341.0
16845,249,12463,0.011099688708782196,321.0,455.0
15282,67,3385,0.0008014853810891509,322.0,2422.0
16845,387,19390,0.00019728357437998056,323.0,4127.0
14149,196,9806,0.0011388122802600265,324.0,3327.0
16036,508,25443,0.010171199217438698,325.0,1548.0
14152,250,12541,0.0006721247918903828,326.0,2851.0
15634,210,10530,0.0006747167208231986,327.0,1539.0
18508,37,1871,0.0015169220278039575,328.0,1700.0
16091,36,1815,0.0016011236002668738,329.0,1595.0
18678,22,1121,0.00042766937986016273,330.0,821.0
16946,110,5543,0.0015315257478505373,331.0,3096.0
16169,358,17939,0.0010644042631611228,332.0,2306.0
16312,119,5965,0.9924610257148743,333.0,2073.0
18779,95,4787,0.0006350393523462117,334.0,1433.0
