run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
15676,62,3125,0.06582700461149216,0.0,610.0
14925,135,6763,0.00717717781662941,1.0,413.0
15867,161,8059,0.05253065750002861,2.0,128.0
15873,316,15803,0.0204616766422987,3.0,1751.0
15828,529,26485,0.03197658434510231,4.0,3069.0
14342,199,9992,0.007249859161674976,5.0,762.0
15777,75,3773,0.0250125452876091,6.0,463.0
15857,1,63,0.012847233563661575,7.0,1296.0
15782,11,573,0.02393028326332569,8.0,3560.0
15437,20,1006,0.03388164937496185,9.0,2394.0
17204,155,7784,0.015674812719225883,10.0,1858.0
15013,172,8611,0.03228481486439705,11.0,2464.0
15592,42,2136,0.016953570768237114,12.0,2865.0
15700,6,327,0.01056404784321785,13.0,1265.0
15700,8,419,0.017533335834741592,14.0,1962.0
15828,142,7140,0.01402379386126995,15.0,478.0
15886,3,172,0.012284206226468086,16.0,681.0
15892,32,1625,0.01795528456568718,17.0,1413.0
15892,32,1645,0.006157306022942066,18.0,1420.0
15521,1,66,0.009192073717713356,19.0,2051.0
15907,51,2592,0.01011518482118845,20.0,126.0
18923,124,6238,0.6609309315681458,21.0,74.0
15491,26,1338,0.018156059086322784,22.0,2826.0
15473,7,389,0.11658023297786713,23.0,635.0
15900,25,1278,0.012463307939469814,24.0,1350.0
18948,167,8393,0.025103813037276268,25.0,1879.0
15859,145,7263,0.2329828143119812,26.0,1332.0
15785,245,12269,0.16725623607635498,27.0,199.0
15762,267,13374,0.02917606569826603,28.0,4469.0
15762,295,14765,0.005584281869232655,29.0,1299.0
15590,62,3103,0.02067176252603531,30.0,2519.0
15783,195,9798,0.12294488400220871,31.0,1748.0
15895,22,1127,0.014681419357657433,32.0,1862.0
15715,45,2293,0.010599379427731037,33.0,1473.0
15872,75,3771,0.14013822376728058,34.0,751.0
15923,56,2831,0.011003032326698303,35.0,1668.0
15923,439,21972,0.010499306954443455,36.0,903.0
15657,13,698,0.025510244071483612,37.0,4145.0
15657,21,1085,0.015539269894361496,38.0,1106.0
15151,282,14139,0.011477974243462086,39.0,1115.0
15633,27,1390,0.022160766646265984,40.0,198.0
15633,35,1757,0.019364390522241592,41.0,455.0
15633,35,1800,0.021038392558693886,42.0,2069.0
15780,121,6057,0.06257998943328857,43.0,1740.0
15780,121,6100,0.014003921300172806,44.0,1016.0
15894,16,822,0.012693781405687332,45.0,1004.0
15921,17,872,0.0296933576464653,46.0,983.0
18283,86,4346,0.007696102373301983,47.0,2047.0
15775,11,556,0.009540559723973274,48.0,1197.0
15766,32,1640,0.023049496114253998,49.0,1770.0
15466,90,4519,0.010969060473144054,50.0,291.0
15466,178,8916,0.07894551753997803,51.0,2237.0
15466,182,9132,0.008892111480236053,52.0,792.0
15910,71,3568,0.005581587087363005,53.0,1487.0
15794,23,1197,0.017469245940446854,54.0,2165.0
15466,29,1459,0.00733443396165967,55.0,814.0
15466,82,4113,0.010000362992286682,56.0,1936.0
15466,215,10800,0.012973419390618801,57.0,1172.0
15465,60,3014,0.08468107879161835,58.0,138.0
15677,26,1323,0.02070467174053192,59.0,2642.0
