run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
17195,25,1281,0.9724847674369812,0.0,1566.0
17195,185,9293,0.009863607585430145,1.0,1051.0
17229,11,573,0.013490315526723862,2.0,1068.0
14991,32,1607,0.015471301972866058,3.0,2608.0
14991,190,9544,0.020993897691369057,4.0,2265.0
14991,214,10742,0.009430903010070324,5.0,1166.0
15147,106,5304,0.009684570133686066,6.0,2249.0
17556,67,3358,0.01521909236907959,7.0,976.0
17556,90,4517,0.022468380630016327,8.0,2938.0
14938,43,2200,0.02209736779332161,9.0,1004.0
14938,218,10933,0.02470659837126732,10.0,1166.0
17194,34,1717,0.13955070078372955,11.0,2753.0
17144,36,1812,0.03103450872004032,12.0,1300.0
17144,175,8770,0.026448464021086693,13.0,2702.0
17281,9,495,0.009473328478634357,14.0,1036.0
15099,155,7766,0.011400251649320126,15.0,938.0
15222,43,2167,0.030968885868787766,16.0,1153.0
15222,43,2186,0.013662540353834629,17.0,4827.0
17164,115,5780,0.9872388243675232,18.0,2574.0
17164,120,6007,0.1994083821773529,19.0,2698.0
17164,132,6607,0.8328491449356079,20.0,1997.0
17267,53,2688,0.037277959287166595,21.0,855.0
17132,362,18108,0.01366478856652975,22.0,1878.0
17520,6,315,0.015335747972130775,23.0,2327.0
17239,218,10903,0.050363894551992416,24.0,1855.0
17239,301,15053,0.031545259058475494,25.0,1453.0
17389,106,5339,0.022660380229353905,26.0,4531.0
17389,113,5684,0.00549694849178195,27.0,1519.0
15128,45,2292,0.9704514741897583,28.0,980.0
17093,54,2745,0.010922957211732864,29.0,1653.0
17534,115,5767,0.037030450999736786,30.0,1136.0
17534,115,5779,0.06806057691574097,31.0,1931.0
15116,81,4062,0.01319137029349804,32.0,992.0
15116,81,4064,0.018766075372695923,33.0,410.0
15116,201,10097,0.004474951885640621,34.0,548.0
17451,163,8191,0.04316190630197525,35.0,1014.0
17451,227,11365,0.010677174665033817,36.0,786.0
15156,23,1158,0.008052605204284191,37.0,570.0
15156,26,1314,0.007657485548406839,38.0,1449.0
17407,95,4758,0.17247459292411804,39.0,2545.0
15174,102,5132,0.0048400480300188065,40.0,302.0
17494,26,1337,0.2281446009874344,41.0,2461.0
17361,142,7114,0.008320050314068794,42.0,1241.0
17361,234,11701,0.01994440332055092,43.0,1600.0
17383,548,27416,0.004295921418815851,44.0,1106.0
17185,21,1085,0.9226773381233215,45.0,1292.0
15136,106,5306,0.01048333290964365,46.0,498.0
15122,37,1857,0.02804890275001526,47.0,2272.0
17116,1,65,0.09238294512033463,48.0,2069.0
17116,1,98,0.005801272112876177,49.0,905.0
17116,77,3862,0.05830180272459984,50.0,299.0
17116,122,6125,0.015124611556529999,51.0,2035.0
17116,122,6137,0.03678672015666962,52.0,3695.0
17195,6,331,0.0071624526754021645,53.0,706.0
17336,40,2001,0.09112758934497833,54.0,2121.0
17336,43,2174,0.007798259146511555,55.0,469.0
17415,223,11194,0.03771122917532921,56.0,1855.0
17415,288,14403,0.011686470359563828,57.0,1173.0
15140,207,10400,0.00540767190977931,58.0,525.0
17126,19,967,0.03309887647628784,59.0,1874.0
17075,44,2205,0.046378765255212784,60.0,4595.0
17075,143,7190,0.026102054864168167,61.0,385.0
17210,214,10713,0.003832713235169649,62.0,720.0
17088,4,227,0.00477980263531208,63.0,137.0
17088,11,592,0.005183279048651457,64.0,613.0
17281,6,332,0.037455324083566666,65.0,1561.0
17281,44,2243,0.05823354423046112,66.0,2100.0
17168,10,543,0.012932579964399338,67.0,972.0
17122,149,7460,0.012827740050852299,68.0,1556.0
15013,220,11017,0.02726706489920616,69.0,1165.0
17415,269,13481,0.01145756896585226,70.0,5411.0
15111,58,2924,0.028310585767030716,71.0,633.0
15111,230,11538,0.011348368600010872,72.0,537.0
17114,65,3283,0.00367120117880404,73.0,1449.0
17239,64,3211,0.2115592062473297,74.0,1710.0
17239,120,6009,0.01715841330587864,75.0,2247.0
17407,56,2837,0.03939242660999298,76.0,2831.0
17132,81,4095,0.03788471966981888,77.0,190.0
17388,1,61,0.014194021001458168,78.0,2527.0
17388,8,438,0.04113162308931351,79.0,1501.0
17453,1,77,0.01120420265942812,80.0,569.0
17077,129,6453,0.010201959870755672,81.0,1231.0
17077,129,6500,0.08552026003599167,82.0,1271.0
17128,71,3598,0.012985368259251118,83.0,846.0
15160,135,6796,0.006971512921154499,84.0,974.0
17162,31,1594,0.011837867088615894,85.0,1032.0
17162,128,6419,0.029679536819458008,86.0,3414.0
17183,4,214,0.8982406854629517,87.0,2582.0
17183,6,349,0.9829574227333069,88.0,2294.0
17183,25,1252,0.010173071175813675,89.0,1192.0
17360,22,1145,0.03190945088863373,90.0,2985.0
17343,10,511,0.009549143724143505,91.0,2500.0
