run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
17195,25,1281,0.04273482784628868,0.0,1566.0
17195,185,9293,0.000562152941711247,1.0,1051.0
17229,11,573,0.0015772668411955237,2.0,1068.0
14991,32,1607,0.12515634298324585,3.0,2608.0
14991,190,9544,0.003256547264754772,4.0,2265.0
14991,214,10742,0.006685690023005009,5.0,1166.0
15147,106,5304,0.0007081283838488162,6.0,2249.0
17556,67,3358,0.0017559729749336839,7.0,976.0
17556,90,4517,0.006923894863575697,8.0,2938.0
14938,43,2200,0.037530314177274704,9.0,1004.0
14938,218,10933,0.005013314075767994,10.0,1166.0
17194,34,1717,0.09859716892242432,11.0,2753.0
17144,36,1812,0.003919349983334541,12.0,1300.0
17144,175,8770,0.11374907195568085,13.0,2702.0
17281,9,495,0.004053086508065462,14.0,1036.0
15099,155,7766,0.0007680858252570033,15.0,938.0
15222,43,2167,0.00023488821170758456,16.0,1153.0
15222,43,2186,0.0004165841965004802,17.0,4827.0
17164,115,5780,0.99998939037323,18.0,2574.0
17164,120,6007,0.025260139256715775,19.0,2698.0
17164,132,6607,0.07659153640270233,20.0,1997.0
17267,53,2688,0.019533991813659668,21.0,855.0
17132,362,18108,0.005695674102753401,22.0,1878.0
17520,6,315,0.007403806317597628,23.0,2327.0
17239,218,10903,0.029901977628469467,24.0,1855.0
17239,301,15053,0.8239041566848755,25.0,1453.0
17389,106,5339,0.0015447585610672832,26.0,4531.0
17389,113,5684,0.00023973872885107994,27.0,1519.0
15128,45,2292,0.8993467092514038,28.0,980.0
17093,54,2745,0.0002156660775654018,29.0,1653.0
17534,115,5767,0.0007814301061443985,30.0,1136.0
17534,115,5779,0.03830873221158981,31.0,1931.0
15116,81,4062,0.0004029591800644994,32.0,992.0
15116,81,4064,0.42408353090286255,33.0,410.0
15116,201,10097,0.00028798443963751197,34.0,548.0
17451,163,8191,0.36876776814460754,35.0,1014.0
17451,227,11365,0.002369835739955306,36.0,786.0
15156,23,1158,0.0020072467159479856,37.0,570.0
15156,26,1314,0.0018936068518087268,38.0,1449.0
17407,95,4758,0.3685653507709503,39.0,2545.0
15174,102,5132,0.0006822954164817929,40.0,302.0
17494,26,1337,0.0010108612477779388,41.0,2461.0
17361,142,7114,0.012177344411611557,42.0,1241.0
17361,234,11701,0.0021887533366680145,43.0,1600.0
17383,548,27416,0.0018186313100159168,44.0,1106.0
17185,21,1085,0.6163369417190552,45.0,1292.0
15136,106,5306,0.0014487422304227948,46.0,498.0
15122,37,1857,0.030696572735905647,47.0,2272.0
17116,1,65,0.9143640398979187,48.0,2069.0
17116,1,98,0.0008148638880811632,49.0,905.0
17116,77,3862,0.08285155147314072,50.0,299.0
17116,122,6125,0.1478637158870697,51.0,2035.0
17116,122,6137,1.9568349671317264e-05,52.0,3695.0
17195,6,331,0.004471698775887489,53.0,706.0
17336,40,2001,0.24447983503341675,54.0,2121.0
17336,43,2174,0.06074976921081543,55.0,469.0
17415,223,11194,0.0005505504086613655,56.0,1855.0
17415,288,14403,0.005711239296942949,57.0,1173.0
15140,207,10400,0.00137925089802593,58.0,525.0
17126,19,967,0.0006082222680561244,59.0,1874.0
17075,44,2205,0.02082444354891777,60.0,4595.0
17075,143,7190,0.033483799546957016,61.0,385.0
17210,214,10713,4.213548163534142e-05,62.0,720.0
17088,4,227,0.0028747536707669497,63.0,137.0
17088,11,592,0.00020098942331969738,64.0,613.0
17281,6,332,0.010514643974602222,65.0,1561.0
17281,44,2243,0.038255490362644196,66.0,2100.0
17168,10,543,0.0029488811269402504,67.0,972.0
17122,149,7460,0.002080182544887066,68.0,1556.0
15013,220,11017,0.001777424244210124,69.0,1165.0
17415,269,13481,3.6692232242785394e-05,70.0,5411.0
15111,58,2924,0.012751508504152298,71.0,633.0
15111,230,11538,0.01650921255350113,72.0,537.0
17114,65,3283,3.8677109841955826e-05,73.0,1449.0
17239,64,3211,0.23204892873764038,74.0,1710.0
17239,120,6009,0.002161098876968026,75.0,2247.0
17407,56,2837,0.0017864506226032972,76.0,2831.0
17132,81,4095,0.009062442928552628,77.0,190.0
17388,1,61,0.0005844808765687048,78.0,2527.0
17388,8,438,0.004862198140472174,79.0,1501.0
17453,1,77,0.20466820895671844,80.0,569.0
17077,129,6453,0.0016577327623963356,81.0,1231.0
17077,129,6500,0.604729950428009,82.0,1271.0
17128,71,3598,0.08593571186065674,83.0,846.0
15160,135,6796,0.00010349178774049506,84.0,974.0
17162,31,1594,0.001677984488196671,85.0,1032.0
17162,128,6419,0.0020429017022252083,86.0,3414.0
17183,4,214,0.594463586807251,87.0,2582.0
17183,6,349,0.9963352680206299,88.0,2294.0
17183,25,1252,0.02475377358496189,89.0,1192.0
17360,22,1145,0.0025137951597571373,90.0,2985.0
17343,10,511,0.0002466727455612272,91.0,2500.0
15086,169,8479,0.014264913275837898,92.0,857.0
15161,163,8172,0.004115522839128971,93.0,1103.0
15161,227,11377,0.0032425757963210344,94.0,3298.0
17335,75,3792,0.0019986042752861977,95.0,386.0
17365,8,417,0.00915544107556343,96.0,2688.0
17365,8,444,0.06674886494874954,97.0,947.0
17057,66,3302,0.0008967572939582169,98.0,1975.0
15182,77,3868,0.004209637176245451,99.0,1678.0
17271,82,4121,5.783827873528935e-05,100.0,782.0
17271,91,4555,0.0010602530092000961,101.0,1757.0
17271,91,4571,0.004168751649558544,102.0,1085.0
17158,59,2992,0.013968681916594505,103.0,2200.0
17158,116,5839,0.031287696212530136,104.0,343.0
17158,116,5845,0.8448306322097778,105.0,776.0
17255,23,1185,0.0010060956701636314,106.0,478.0
17407,173,8654,0.16577020287513733,107.0,1404.0
17407,181,9053,0.0017129250336438417,108.0,635.0
14901,308,15410,0.021538490429520607,109.0,3335.0
17208,16,817,0.048191238194704056,110.0,740.0
17208,73,3700,0.0003329098108224571,111.0,1118.0
15103,77,3878,0.0017017954960465431,112.0,1533.0
17070,99,4979,0.018018225207924843,113.0,909.0
17219,97,4899,0.02634059451520443,114.0,2985.0
17219,113,5685,0.0027850086335092783,115.0,2952.0
15097,108,5409,0.001773199182935059,116.0,1994.0
15097,108,5422,0.010315191000699997,117.0,779.0
15097,200,10032,0.0005957336979918182,118.0,2311.0
15167,103,5155,0.02462018094956875,119.0,1601.0
17328,50,2538,0.013461567461490631,120.0,2852.0
15125,45,2271,0.5528174042701721,121.0,637.0
15125,90,4526,0.00753945205360651,122.0,1492.0
17181,104,5205,1.826681909733452e-05,123.0,1412.0
17218,33,1669,0.13591977953910828,124.0,3033.0
17380,29,1480,3.6047753383172676e-05,125.0,1839.0
17497,171,8566,0.009625280275940895,126.0,1033.0
17152,80,4047,0.03385091945528984,127.0,899.0
15106,29,1463,0.0008188823703676462,128.0,3336.0
15106,29,1496,0.0003730131429620087,129.0,512.0
15106,177,8879,2.7322503228788264e-05,130.0,1289.0
15147,104,5246,0.00010544867836870253,131.0,1741.0
17335,40,2003,0.03394467756152153,132.0,1736.0
15160,146,7347,0.05625590682029724,133.0,2266.0
15160,228,11424,0.01223400142043829,134.0,413.0
15160,310,15515,0.007349543739110231,135.0,755.0
17269,60,3006,0.0006082457257434726,136.0,6117.0
17150,4,216,0.00040647407877258956,137.0,1153.0
17150,48,2434,0.00015703655662946403,138.0,3522.0
17498,15,775,0.02621615119278431,139.0,3328.0
15161,44,2214,2.2705391529598273e-05,140.0,2116.0
15161,44,2247,0.007641931064426899,141.0,1029.0
17492,33,1695,0.00010714134987210855,142.0,3913.0
17492,69,3461,0.007412578444927931,143.0,1346.0
15103,184,9208,0.001984769245609641,144.0,1932.0
15103,184,9249,0.009300008416175842,145.0,419.0
17164,40,2006,2.630573908390943e-05,146.0,1209.0
17240,255,12772,0.0009563107741996646,147.0,493.0
17240,308,15419,0.0380173958837986,148.0,832.0
17162,62,3133,0.7148417830467224,149.0,2716.0
17162,78,3930,0.037783898413181305,150.0,1145.0
17162,87,4351,8.155353862093762e-05,151.0,818.0
15111,195,9757,0.0009522684849798679,152.0,262.0
15111,272,13602,0.0030046901665627956,153.0,3038.0
17308,35,1778,0.0011429589940235019,154.0,2128.0
17308,159,7966,0.006008543539792299,155.0,1490.0
17324,76,3810,0.018504969775676727,156.0,250.0
17383,156,7801,0.011650759726762772,157.0,2445.0
17383,156,7808,0.0003147741954308003,158.0,1182.0
17177,49,2457,0.002807329874485731,159.0,1252.0
17371,42,2116,0.004948847461491823,160.0,1385.0
17371,65,3254,0.016486095264554024,161.0,1584.0
17160,4,221,0.00042989288340322673,162.0,864.0
17160,6,301,0.769119918346405,163.0,3186.0
17160,6,331,0.0241176076233387,164.0,571.0
17139,31,1556,0.00020005581609439105,165.0,4511.0
17502,12,618,0.0027727975975722075,166.0,279.0
17155,45,2291,0.0019954454619437456,167.0,1307.0
17397,50,2537,0.3896403908729553,168.0,2115.0
17397,60,3023,0.01568741351366043,169.0,1916.0
17397,60,3039,0.023231228813529015,170.0,293.0
17360,34,1704,0.0009635295136831701,171.0,1767.0
17447,14,741,0.020165156573057175,172.0,974.0
17198,89,4491,0.025258859619498253,173.0,106.0
17304,4,246,4.211780833429657e-05,174.0,1329.0
17352,69,3458,0.01221168041229248,175.0,2945.0
17352,247,12397,0.0001122410612879321,176.0,2225.0
17139,281,14084,0.03879547491669655,177.0,3321.0
17139,284,14239,0.3255960941314697,178.0,2880.0
17404,4,225,0.06439163535833359,179.0,1656.0
17404,7,354,0.019407538697123528,180.0,4693.0
17404,7,360,0.00226647243835032,181.0,1660.0
17238,21,1057,2.8013215342070907e-05,182.0,628.0
17238,48,2441,0.009403137490153313,183.0,2176.0
17503,201,10095,0.002929316833615303,184.0,1668.0
14938,247,12381,0.06253436952829361,185.0,1772.0
17073,145,7271,0.029647434130311012,186.0,1137.0
17073,155,7759,0.0002520787820685655,187.0,749.0
17070,24,1238,0.04081447795033455,188.0,1052.0
17243,47,2352,0.005093986634165049,189.0,274.0
17243,93,4691,0.00088740314822644,190.0,2662.0
17205,97,4859,0.015252495184540749,191.0,1915.0
17080,39,2000,0.007807739078998566,192.0,1075.0
17251,23,1194,0.0665399357676506,193.0,515.0
17251,223,11186,0.00034437092836014926,194.0,1909.0
17089,36,1834,0.043901585042476654,195.0,1408.0
17089,68,3432,0.0003571083361748606,196.0,1977.0
15099,98,4920,0.008241836912930012,197.0,1189.0
15099,181,9089,0.006598842795938253,198.0,1032.0
15152,9,499,0.1962992250919342,199.0,894.0
17232,9,462,0.0002562694426160306,200.0,3579.0
17232,9,476,0.0011522318236529827,201.0,1552.0
