run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
17524,100,5006,0.9917471408843994,0.0,1074.0
17524,100,5007,0.6140100955963135,1.0,940.0
17524,179,8967,0.9994997978210449,2.0,856.0
17524,179,8983,0.8832990527153015,3.0,2567.0
17524,179,8989,0.5735569000244141,4.0,1309.0
17524,184,9201,0.9949226975440979,5.0,1014.0
17524,184,9241,0.8872648477554321,6.0,1181.0
17592,105,5261,0.9980114698410034,7.0,1599.0
17592,105,5265,0.8372235894203186,8.0,991.0
17592,105,5272,0.9945676326751709,9.0,708.0
17592,105,5287,0.9090585708618164,10.0,2705.0
17592,105,5298,0.9966057538986206,11.0,2300.0
17592,179,8953,0.29235944151878357,12.0,1863.0
17592,179,8956,0.9961340427398682,13.0,2498.0
17592,179,8975,0.8925321698188782,14.0,3071.0
17592,180,9030,0.9787119626998901,15.0,1325.0
17592,180,9036,0.9116412401199341,16.0,662.0
17592,180,9039,0.5968381762504578,17.0,1660.0
17592,180,9048,0.8546640276908875,18.0,1399.0
17592,197,9856,0.9552934765815735,19.0,1657.0
17592,197,9857,0.6026738882064819,20.0,1745.0
17592,197,9861,0.1088150143623352,21.0,489.0
17592,197,9862,0.6809496879577637,22.0,2024.0
17592,197,9864,0.9997794032096863,23.0,1682.0
17592,197,9874,0.8970775604248047,24.0,988.0
17592,197,9877,0.5365281701087952,25.0,2224.0
17592,197,9887,0.08724282681941986,26.0,1141.0
17592,197,9893,0.0623382143676281,27.0,2315.0
17592,212,10601,0.6546483039855957,28.0,1362.0
17592,212,10618,0.11779434233903885,29.0,2699.0
17592,212,10619,0.5810337662696838,30.0,1213.0
17592,212,10642,0.11382213979959488,31.0,1166.0
17592,212,10644,0.7979576587677002,32.0,1397.0
17592,212,10645,0.6244832277297974,33.0,664.0
17522,18,904,0.6406048536300659,34.0,5499.0
17522,18,909,0.992168128490448,35.0,1571.0
17522,18,935,0.8238343000411987,36.0,2053.0
17522,18,947,0.6784768104553223,37.0,1306.0
17522,18,948,0.6504660844802856,38.0,3009.0
17522,111,5552,0.10840357840061188,39.0,1035.0
17522,111,5573,0.09669631719589233,40.0,740.0
17522,150,7528,0.524599552154541,41.0,2850.0
17522,150,7548,0.993535041809082,42.0,1027.0
17522,156,7801,0.8860135674476624,43.0,688.0
17522,156,7813,0.3626765012741089,44.0,1423.0
17522,156,7819,0.4303185045719147,45.0,1214.0
17522,156,7844,0.15472768247127533,46.0,2840.0
17591,23,1160,0.7338946461677551,47.0,1929.0
17591,23,1173,0.07452335953712463,48.0,586.0
17591,23,1182,0.8729990720748901,49.0,1175.0
17591,43,2177,0.9389315843582153,50.0,2680.0
17591,43,2196,0.7695934772491455,51.0,951.0
17591,43,2197,0.9559709429740906,52.0,1211.0
17591,50,2515,0.954781711101532,53.0,1007.0
17591,50,2539,0.9203932881355286,54.0,2157.0
17591,50,2544,0.8176922798156738,55.0,1209.0
17591,112,5605,0.8694389462471008,56.0,3320.0
