run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
14329,48,2442,0.8727835416793823,0.0,1305.0
14329,48,2450,0.4551750123500824,1.0,2161.0
14329,80,4016,0.7709473967552185,2.0,1344.0
14329,80,4030,0.06605526804924011,3.0,3247.0
14329,114,5710,0.8843280673027039,4.0,1947.0
14329,116,5809,0.1134612187743187,5.0,2354.0
14329,116,5829,0.9937151074409485,6.0,1660.0
14329,116,5830,0.9928755760192871,7.0,1452.0
14329,116,5848,0.024485932663083076,8.0,2711.0
14329,140,7014,0.6619990468025208,9.0,1504.0
14329,140,7024,0.04414387047290802,10.0,1525.0
14329,162,8103,0.8503860831260681,11.0,701.0
14329,162,8112,0.6605125069618225,12.0,1622.0
14329,162,8116,0.606921911239624,13.0,3200.0
14329,162,8121,0.9799225330352783,14.0,2099.0
14329,162,8123,0.9692317843437195,15.0,380.0
14329,247,12353,0.22087714076042175,16.0,1948.0
14329,247,12358,0.15957289934158325,17.0,1912.0
14329,247,12362,0.3518282175064087,18.0,658.0
14329,267,13370,0.1676056981086731,19.0,1588.0
15969,87,4372,0.028961490839719772,20.0,869.0
15969,87,4375,0.811900794506073,21.0,2149.0
15969,87,4378,0.808986485004425,22.0,2705.0
15969,87,4389,0.2963794469833374,23.0,3207.0
15969,87,4395,0.8123570084571838,24.0,968.0
15969,87,4397,0.9501469731330872,25.0,587.0
15969,205,10254,0.15852037072181702,26.0,761.0
15969,205,10258,0.7999992966651917,27.0,1671.0
15969,205,10266,0.910610020160675,28.0,481.0
15969,205,10271,0.027019863948225975,29.0,2196.0
15969,205,10287,0.9060801863670349,30.0,1624.0
15969,205,10290,0.003575266106054187,31.0,3535.0
15969,205,10294,0.6977500319480896,32.0,3703.0
15969,205,10295,0.8073936700820923,33.0,1613.0
15969,296,14831,0.5323669910430908,34.0,1931.0
15969,296,14838,0.047854818403720856,35.0,1990.0
15969,296,14844,0.4673972725868225,36.0,945.0
15969,320,16019,0.9954524636268616,37.0,1176.0
15969,320,16026,0.6880004405975342,38.0,127.0
14175,10,513,0.4276913106441498,39.0,2885.0
14175,10,548,0.007432614453136921,40.0,1255.0
14175,11,555,0.9862409830093384,41.0,2567.0
14175,11,558,0.11531331390142441,42.0,3122.0
14175,11,595,0.7597669363021851,43.0,1927.0
14175,51,2553,0.047329749912023544,44.0,4689.0
14175,60,3025,0.7679775953292847,45.0,3468.0
14175,60,3034,0.09751687198877335,46.0,2077.0
14175,60,3036,0.6009501814842224,47.0,3464.0
14175,62,3126,0.03142119571566582,48.0,1137.0
14175,62,3127,0.15857334434986115,49.0,823.0
14175,66,3333,0.4752838611602783,50.0,1487.0
14175,66,3336,0.15028829872608185,51.0,420.0
15429,1,57,0.782630205154419,52.0,2371.0
15429,1,70,0.9732111096382141,53.0,776.0
15429,1,84,0.4711756706237793,54.0,2050.0
15429,1,87,0.9993799924850464,55.0,1012.0
14363,174,8702,0.0007726291660219431,56.0,2804.0
14363,174,8709,0.9642260074615479,57.0,912.0
14363,174,8710,0.9970366954803467,58.0,1924.0
14363,174,8713,0.9979400038719177,59.0,795.0
14363,174,8719,0.00772209232673049,60.0,2828.0
14363,174,8742,0.9971233010292053,61.0,1495.0
14363,206,10303,0.8840196132659912,62.0,2028.0
14363,206,10323,0.022717619314789772,63.0,2657.0
14363,206,10334,0.000475931417895481,64.0,1899.0
15348,35,1754,0.0018665626412257552,65.0,1439.0
15348,35,1793,0.9816828966140747,66.0,2211.0
15348,35,1797,0.8970650434494019,67.0,3234.0
15348,84,4216,0.9541224241256714,68.0,3230.0
15348,84,4218,0.6182617545127869,69.0,912.0
15348,84,4229,0.9202211499214172,70.0,2778.0
