run_number,subrun_number,event_number,signal_score,entry_number,n_pixels
14643,3,162,0.44309699535369873,0.0,1739.0
14643,3,190,0.9979485869407654,1.0,1526.0
14643,3,200,0.9979286193847656,2.0,1352.0
14643,51,2562,0.9752650856971741,3.0,2040.0
14643,51,2579,0.07610617578029633,4.0,415.0
14643,51,2580,0.8772978782653809,5.0,736.0
14643,51,2592,0.994763970375061,6.0,1926.0
14643,51,2598,0.09039229899644852,7.0,2976.0
14643,104,5241,0.9966842532157898,8.0,3277.0
14643,141,7070,0.9705800414085388,9.0,2107.0
14643,141,7082,0.664725661277771,10.0,1155.0
14643,141,7091,0.9636752605438232,11.0,1894.0
14643,141,7093,0.9990395903587341,12.0,3289.0
14643,141,7100,0.011217258870601654,13.0,1047.0
14427,37,1855,0.9883588552474976,14.0,1539.0
14427,37,1861,0.9716208577156067,15.0,3306.0
14427,37,1878,0.9966214895248413,16.0,1486.0
14427,37,1891,0.8239668011665344,17.0,777.0
14427,37,1894,0.3714112937450409,18.0,2969.0
14427,37,1899,0.06442514806985855,19.0,1058.0
14427,111,5574,0.9652097225189209,20.0,1758.0
14427,111,5575,0.9911283254623413,21.0,2551.0
14427,128,6432,0.9955131411552429,22.0,1813.0
14427,128,6437,0.8702872395515442,23.0,3232.0
14427,240,12020,0.9969922304153442,24.0,3162.0
14427,240,12027,0.8046151995658875,25.0,3026.0
14427,240,12035,0.716156542301178,26.0,2828.0
14427,271,13575,0.9876481294631958,27.0,1643.0
14427,271,13590,0.9827950596809387,28.0,1807.0
14427,271,13598,0.9976200461387634,29.0,4363.0
14149,19,957,0.056094881147146225,30.0,453.0
14149,19,963,0.9506345987319946,31.0,2130.0
14149,19,966,0.7084830403327942,32.0,2325.0
14149,19,976,0.8851069211959839,33.0,175.0
14149,22,1104,0.997381865978241,34.0,2450.0
14149,22,1128,0.9717288017272949,35.0,2066.0
14149,37,1856,0.9907280206680298,36.0,3185.0
14149,37,1866,0.9885711073875427,37.0,1331.0
14149,37,1872,0.7540907263755798,38.0,896.0
14149,37,1889,0.9149811863899231,39.0,3536.0
14149,92,4604,0.9785739779472351,40.0,1795.0
14149,92,4632,0.9289882779121399,41.0,2537.0
14149,107,5400,0.9658926725387573,42.0,2302.0
14149,238,11925,0.9764726758003235,43.0,2529.0
14149,238,11927,0.9893763065338135,44.0,3943.0
14149,239,11988,0.9834875464439392,45.0,1147.0
14597,13,690,0.9427546262741089,46.0,3244.0
14597,147,7364,0.9756189584732056,47.0,2738.0
14597,147,7378,0.5696588158607483,48.0,4510.0
14597,147,7391,0.9942206144332886,49.0,1892.0
14597,147,7393,0.33346113562583923,50.0,1188.0
14597,147,7397,0.9550352096557617,51.0,3468.0
14597,156,7825,0.9535241723060608,52.0,2150.0
14597,156,7845,0.3362053334712982,53.0,4338.0
14597,159,7954,0.9542267322540283,54.0,1120.0
14597,159,7959,0.285346120595932,55.0,813.0
14597,159,7984,0.9947726130485535,56.0,4574.0
14597,159,7993,0.06117250397801399,57.0,1415.0
14597,159,8000,0.896647036075592,58.0,2414.0
14597,164,8218,0.7508085370063782,59.0,1893.0
14597,164,8237,0.9661492109298706,60.0,1372.0
14597,164,8244,0.9943482279777527,61.0,3364.0
15348,37,1887,0.9953582882881165,62.0,1279.0
15348,37,1897,0.29539915919303894,63.0,3397.0
15348,88,4405,0.5725230574607849,64.0,2986.0
15348,88,4413,0.2433726042509079,65.0,1248.0
15348,88,4432,0.9980846643447876,66.0,2175.0
15348,88,4438,0.006458607502281666,67.0,2511.0
15348,134,6708,0.8819008469581604,68.0,3015.0
15348,134,6723,0.941565752029419,69.0,1236.0
15348,134,6750,0.03442252427339554,70.0,1643.0
15348,156,7803,0.9968008995056152,71.0,3311.0
15348,156,7813,0.9781743288040161,72.0,1629.0
15348,156,7849,0.7010297179222107,73.0,1713.0
15348,196,9842,0.09564132243394852,74.0,2662.0
15348,256,12801,0.9708163142204285,75.0,2095.0
15348,256,12811,0.11654941737651825,76.0,1222.0
15348,256,12826,0.9897228479385376,77.0,2000.0
15348,272,13623,0.980836033821106,78.0,2288.0
15348,272,13645,0.004487754311412573,79.0,954.0
14583,10,504,0.9995238780975342,80.0,3209.0
14583,10,538,0.9820162653923035,81.0,3325.0
14583,10,550,0.9898881316184998,82.0,1070.0
14583,20,1029,0.9649876952171326,83.0,2659.0
14583,53,2652,0.9619475603103638,84.0,1391.0
14583,53,2663,0.9783580303192139,85.0,3815.0
14583,53,2676,0.9044709205627441,86.0,2995.0
14583,53,2677,0.0942293331027031,87.0,1492.0
14583,53,2685,0.6635442972183228,88.0,2632.0
14583,53,2691,0.9862063527107239,89.0,2165.0
14583,53,2696,0.9969667792320251,90.0,3736.0
14583,55,2770,0.8499002456665039,91.0,2775.0
14583,55,2780,0.9987502098083496,92.0,2330.0
14583,55,2785,0.9900954961776733,93.0,4127.0
14583,55,2786,0.8924795389175415,94.0,2022.0
14583,55,2787,0.9212227463722229,95.0,2480.0
14583,56,2809,0.9433068633079529,96.0,2721.0
14583,56,2838,0.13320061564445496,97.0,961.0
14583,70,3540,0.004963867831975222,98.0,2068.0
15262,8,401,0.966218888759613,99.0,2037.0
15262,8,412,0.004978715907782316,100.0,891.0
15262,8,415,0.058122843503952026,101.0,1021.0
15262,8,431,0.961771547794342,102.0,1468.0
15262,27,1372,0.9068254828453064,103.0,924.0
15262,69,3459,0.7427995800971985,104.0,1740.0
15262,69,3473,0.47208571434020996,105.0,1795.0
15262,69,3500,0.411880761384964,106.0,3122.0
15262,90,4503,0.9865408539772034,107.0,2994.0
15262,90,4507,0.9258065223693848,108.0,1457.0
15262,90,4516,0.9989883303642273,109.0,1602.0
15262,90,4535,0.9787156581878662,110.0,1191.0
15262,94,4721,0.8069361448287964,111.0,845.0
15262,94,4722,0.9913666844367981,112.0,820.0
15262,110,5514,0.9096745252609253,113.0,326.0
15262,110,5539,0.9887374639511108,114.0,3874.0
14609,257,12856,0.9832200407981873,115.0,852.0
14609,257,12858,0.9479476809501648,116.0,2096.0
14609,257,12864,0.5307508707046509,117.0,1822.0
14609,257,12885,0.7785466313362122,118.0,1011.0
14609,257,12900,0.9671032428741455,119.0,469.0
14609,265,13252,0.996864378452301,120.0,3024.0
14609,265,13264,0.9933522939682007,121.0,2304.0
14609,265,13280,0.9709913730621338,122.0,2972.0
14609,265,13291,0.9683817625045776,123.0,2866.0
14609,265,13298,0.9445005655288696,124.0,2739.0
14609,269,13483,0.025202792137861252,125.0,4235.0
14609,269,13496,0.9927230477333069,126.0,1671.0
