train_accu,test_accu,train_loss,test_loss,epoch,step
0.656250,0.500000,0.644925,3.865707,0.000000,1.000000
0.843750,0.750000,0.824798,0.695520,0.000000,11.000000
0.781250,0.937500,0.409154,0.614219,0.000000,21.000000
0.687500,0.656250,1.350167,1.002024,0.000000,31.000000
0.781250,0.812500,1.087582,0.720498,0.000000,41.000000
0.640625,0.750000,1.025199,0.617583,0.000000,51.000000
0.859375,0.562500,0.403386,0.461500,0.000000,61.000000
0.796875,0.750000,1.087537,0.380200,0.000000,71.000000
0.750000,0.875000,0.431426,0.476447,0.000000,81.000000
0.625000,0.875000,0.535940,0.298415,0.000000,91.000000
0.843750,0.843750,0.494312,0.416341,0.000000,101.000000
0.859375,0.781250,0.315947,0.400264,0.000000,111.000000
0.843750,0.875000,0.593990,0.421933,0.000000,121.000000
0.906250,0.781250,0.392033,0.321511,0.000000,131.000000
0.937500,0.906250,0.404106,0.337790,0.000000,141.000000
0.968750,0.968750,0.282476,0.299790,0.000000,151.000000
0.812500,0.843750,0.408398,0.581645,0.000000,161.000000
0.812500,0.875000,0.279342,0.316890,0.000000,171.000000
0.890625,0.843750,0.419736,0.400974,0.000000,181.000000
0.843750,0.968750,0.265136,0.435114,0.000000,191.000000
0.953125,0.750000,0.306695,0.324830,0.000000,201.000000
0.843750,0.906250,0.215434,0.298657,0.000000,211.000000
0.812500,0.937500,0.222679,0.271425,0.000000,221.000000
0.937500,0.875000,0.213542,0.261941,0.000000,231.000000
0.859375,0.937500,0.555393,0.222150,0.000000,241.000000
0.906250,0.812500,0.229983,0.325581,0.000000,251.000000
0.765625,0.875000,0.205422,0.256286,0.000000,261.000000
0.906250,0.750000,0.181793,0.326036,0.000000,271.000000
0.875000,0.718750,0.388232,0.315875,0.000000,281.000000
0.781250,0.812500,0.207143,0.249545,0.000000,291.000000
0.875000,0.937500,0.348267,0.361317,0.000000,301.000000
0.859375,1.000000,0.196951,0.269244,0.000000,311.000000
0.906250,1.000000,0.279053,0.256236,0.000000,321.000000
0.906250,0.812500,0.535255,0.294289,0.000000,331.000000
0.875000,0.781250,0.275177,0.351136,0.000000,341.000000
0.953125,0.875000,0.502887,0.306425,0.000000,351.000000
0.953125,1.000000,0.173269,0.237566,0.000000,361.000000
0.843750,0.781250,0.289997,0.322408,0.000000,371.000000
0.843750,0.937500,0.296814,0.232258,0.000000,381.000000
0.875000,0.812500,0.317731,0.266039,0.000000,391.000000
0.859375,0.937500,0.206933,0.241057,0.000000,401.000000
0.875000,1.000000,0.243475,0.224206,0.000000,411.000000
0.875000,0.937500,0.564226,0.229398,0.000000,421.000000
0.906250,1.000000,0.156587,0.233570,0.000000,431.000000
1.000000,0.937500,0.269937,0.311654,0.000000,441.000000
0.937500,0.937500,0.206390,0.300949,0.000000,451.000000
0.937500,0.937500,0.200198,0.210628,0.000000,461.000000
0.968750,0.937500,0.087019,0.327875,0.000000,471.000000
0.843750,1.000000,0.316188,0.253369,0.000000,481.000000
0.968750,0.937500,0.213123,0.229650,0.000000,491.000000
0.906250,1.000000,0.173903,0.221606,0.000000,501.000000
0.968750,0.937500,0.216811,0.200062,0.000000,511.000000
0.906250,0.687500,0.399722,0.201034,0.000000,521.000000
0.906250,0.937500,0.303579,0.260828,0.000000,531.000000
0.843750,1.000000,0.031216,0.313528,0.000000,541.000000
0.812500,0.937500,0.391351,0.382669,0.000000,551.000000
0.906250,0.937500,0.349608,0.340385,0.000000,561.000000
0.968750,0.937500,0.144488,0.191064,0.000000,571.000000
0.937500,0.812500,0.358495,0.195207,0.000000,581.000000
0.875000,0.937500,0.460969,0.135603,0.000000,591.000000
0.875000,0.875000,0.209000,0.325170,0.000000,601.000000
0.968750,1.000000,0.107345,0.367692,0.000000,611.000000
0.859375,1.000000,0.375157,0.274908,0.000000,621.000000
1.000000,1.000000,0.136169,0.249563,0.000000,631.000000
0.937500,0.812500,0.329680,0.242880,0.000000,641.000000
0.875000,1.000000,0.485549,0.239321,0.000000,651.000000
0.890625,0.812500,0.261114,0.407053,0.000000,661.000000
0.828125,0.843750,0.489305,0.304970,0.000000,671.000000
0.859375,0.937500,0.313102,0.213989,0.000000,681.000000
0.906250,1.000000,0.170710,0.181236,0.000000,691.000000
0.859375,0.812500,0.351154,0.207358,0.000000,701.000000
0.937500,0.906250,0.494006,0.200972,0.000000,711.000000
0.921875,0.937500,0.358779,0.196221,0.000000,721.000000
0.906250,1.000000,0.109534,0.264207,0.000000,731.000000
0.859375,0.687500,0.370534,0.302681,0.000000,741.000000
0.937500,0.750000,0.164392,0.246395,0.000000,751.000000
0.937500,0.968750,0.291757,0.146256,0.000000,761.000000
0.875000,0.937500,0.191754,0.193082,0.000000,771.000000
0.937500,0.937500,0.281242,0.301849,0.000000,781.000000
0.968750,0.937500,0.114314,0.241460,0.000000,791.000000
0.906250,0.875000,0.225490,0.155709,0.000000,801.000000
0.906250,0.937500,0.085715,0.273993,0.000000,811.000000
0.906250,1.000000,0.249343,0.275941,0.000000,821.000000
0.812500,0.875000,0.123599,0.301536,0.000000,831.000000
0.937500,0.875000,0.164061,0.251147,0.000000,841.000000
0.906250,1.000000,0.186126,0.259286,0.000000,851.000000
0.968750,1.000000,0.111026,0.168201,0.000000,861.000000
0.937500,0.875000,0.388567,0.251507,0.000000,871.000000
0.906250,0.937500,0.254380,0.187410,0.000000,881.000000
0.937500,1.000000,0.142320,0.213229,0.000000,891.000000
0.921875,0.937500,0.173385,0.163194,0.000000,901.000000
0.937500,0.937500,0.093170,0.343999,0.000000,911.000000
0.828125,0.937500,0.457481,0.269931,0.000000,921.000000
0.937500,0.968750,0.356241,0.242925,0.000000,931.000000
0.828125,0.812500,0.149892,0.145022,0.000000,941.000000
0.828125,0.875000,0.335935,0.236133,0.000000,951.000000
0.875000,0.937500,0.173776,0.141305,0.000000,961.000000
0.906250,1.000000,0.161438,0.210786,0.000000,971.000000
0.968750,0.937500,0.237073,0.210780,0.000000,981.000000
0.906250,0.875000,0.410794,0.175700,0.000000,991.000000
1.000000,0.875000,0.207402,0.207689,0.000000,1001.000000
0.937500,0.937500,0.322144,0.269532,0.000000,1011.000000
0.921875,0.937500,0.398142,0.209126,0.000000,1021.000000
0.906250,0.937500,0.181092,0.285014,0.000000,1031.000000
0.953125,0.937500,0.350276,0.105770,0.000000,1041.000000
0.937500,0.937500,0.266538,0.242248,0.000000,1051.000000
0.968750,0.937500,0.290057,0.215354,0.000000,1061.000000
0.968750,1.000000,0.134303,0.222499,0.000000,1071.000000
0.906250,0.937500,0.126619,0.148461,0.000000,1081.000000
0.968750,1.000000,0.205910,0.193851,0.000000,1091.000000
0.968750,0.937500,0.320963,0.118998,0.000000,1101.000000
0.890625,1.000000,0.195021,0.181221,0.000000,1111.000000
1.000000,1.000000,0.567002,0.250991,0.000000,1121.000000
0.921875,0.843750,0.233525,0.135022,0.000000,1131.000000
0.953125,0.937500,0.177325,0.247367,0.000000,1141.000000
0.906250,0.937500,0.159735,0.167725,0.000000,1151.000000
0.968750,0.937500,0.218070,0.166873,0.000000,1161.000000
0.875000,0.812500,0.124069,0.198814,0.000000,1171.000000
0.875000,0.875000,0.088035,0.306853,0.000000,1181.000000
0.937500,0.937500,0.442924,0.194705,0.000000,1191.000000
0.859375,1.000000,0.184568,0.271536,0.000000,1201.000000
0.937500,0.906250,0.318721,0.197259,0.000000,1211.000000
0.953125,0.875000,0.199068,0.205523,0.000000,1221.000000
0.875000,1.000000,0.262731,0.278816,0.000000,1231.000000
0.906250,1.000000,0.100065,0.150509,0.000000,1241.000000
0.968750,0.937500,0.070463,0.150690,0.000000,1251.000000
0.875000,1.000000,0.222972,0.169290,0.000000,1261.000000
0.968750,1.000000,0.060952,0.153847,0.000000,1271.000000
0.875000,1.000000,0.339410,0.215248,0.000000,1281.000000
0.968750,1.000000,0.121232,0.212078,0.000000,1291.000000
0.953125,0.843750,0.368149,0.188221,0.000000,1301.000000
0.906250,0.875000,0.315969,0.139200,0.000000,1311.000000
0.843750,0.875000,0.210867,0.207180,0.000000,1321.000000
1.000000,1.000000,0.485859,0.259048,0.000000,1331.000000
0.906250,0.937500,0.208226,0.178435,0.000000,1341.000000
0.875000,0.937500,0.227365,0.205471,0.000000,1351.000000
0.875000,0.937500,0.200985,0.229275,0.000000,1361.000000
0.906250,0.937500,0.644717,0.243887,0.000000,1371.000000
0.937500,0.937500,0.026293,0.227394,0.000000,1381.000000
0.968750,1.000000,0.118117,0.154742,0.000000,1391.000000
0.875000,0.843750,0.092287,0.311796,0.000000,1401.000000
0.937500,0.937500,0.107637,0.164222,0.000000,1411.000000
0.921875,0.843750,0.175489,0.353532,0.000000,1421.000000
0.890625,0.875000,0.264119,0.295947,0.000000,1431.000000
0.937500,1.000000,0.089796,0.145483,0.000000,1441.000000
0.843750,0.937500,0.254959,0.240809,0.000000,1451.000000
0.890625,1.000000,0.073826,0.235243,0.000000,1461.000000
0.906250,0.937500,0.226167,0.166880,0.000000,1471.000000
0.906250,1.000000,0.277001,0.176286,0.000000,1481.000000
0.953125,1.000000,0.181394,0.395240,0.000000,1491.000000
0.796875,0.750000,0.311618,0.326133,0.000000,1501.000000
0.875000,0.937500,0.321320,0.123438,0.000000,1511.000000
0.968750,0.937500,0.176456,0.114448,0.000000,1521.000000
0.796875,0.875000,0.117250,0.222620,0.000000,1531.000000
0.937500,0.937500,0.250029,0.205249,0.000000,1541.000000
0.906250,0.937500,0.144681,0.222271,0.000000,1551.000000
0.843750,0.812500,0.238646,0.209005,0.000000,1561.000000
0.953125,0.750000,0.308992,0.149421,0.000000,1571.000000
0.968750,1.000000,0.106832,0.118676,0.000000,1581.000000
0.937500,0.937500,0.221805,0.193793,0.000000,1591.000000
0.968750,0.937500,0.014245,0.073980,0.000000,1601.000000
0.890625,0.875000,0.241552,0.334653,0.000000,1611.000000
0.968750,0.812500,0.248503,0.193311,0.000000,1621.000000
0.875000,0.875000,0.162175,0.241085,0.000000,1631.000000
0.937500,0.937500,0.459764,0.140858,0.000000,1641.000000
0.968750,0.937500,0.176679,0.136538,0.000000,1651.000000
0.906250,1.000000,0.273072,0.159325,0.000000,1661.000000
0.937500,1.000000,0.107381,0.195491,0.000000,1671.000000
0.906250,1.000000,0.134269,0.153607,0.000000,1681.000000
0.968750,0.812500,0.123979,0.238188,0.000000,1691.000000
0.890625,0.906250,0.355161,0.235668,0.000000,1701.000000
0.843750,0.843750,0.249958,0.182729,0.000000,1711.000000
0.875000,0.937500,0.174597,0.289182,0.000000,1721.000000
0.968750,1.000000,0.102890,0.155733,0.000000,1731.000000
0.875000,0.812500,0.349676,0.151704,0.000000,1741.000000
0.937500,1.000000,0.150408,0.173573,0.000000,1751.000000
0.968750,0.937500,0.109724,0.272821,0.000000,1761.000000
0.906250,0.750000,0.134690,0.333166,0.000000,1771.000000
0.875000,0.875000,0.257601,0.135576,0.000000,1781.000000
0.937500,0.937500,0.043592,0.102658,0.000000,1791.000000
0.906250,0.875000,0.255369,0.205688,0.000000,1801.000000
0.906250,0.937500,0.229851,0.262974,0.000000,1811.000000
0.906250,0.750000,0.115154,0.167632,0.000000,1821.000000
0.968750,0.937500,0.260463,0.272993,0.000000,1831.000000
0.968750,1.000000,0.235125,0.187013,0.000000,1841.000000
0.875000,0.937500,0.188336,0.120853,0.000000,1851.000000
1.000000,0.937500,0.086494,0.221924,0.000000,1861.000000
0.906250,0.937500,0.134747,0.164592,0.000000,1871.000000
0.843750,0.937500,0.273626,0.152011,0.000000,1881.000000
0.968750,1.000000,0.122910,0.152365,0.000000,1891.000000
1.000000,0.906250,0.321415,0.217591,0.000000,1901.000000
0.968750,1.000000,0.220005,0.169006,0.000000,1911.000000
0.937500,1.000000,0.116867,0.167615,0.000000,1921.000000
0.937500,0.937500,0.105045,0.181754,0.000000,1931.000000
0.968750,1.000000,0.082812,0.129173,0.000000,1941.000000
0.953125,0.906250,0.058619,0.154552,0.000000,1951.000000
0.937500,0.875000,0.269676,0.141051,0.000000,1961.000000
0.968750,0.937500,0.076837,0.123642,1.000000,1966.000000
0.781250,1.000000,0.083252,0.256881,1.000000,1976.000000
1.000000,0.937500,0.185974,0.183574,1.000000,1986.000000
0.859375,1.000000,0.153955,0.130009,1.000000,1996.000000
