train_accu,test_accu,train_loss,test_loss,epoch,step
0.375000,0.437500,0.714933,2753.484790,0.000000,1.000000
0.515625,0.375000,0.447899,1.439314,0.000000,21.000000
0.500000,0.531250,0.517614,2.022915,0.000000,41.000000
0.500000,0.531250,0.484745,1.239764,0.000000,61.000000
0.625000,0.500000,0.553958,1.388859,0.000000,81.000000
0.531250,0.437500,0.614665,5.098155,0.000000,101.000000
0.343750,0.125000,0.589011,4.527974,0.000000,121.000000
0.812500,0.687500,0.373694,0.443789,0.000000,141.000000
0.312500,0.375000,0.284400,8.326726,0.000000,161.000000
0.593750,0.687500,0.354702,0.962602,0.000000,181.000000
0.875000,0.750000,0.539184,0.462396,0.000000,201.000000
0.812500,0.906250,0.305105,0.503271,0.000000,221.000000
0.531250,0.812500,0.283193,0.865773,0.000000,241.000000
0.906250,0.937500,0.664117,0.272564,0.000000,261.000000
0.687500,0.687500,0.237632,0.901551,0.000000,281.000000
1.000000,1.000000,0.644175,0.352207,0.000000,301.000000
0.687500,0.562500,0.178282,0.493007,0.000000,321.000000
0.828125,0.812500,0.305105,0.360729,0.000000,341.000000
0.906250,0.812500,0.376664,0.308708,0.000000,361.000000
0.906250,0.750000,0.624522,0.558754,0.000000,381.000000
0.750000,0.875000,0.134804,0.341431,0.000000,401.000000
0.875000,0.875000,0.158381,0.313390,0.000000,421.000000
0.875000,0.937500,0.346957,0.250017,0.000000,441.000000
0.906250,1.000000,0.331993,0.149163,0.000000,461.000000
0.890625,0.937500,0.162392,0.357592,0.000000,481.000000
0.921875,0.875000,0.154344,0.277214,0.000000,501.000000
0.937500,0.812500,0.067514,0.189634,0.000000,521.000000
0.937500,0.875000,0.345021,0.321842,0.000000,541.000000
0.906250,0.875000,0.217637,0.313823,0.000000,561.000000
0.437500,0.500000,0.388119,1.614336,0.000000,581.000000
0.781250,0.937500,0.051676,0.399351,0.000000,601.000000
0.953125,0.812500,0.400602,0.206622,0.000000,621.000000
0.906250,0.875000,0.216201,0.478568,0.000000,641.000000
0.843750,0.843750,0.218141,0.332135,0.000000,661.000000
0.687500,0.625000,0.393399,3.535806,0.000000,681.000000
0.937500,1.000000,0.363889,0.218780,0.000000,701.000000
0.937500,1.000000,0.167853,0.235617,0.000000,721.000000
0.828125,0.937500,0.324317,0.314076,0.000000,741.000000
0.906250,0.937500,0.441866,0.327919,0.000000,761.000000
0.937500,0.937500,0.113456,0.270378,0.000000,781.000000
0.781250,0.812500,0.207013,0.444783,0.000000,801.000000
0.906250,1.000000,0.099118,0.204221,0.000000,821.000000
0.906250,0.875000,0.061113,0.300069,0.000000,841.000000
0.906250,0.937500,0.137336,0.198388,0.000000,861.000000
0.875000,0.937500,0.080657,0.380633,0.000000,881.000000
0.906250,1.000000,0.201216,0.304359,0.000000,901.000000
1.000000,0.937500,0.349863,0.154881,0.000000,921.000000
1.000000,0.937500,0.202743,0.168362,0.000000,941.000000
0.875000,0.812500,0.073416,0.729866,0.000000,961.000000
0.968750,0.937500,0.166237,0.328171,0.000000,981.000000
0.875000,1.000000,0.099057,0.320882,0.000000,1001.000000
0.781250,0.687500,0.075689,0.445046,0.000000,1021.000000
0.906250,0.875000,0.266554,0.483047,0.000000,1041.000000
0.906250,0.812500,0.379123,0.212917,0.000000,1061.000000
1.000000,0.937500,0.227393,0.173218,0.000000,1081.000000
0.468750,0.625000,0.157201,1.009029,0.000000,1101.000000
0.906250,0.812500,0.032716,0.203373,0.000000,1121.000000
0.843750,0.937500,0.257016,0.261084,0.000000,1141.000000
1.000000,0.875000,0.475389,0.254937,0.000000,1161.000000
0.906250,0.875000,0.118388,0.242651,0.000000,1181.000000
1.000000,1.000000,0.103131,0.189343,0.000000,1201.000000
0.937500,0.812500,0.088881,0.154010,0.000000,1221.000000
0.875000,0.812500,0.170959,0.177995,0.000000,1241.000000
0.906250,0.812500,0.051685,0.232193,0.000000,1261.000000
0.968750,1.000000,0.059431,0.341403,0.000000,1281.000000
0.937500,0.875000,0.129305,0.234037,0.000000,1301.000000
0.906250,0.937500,0.059854,0.184719,0.000000,1321.000000
0.750000,0.687500,0.100407,0.425927,0.000000,1341.000000
0.968750,0.937500,0.228222,0.104219,0.000000,1361.000000
0.875000,1.000000,0.093690,0.076773,0.000000,1381.000000
1.000000,1.000000,0.262002,0.154766,0.000000,1401.000000
0.937500,0.875000,0.104888,0.206195,0.000000,1421.000000
0.718750,0.812500,0.169785,1.579551,0.000000,1441.000000
0.937500,1.000000,0.111835,0.192735,0.000000,1461.000000
0.906250,0.812500,0.270716,0.144293,0.000000,1481.000000
0.968750,1.000000,0.125453,0.176264,0.000000,1501.000000
0.937500,0.812500,0.079126,0.444526,0.000000,1521.000000
0.937500,0.937500,0.214200,0.232221,0.000000,1541.000000
0.968750,0.937500,0.330329,0.196556,0.000000,1561.000000
0.843750,1.000000,0.228311,0.285462,0.000000,1581.000000
0.968750,0.937500,0.112672,0.111773,0.000000,1601.000000
0.906250,0.812500,0.187238,0.153187,0.000000,1621.000000
0.968750,0.812500,0.355735,0.126162,0.000000,1641.000000
0.937500,0.875000,0.461782,0.181234,0.000000,1661.000000
0.906250,0.875000,0.137205,0.173825,0.000000,1681.000000
0.906250,0.937500,0.122357,0.119895,0.000000,1701.000000
1.000000,0.812500,0.081661,0.143014,0.000000,1721.000000
0.875000,1.000000,0.169610,0.173790,0.000000,1741.000000
0.937500,0.937500,0.306890,0.248014,0.000000,1761.000000
0.937500,0.812500,0.056563,0.160450,0.000000,1781.000000
1.000000,1.000000,0.064864,0.160948,0.000000,1801.000000
0.968750,1.000000,0.145062,0.208667,0.000000,1821.000000
0.656250,0.875000,0.249308,0.555406,0.000000,1841.000000
0.875000,0.875000,0.154759,0.125203,0.000000,1861.000000
0.906250,0.937500,0.323803,0.141973,0.000000,1881.000000
0.906250,0.937500,0.224694,0.132482,0.000000,1901.000000
0.968750,0.937500,0.142445,0.294372,0.000000,1921.000000
0.968750,0.937500,0.265185,0.157981,0.000000,1941.000000
0.968750,1.000000,0.070434,0.141572,0.000000,1961.000000
0.875000,1.000000,0.116613,0.167891,1.000000,1966.000000
0.906250,0.875000,0.121157,0.134590,1.000000,1986.000000
0.937500,0.937500,0.199784,0.177955,1.000000,2006.000000
1.000000,0.937500,0.198314,0.081743,1.000000,2026.000000
0.906250,0.937500,0.274033,0.185256,1.000000,2046.000000
