train_accu,test_accu,train_loss,test_loss,epoch,step
0.593750,0.625000,2.288908,0.774772,0.000000,1.000000
0.687500,0.625000,0.671006,0.648729,0.000000,21.000000
0.718750,0.500000,0.631475,0.638688,0.000000,41.000000
0.562500,0.562500,0.768221,0.691501,0.000000,61.000000
0.656250,0.500000,0.615784,0.687262,0.000000,81.000000
0.687500,0.687500,0.597894,0.626788,0.000000,101.000000
0.765625,0.562500,0.680878,0.612520,0.000000,121.000000
0.718750,0.750000,0.730763,0.493926,0.000000,141.000000
0.781250,0.750000,0.485938,0.535009,0.000000,161.000000
0.843750,0.625000,0.525466,0.435727,0.000000,181.000000
0.703125,0.937500,0.380265,0.338852,0.000000,201.000000
0.750000,0.750000,0.283031,0.526997,0.000000,221.000000
0.812500,0.750000,0.527106,0.536221,0.000000,241.000000
0.828125,0.937500,0.335464,0.382438,0.000000,261.000000
0.921875,0.875000,0.405923,0.365784,0.000000,281.000000
0.906250,0.750000,0.493379,0.458708,0.000000,301.000000
0.906250,0.875000,0.462689,0.363721,0.000000,321.000000
0.843750,0.875000,0.173354,0.273899,0.000000,341.000000
0.968750,0.812500,0.530273,0.381949,0.000000,361.000000
0.906250,0.750000,0.172555,0.318988,0.000000,381.000000
0.875000,0.812500,0.424384,0.337664,0.000000,401.000000
0.875000,0.875000,0.463994,0.338516,0.000000,421.000000
1.000000,0.875000,0.139775,0.279167,0.000000,441.000000
1.000000,0.875000,0.440105,0.262445,0.000000,461.000000
0.812500,0.875000,0.296683,0.360429,0.000000,481.000000
0.843750,0.875000,0.199685,0.320665,0.000000,501.000000
0.937500,0.750000,0.125417,0.228523,0.000000,521.000000
0.843750,0.937500,0.411485,0.270233,0.000000,541.000000
0.781250,0.750000,0.459797,0.358017,0.000000,561.000000
0.906250,1.000000,0.287835,0.309079,0.000000,581.000000
0.968750,0.875000,0.317853,0.249023,0.000000,601.000000
0.875000,0.875000,0.172919,0.275894,0.000000,621.000000
0.906250,1.000000,0.392595,0.289573,0.000000,641.000000
0.937500,0.937500,0.269088,0.272097,0.000000,661.000000
0.843750,0.812500,0.300284,0.295431,0.000000,681.000000
0.968750,0.875000,0.440038,0.264856,0.000000,701.000000
0.937500,1.000000,0.269373,0.224796,0.000000,721.000000
0.890625,1.000000,0.376425,0.281271,0.000000,741.000000
0.968750,0.625000,0.115772,0.215458,0.000000,761.000000
0.875000,1.000000,0.160488,0.276912,0.000000,781.000000
0.937500,1.000000,0.102755,0.305743,0.000000,801.000000
0.968750,0.937500,0.332580,0.180313,0.000000,821.000000
0.937500,0.843750,0.433442,0.227387,0.000000,841.000000
0.875000,0.812500,0.198809,0.283814,0.000000,861.000000
0.968750,1.000000,0.217791,0.276831,0.000000,881.000000
0.937500,0.937500,0.326812,0.245617,0.000000,901.000000
0.875000,0.812500,0.396176,0.338157,0.000000,921.000000
0.812500,0.937500,0.611947,0.167439,0.000000,941.000000
0.906250,0.937500,0.252478,0.207364,0.000000,961.000000
0.906250,0.937500,0.126655,0.324468,0.000000,981.000000
0.875000,0.937500,0.155866,0.321594,0.000000,1001.000000
0.937500,0.937500,0.194509,0.193421,0.000000,1021.000000
0.968750,0.687500,0.198429,0.296373,0.000000,1041.000000
0.968750,0.812500,0.172003,0.254897,0.000000,1061.000000
0.968750,0.937500,0.323374,0.352932,0.000000,1081.000000
0.875000,0.937500,0.138129,0.193119,0.000000,1101.000000
0.906250,0.937500,0.221219,0.306747,0.000000,1121.000000
0.937500,0.781250,0.472705,0.181640,0.000000,1141.000000
0.937500,0.937500,0.201472,0.354612,0.000000,1161.000000
0.875000,0.875000,0.106199,0.275960,0.000000,1181.000000
0.937500,0.875000,0.094555,0.198346,0.000000,1201.000000
0.968750,0.812500,0.144468,0.249801,0.000000,1221.000000
0.906250,1.000000,0.122488,0.244651,0.000000,1241.000000
1.000000,0.812500,0.347880,0.276345,0.000000,1261.000000
0.937500,1.000000,0.289219,0.358798,0.000000,1281.000000
0.906250,0.875000,0.324869,0.280479,0.000000,1301.000000
0.937500,1.000000,0.053935,0.204269,0.000000,1321.000000
0.875000,1.000000,0.384150,0.304218,0.000000,1341.000000
0.906250,0.937500,0.245410,0.242981,0.000000,1361.000000
0.843750,0.875000,0.163678,0.317071,0.000000,1381.000000
0.875000,0.937500,0.353166,0.214648,0.000000,1401.000000
0.875000,0.937500,0.353416,0.147144,0.000000,1421.000000
0.968750,0.750000,0.602024,0.207658,0.000000,1441.000000
0.968750,0.875000,0.163645,0.263220,0.000000,1461.000000
0.937500,0.937500,0.227107,0.266720,0.000000,1481.000000
0.906250,0.875000,0.234432,0.273435,0.000000,1501.000000
