train_accu,test_accu,train_loss,test_loss,epoch,step
0.500000,0.500000,1.350922,7.192478,0.000000,1.000000
0.531250,0.500000,1.036562,0.888555,0.000000,21.000000
0.562500,0.750000,0.759221,0.733195,0.000000,41.000000
0.578125,0.500000,0.850680,0.647563,0.000000,61.000000
0.703125,0.750000,0.653094,0.625725,0.000000,81.000000
0.671875,0.531250,0.792300,0.577069,0.000000,101.000000
0.656250,0.500000,0.659759,0.593057,0.000000,121.000000
0.656250,0.562500,0.811871,0.579167,0.000000,141.000000
0.640625,0.906250,0.709559,0.623541,0.000000,161.000000
0.734375,0.468750,0.640189,0.609899,0.000000,181.000000
0.593750,0.687500,0.733931,0.609601,0.000000,201.000000
0.718750,0.812500,0.615329,0.605820,0.000000,221.000000
0.875000,0.656250,0.559034,0.582799,0.000000,241.000000
0.734375,0.656250,0.572736,1.162189,0.000000,261.000000
0.734375,0.531250,0.566438,1.801236,0.000000,281.000000
0.765625,0.656250,0.519468,0.692864,0.000000,301.000000
0.718750,0.500000,0.486612,1.707277,0.000000,321.000000
0.812500,0.906250,0.524632,0.761079,0.000000,341.000000
0.718750,0.875000,0.600265,0.427556,0.000000,361.000000
0.828125,0.750000,0.418122,0.435044,0.000000,381.000000
0.718750,0.937500,0.484547,0.723340,0.000000,401.000000
0.890625,0.937500,0.483169,0.645503,0.000000,421.000000
0.843750,0.812500,0.646025,0.425466,0.000000,441.000000
0.812500,0.750000,0.383439,0.398781,0.000000,461.000000
0.796875,1.000000,0.433169,0.381442,0.000000,481.000000
0.859375,0.875000,0.414786,0.420406,0.000000,501.000000
0.812500,0.687500,0.495841,0.308712,0.000000,521.000000
0.875000,0.781250,0.456308,0.371960,0.000000,541.000000
0.781250,0.875000,0.403374,0.598505,0.000000,561.000000
0.812500,0.875000,0.501747,0.537687,0.000000,581.000000
0.796875,0.625000,0.361169,0.742125,0.000000,601.000000
0.812500,0.937500,0.332521,0.388588,0.000000,621.000000
0.921875,0.812500,0.279579,0.349814,0.000000,641.000000
0.906250,0.968750,0.378363,0.588915,0.000000,661.000000
0.890625,0.812500,0.407943,0.349700,0.000000,681.000000
0.906250,0.937500,0.196381,0.501430,0.000000,701.000000
0.812500,0.968750,0.205504,0.359896,0.000000,721.000000
0.906250,0.687500,0.338452,0.472012,0.000000,741.000000
0.937500,0.937500,0.431126,0.433757,0.000000,761.000000
0.968750,0.968750,0.300259,0.242306,0.000000,781.000000
0.781250,0.750000,0.349291,0.464836,0.000000,801.000000
0.906250,0.937500,0.329245,0.277186,0.000000,821.000000
0.781250,0.718750,0.359737,0.583059,0.000000,841.000000
0.625000,0.812500,0.413992,0.842821,0.000000,861.000000
0.859375,0.937500,0.346496,0.346462,0.000000,881.000000
0.687500,0.812500,0.204311,0.295770,0.000000,901.000000
0.843750,1.000000,0.608773,0.216073,0.000000,921.000000
0.875000,1.000000,0.348705,0.314083,0.000000,941.000000
0.937500,0.812500,0.380771,0.301086,0.000000,961.000000
1.000000,0.937500,0.414483,0.198059,0.000000,981.000000
0.812500,0.812500,0.293481,0.477378,0.000000,1001.000000
0.906250,0.937500,0.600743,0.313067,0.000000,1021.000000
0.937500,0.812500,0.336626,0.256883,0.000000,1041.000000
0.906250,0.875000,0.380390,0.343182,0.000000,1061.000000
0.843750,0.937500,0.297674,0.224314,0.000000,1081.000000
0.812500,0.812500,0.183204,0.424150,0.000000,1101.000000
0.843750,0.875000,0.276870,0.326976,0.000000,1121.000000
0.968750,0.937500,0.448493,0.230328,0.000000,1141.000000
0.875000,0.937500,0.336654,0.370111,0.000000,1161.000000
0.875000,0.875000,0.452172,0.203910,0.000000,1181.000000
0.937500,0.937500,0.362706,0.380148,0.000000,1201.000000
0.781250,0.812500,0.173990,0.584123,0.000000,1221.000000
0.812500,1.000000,0.104515,0.310479,0.000000,1241.000000
0.875000,1.000000,0.208564,0.288317,0.000000,1261.000000
0.906250,0.937500,0.200141,0.220550,0.000000,1281.000000
0.937500,1.000000,0.205754,0.254224,0.000000,1301.000000
0.906250,0.875000,0.224933,0.402808,0.000000,1321.000000
0.875000,0.750000,0.399136,0.261735,0.000000,1341.000000
0.906250,0.875000,0.166387,0.268364,0.000000,1361.000000
0.906250,0.937500,0.141929,0.424587,0.000000,1381.000000
0.531250,0.812500,0.263481,0.535771,0.000000,1401.000000
0.875000,0.937500,0.149893,0.216511,0.000000,1421.000000
0.937500,0.968750,0.256061,0.325615,0.000000,1441.000000
0.781250,0.937500,0.128763,0.228656,0.000000,1461.000000
1.000000,0.812500,0.309578,0.289913,0.000000,1481.000000
0.875000,0.812500,0.281768,0.421218,0.000000,1501.000000
0.750000,0.750000,0.349254,0.349096,0.000000,1521.000000
0.625000,0.750000,0.355569,0.486220,0.000000,1541.000000
0.906250,0.937500,0.382148,0.202418,0.000000,1561.000000
1.000000,0.875000,0.144983,0.205027,0.000000,1581.000000
1.000000,0.875000,0.299097,0.177720,0.000000,1601.000000
0.906250,0.937500,0.127278,0.299280,0.000000,1621.000000
0.906250,0.750000,0.370971,0.249418,0.000000,1641.000000
0.875000,0.875000,0.269011,0.290824,0.000000,1661.000000
0.875000,0.937500,0.353890,0.316182,0.000000,1681.000000
0.968750,1.000000,0.172936,0.214848,0.000000,1701.000000
0.812500,0.937500,0.328867,0.242389,0.000000,1721.000000
0.968750,0.937500,0.421666,0.300397,0.000000,1741.000000
0.906250,0.875000,0.250912,0.202247,0.000000,1761.000000
0.906250,0.937500,0.378989,0.410102,0.000000,1781.000000
0.906250,0.875000,0.163131,0.425990,0.000000,1801.000000
0.875000,0.812500,0.443160,0.196689,0.000000,1821.000000
0.937500,0.937500,0.143058,0.259531,0.000000,1841.000000
0.906250,0.875000,0.301293,0.162770,0.000000,1861.000000
0.875000,1.000000,0.423057,0.259826,0.000000,1881.000000
0.843750,0.875000,0.253899,0.356725,0.000000,1901.000000
0.875000,0.937500,0.502807,0.243960,0.000000,1921.000000
0.875000,0.937500,0.228347,0.330679,0.000000,1941.000000
0.906250,0.812500,0.394321,0.316932,0.000000,1961.000000
0.875000,0.875000,0.192755,0.262279,1.000000,1966.000000
1.000000,0.937500,0.259661,0.259732,1.000000,1986.000000
0.843750,0.937500,0.241576,0.171793,1.000000,2006.000000
0.875000,0.937500,0.164972,0.257862,1.000000,2026.000000
0.875000,0.812500,0.234697,0.243141,1.000000,2046.000000
0.843750,0.937500,0.401164,0.309667,1.000000,2066.000000
0.937500,0.937500,0.120404,0.176598,1.000000,2086.000000
0.812500,0.875000,0.146982,0.407998,1.000000,2106.000000
0.906250,0.937500,0.146886,0.374674,1.000000,2126.000000
0.937500,0.843750,0.167516,0.225934,1.000000,2146.000000
0.906250,1.000000,0.150776,0.294004,1.000000,2166.000000
0.937500,0.937500,0.583684,0.193555,1.000000,2186.000000
0.937500,1.000000,0.376665,0.199723,1.000000,2206.000000
0.718750,0.875000,0.173817,0.487410,1.000000,2226.000000
0.781250,0.937500,0.321126,0.203870,1.000000,2246.000000
0.906250,1.000000,0.151562,0.243736,1.000000,2266.000000
0.968750,0.875000,0.248332,0.215526,1.000000,2286.000000
0.937500,0.875000,0.285847,0.379731,1.000000,2306.000000
0.875000,0.875000,0.316781,0.229931,1.000000,2326.000000
0.937500,0.937500,0.284322,0.156937,1.000000,2346.000000
0.937500,1.000000,0.221838,0.406397,1.000000,2366.000000
0.843750,0.937500,0.148427,0.135060,1.000000,2386.000000
0.750000,0.875000,0.325246,0.400204,1.000000,2406.000000
1.000000,0.875000,0.265159,0.215799,1.000000,2426.000000
0.875000,0.937500,0.138165,0.230863,1.000000,2446.000000
0.875000,0.812500,0.075009,0.286002,1.000000,2466.000000
0.937500,0.937500,0.214724,0.246105,1.000000,2486.000000
0.843750,0.875000,0.091909,0.219218,1.000000,2506.000000
0.937500,1.000000,0.425511,0.207916,1.000000,2526.000000
0.796875,0.937500,0.124984,0.178681,1.000000,2546.000000
0.906250,1.000000,0.162532,0.265899,1.000000,2566.000000
0.937500,0.937500,0.179956,0.308917,1.000000,2586.000000
0.968750,0.875000,0.414852,0.193081,1.000000,2606.000000
0.906250,0.875000,0.293933,0.166060,1.000000,2626.000000
0.968750,0.937500,0.222564,0.214591,1.000000,2646.000000
0.937500,0.937500,0.531286,0.164732,1.000000,2666.000000
0.937500,0.875000,0.181733,0.189609,1.000000,2686.000000
