train_accu,test_accu,train_loss,test_loss,epoch,step
0.421875,0.406250,1.690571,3.230560,0.000000,1.000000
0.640625,0.500000,1.325068,0.848307,0.000000,21.000000
0.656250,0.812500,0.918643,0.877141,0.000000,41.000000
0.593750,0.406250,0.825979,0.776647,0.000000,61.000000
0.562500,0.500000,0.699296,0.596929,0.000000,81.000000
0.640625,0.718750,0.871185,0.557344,0.000000,101.000000
0.734375,0.781250,0.785438,0.631775,0.000000,121.000000
0.750000,0.437500,0.692820,0.588557,0.000000,141.000000
0.765625,0.593750,0.730333,0.586773,0.000000,161.000000
0.687500,0.812500,0.665177,0.603393,0.000000,181.000000
0.593750,0.718750,0.603406,0.604748,0.000000,201.000000
0.609375,0.812500,0.728460,0.541632,0.000000,221.000000
0.625000,0.625000,0.670042,0.655400,0.000000,241.000000
0.703125,0.562500,0.675384,0.607551,0.000000,261.000000
0.562500,0.812500,0.545820,0.540961,0.000000,281.000000
0.656250,0.687500,0.544325,0.566102,0.000000,301.000000
0.812500,0.937500,0.593857,0.522432,0.000000,321.000000
0.828125,0.875000,0.514508,0.484163,0.000000,341.000000
0.890625,0.812500,0.531158,0.434564,0.000000,361.000000
0.593750,0.656250,0.439625,0.931922,0.000000,381.000000
0.765625,0.687500,0.439016,0.439736,0.000000,401.000000
0.828125,0.687500,0.459235,0.605616,0.000000,421.000000
0.750000,0.812500,0.656371,1.159627,0.000000,441.000000
0.609375,0.531250,0.449224,0.521034,0.000000,461.000000
0.875000,0.875000,0.611900,0.567197,0.000000,481.000000
0.843750,0.937500,0.306288,0.417315,0.000000,501.000000
0.843750,0.750000,0.425005,0.477059,0.000000,521.000000
0.828125,0.687500,0.426843,0.469160,0.000000,541.000000
0.843750,0.937500,0.561842,0.394303,0.000000,561.000000
0.781250,0.812500,0.475752,7.014250,0.000000,581.000000
0.781250,0.843750,0.458489,0.573297,0.000000,601.000000
0.906250,0.875000,0.566901,0.340966,0.000000,621.000000
0.875000,0.812500,0.359472,0.424350,0.000000,641.000000
0.812500,0.906250,0.434377,0.347121,0.000000,661.000000
0.875000,0.875000,0.454676,0.325899,0.000000,681.000000
0.937500,0.875000,0.344344,0.320832,0.000000,701.000000
0.796875,1.000000,0.470714,0.368957,0.000000,721.000000
0.843750,0.812500,0.430353,0.308073,0.000000,741.000000
0.890625,0.812500,0.295093,0.268270,0.000000,761.000000
0.875000,0.812500,0.244248,0.246322,0.000000,781.000000
0.828125,0.937500,0.320877,0.327589,0.000000,801.000000
0.890625,0.906250,0.393337,0.325510,0.000000,821.000000
0.875000,0.937500,0.459627,0.340316,0.000000,841.000000
0.656250,0.625000,0.421152,0.583128,0.000000,861.000000
0.812500,0.937500,0.286211,0.376172,0.000000,881.000000
0.750000,0.937500,0.547054,0.327539,0.000000,901.000000
0.843750,1.000000,0.377811,0.408387,0.000000,921.000000
0.906250,0.937500,0.546032,0.327986,0.000000,941.000000
1.000000,0.875000,0.365579,0.373855,0.000000,961.000000
0.906250,0.937500,0.447338,0.404072,0.000000,981.000000
0.968750,1.000000,0.375435,0.367697,0.000000,1001.000000
0.875000,0.937500,0.443658,0.312876,0.000000,1021.000000
0.828125,0.812500,0.709166,0.455992,0.000000,1041.000000
0.953125,0.875000,0.205464,0.337323,0.000000,1061.000000
0.875000,0.750000,0.404181,0.324956,0.000000,1081.000000
0.937500,0.875000,0.325147,0.635731,0.000000,1101.000000
0.968750,0.875000,0.256079,0.257603,0.000000,1121.000000
0.843750,0.937500,0.375493,0.570885,0.000000,1141.000000
0.906250,0.875000,0.317019,0.365618,0.000000,1161.000000
0.937500,0.937500,0.460152,0.298613,0.000000,1181.000000
0.812500,0.937500,0.281984,0.374823,0.000000,1201.000000
0.796875,0.750000,0.331000,0.484450,0.000000,1221.000000
0.843750,1.000000,0.518639,0.220699,0.000000,1241.000000
0.906250,0.937500,0.430486,0.329898,0.000000,1261.000000
0.828125,0.875000,0.453647,0.277820,0.000000,1281.000000
0.812500,0.937500,0.356148,0.367327,0.000000,1301.000000
0.875000,0.937500,0.400900,0.318997,0.000000,1321.000000
0.906250,0.937500,0.290950,0.324800,0.000000,1341.000000
0.937500,0.812500,0.494212,0.271049,0.000000,1361.000000
0.968750,0.937500,0.319446,0.249618,0.000000,1381.000000
0.937500,1.000000,0.535566,0.327808,0.000000,1401.000000
0.906250,1.000000,0.221770,0.309061,0.000000,1421.000000
0.812500,0.812500,0.311918,0.327365,0.000000,1441.000000
0.968750,0.875000,0.564428,0.342909,0.000000,1461.000000
0.906250,0.937500,0.503195,0.298344,0.000000,1481.000000
0.875000,0.875000,0.264450,0.387775,0.000000,1501.000000
0.937500,0.875000,0.223138,0.294136,0.000000,1521.000000
0.921875,1.000000,0.191940,0.284899,0.000000,1541.000000
0.843750,0.750000,0.288753,0.317569,0.000000,1561.000000
0.812500,0.750000,0.225527,0.341339,0.000000,1581.000000
0.906250,0.937500,0.394585,0.382802,0.000000,1601.000000
0.968750,0.875000,0.296086,0.284879,0.000000,1621.000000
0.750000,0.750000,0.260971,0.393133,0.000000,1641.000000
0.781250,0.937500,0.474872,0.290791,0.000000,1661.000000
0.906250,0.812500,0.399914,0.425595,0.000000,1681.000000
0.718750,0.937500,0.327702,0.299317,0.000000,1701.000000
0.906250,0.750000,0.122021,0.390033,0.000000,1721.000000
0.906250,0.937500,0.151948,0.264652,0.000000,1741.000000
0.890625,0.750000,0.414668,0.355558,0.000000,1761.000000
0.796875,0.875000,0.231670,0.336816,0.000000,1781.000000
0.968750,1.000000,0.252018,0.242193,0.000000,1801.000000
0.968750,0.750000,0.320913,0.190813,0.000000,1821.000000
1.000000,0.875000,0.169989,0.267910,0.000000,1841.000000
0.906250,0.812500,0.525782,0.260749,0.000000,1861.000000
0.906250,0.875000,0.694859,0.254887,0.000000,1881.000000
0.875000,0.875000,0.165113,0.235513,0.000000,1901.000000
0.968750,0.937500,0.261594,0.277679,0.000000,1921.000000
0.937500,0.937500,0.432154,0.258009,0.000000,1941.000000
0.843750,0.875000,0.479649,0.343698,0.000000,1961.000000
0.812500,0.562500,0.587846,0.423412,1.000000,1966.000000
0.843750,0.937500,0.403739,0.301284,1.000000,1986.000000
0.968750,0.812500,0.297093,0.210814,1.000000,2006.000000
0.937500,1.000000,0.501787,0.286548,1.000000,2026.000000
0.921875,0.937500,0.268714,0.286766,1.000000,2046.000000
0.875000,0.937500,0.323720,0.158873,1.000000,2066.000000
0.890625,0.875000,0.308299,0.304297,1.000000,2086.000000
0.937500,0.812500,0.205716,0.247894,1.000000,2106.000000
0.906250,0.937500,0.281223,0.242779,1.000000,2126.000000
0.937500,0.937500,0.344234,0.242441,1.000000,2146.000000
0.968750,0.906250,0.148373,0.288928,1.000000,2166.000000
0.906250,0.937500,0.214360,0.264014,1.000000,2186.000000
0.937500,0.937500,0.329454,0.217501,1.000000,2206.000000
0.875000,0.937500,0.286668,0.355214,1.000000,2226.000000
0.843750,0.968750,0.439397,0.437202,1.000000,2246.000000
0.781250,0.937500,0.282270,0.315456,1.000000,2266.000000
0.843750,0.937500,0.343713,0.799967,1.000000,2286.000000
0.828125,0.937500,0.238258,0.599925,1.000000,2306.000000
0.937500,0.625000,0.160997,0.399805,1.000000,2326.000000
