method,model,layer_name,plane,entry_number,reason,mass_token,weight_file,input_file,n_pixels,adc_lo,adc_hi,occlusion_size,stride,normalize_for_png,saved_npy_is_raw,base_signal_score,base_background_score,active_threshold,active_frac,topk_frac,overlap_topk_signal,overlap_topk_background,has_mask_diagnostics,has_attr_adc_correlation,has_curves,has_pixel_need,occlusion_attribution,occlusion_patch_halfwidth,signal_n_total,signal_n_active,signal_use_abs_rank,signal_active_abs_mass_frac,signal_attr_min_on_active,signal_attr_max_on_active,signal_attr_mean_on_active,signal_attr_median_on_active,signal_attr_q90_on_active,signal_attr_q95_on_active,signal_attr_q99_on_active,signal_attr_q999_on_active,signal_active_pos_frac,signal_active_neg_frac,signal_active_zero_frac,background_n_total,background_n_active,background_use_abs_rank,background_active_abs_mass_frac,background_attr_min_on_active,background_attr_max_on_active,background_attr_mean_on_active,background_attr_median_on_active,background_attr_q90_on_active,background_attr_q95_on_active,background_attr_q99_on_active,background_attr_q999_on_active,background_active_pos_frac,background_active_neg_frac,background_active_zero_frac,signal_adc_pearson_r,signal_adc_pearson_p,signal_adc_spearman_r,signal_adc_spearman_p,signal_adc_n,background_adc_pearson_r,background_adc_pearson_p,background_adc_spearman_r,background_adc_spearman_p,background_adc_n,auc_deletion_signal,auc_deletion_background,auc_insertion_signal,auc_insertion_background,auc_random_deletion_signal,auc_random_deletion_background,auc_random_insertion_signal,auc_random_insertion_background,auc_insertion_signal_adv,auc_insertion_background_adv,auc_deletion_signal_adv,auc_deletion_background_adv,ins_signal_frac_to_50%,ins_signal_frac_to_90%,ins_signal_frac_to_95%,del_signal_frac_to_90%,del_signal_frac_to_50%,del_signal_frac_to_10%,ins_signal_pixels_to_50%,ins_signal_pixels_to_90%,ins_signal_pixels_to_95%,del_signal_pixels_to_90%,del_signal_pixels_to_50%,del_signal_pixels_to_10%,ins_background_frac_to_50%,ins_background_frac_to_90%,ins_background_frac_to_95%,del_background_frac_to_90%,del_background_frac_to_50%,del_background_frac_to_10%,ins_background_pixels_to_50%,ins_background_pixels_to_90%,ins_background_pixels_to_95%,del_background_pixels_to_90%,del_background_pixels_to_50%,del_background_pixels_to_10%,curves_attr_used,meta_path
occlusion,mpid,,0,1138,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,1214,10.0,500.0,16,1,False,True,0.997261643409729,0.002845142502337694,0.0,0.00463104248046875,0.01,0.4612743227775658,0.4612743227775658,True,True,True,True,delta_prob,16,262144,1214,True,1.0000000870511199,0.0,0.563666582107544,0.01804833131331392,0.0012018084526062012,0.02437126636505127,0.10976582765579224,0.44239771366119385,0.563666582107544,0.8179571663920923,0.17792421746293247,0.004118616144975288,262144,1214,True,0.999999913486308,0.0,0.5631365776062012,0.018160446617645678,0.0012347796000540257,0.024750923737883568,0.11025018244981766,0.4420287609100342,0.5631365776062012,0.17792421746293247,0.8179571663920923,0.004118616144975288,-0.025391804054379463,0.3767255838813184,-0.021659521633633383,0.4508594468525621,1214,-0.02534840628504753,0.37754187071111656,-0.021867356699240788,0.4465259271810057,1214,0.08444502977654339,0.915270914346911,0.9496283181011678,0.05045864167623222,0.8837646849453449,0.11704096405301241,0.9211980290710926,0.07925420741084964,0.028430289030075162,-0.028795565734617418,0.7993196551688015,-0.7982299502938985,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_1138__offbeam_meta_16.txt
occlusion,mpid,,0,1138,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,1214,10.0,500.0,2,1,False,True,0.9972622394561768,0.002844543196260929,0.0,0.00463104248046875,0.01,0.46318199160625717,0.46318199160625717,True,True,True,True,delta_prob,2,262144,1214,True,0.999999910891929,2.384185791015625e-07,0.2662593126296997,0.0022039631446071667,0.0005271434783935547,0.0016341209411621094,0.002136409282684326,0.030652363896369897,0.2533308100104336,0.7273476112026359,0.2726523887973641,0.0,262144,1214,True,1.0,1.132255420088768e-06,0.26721569895744324,0.00223830797156408,0.0005442847032099962,0.0016766733489930632,0.0021987170912325382,0.03121171820908782,0.25457363711297554,0.27182866556836904,0.728171334431631,0.0,0.0005417554639279842,0.9849540343200831,0.0062126742562929535,0.828797388638113,1214,0.0006575905717909336,0.9817401048908582,0.005442873573476689,0.8497406245183452,1214,0.09624340739101173,0.9033527955878526,0.9498401956632734,0.05023971437476576,0.8837588982656599,0.11704678474925456,0.921191324479878,0.07926099612377585,0.02864887118339543,-0.029021281749010093,0.7875154908746482,-0.7863060108385981,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_1138__offbeam_meta_2.txt
occlusion,mpid,,0,1138,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,1214,10.0,500.0,4,1,False,True,0.997261643409729,0.002845142502337694,0.0,0.00463104248046875,0.01,0.46318199160625717,0.46318199160625717,True,True,True,True,delta_prob,4,262144,1214,True,1.0000001029029646,1.6689300537109375e-06,0.17288726568222046,0.0019085062100034963,0.0006816983222961426,0.0020292282104492194,0.002597332000732422,0.033557761907576866,0.12741744387149867,0.7627677100494233,0.2372322899505766,0.0,262144,1214,True,1.0,1.7588026821613312e-06,0.17426881194114685,0.0019491241451412673,0.0007034919690340757,0.002079801401123405,0.0026617860421538353,0.03412443649023705,0.12868651104718504,0.23805601317957167,0.7619439868204283,0.0,-0.003511497750878334,0.9027204632989688,-0.03625004094613729,0.20689270608134147,1214,-0.003589931409806013,0.9005586165072489,-0.03673604609863563,0.2008657253782314,1214,0.0962269388139248,0.9033694165060296,0.9498387642204762,0.05024115692358465,0.8837646849453449,0.11704096405301241,0.9211980290710926,0.07925420741084964,0.02864073514938359,-0.02901305048726499,0.7875377461314201,-0.7863284524530172,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_1138__offbeam_meta_4.txt
occlusion,mpid,,0,1138,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,1214,10.0,500.0,8,1,False,True,0.9972622394561768,0.002844543196260929,0.0,0.00463104248046875,0.01,0.46318199160625717,0.46318199160625717,True,True,True,True,delta_prob,8,262144,1214,True,1.0,2.384185791015625e-06,0.24698907136917114,0.003726613335004552,0.000874936580657959,0.003081381320953369,0.007027268409729004,0.10473579168319702,0.24698907136917114,0.8105436573311368,0.18945634266886327,0.0,262144,1214,True,0.9999998962210127,2.4705659598112106e-06,0.24830344319343567,0.0037847911741291486,0.0009027809137478471,0.003155223559588194,0.007166612893342972,0.1058756560087204,0.24830344319343567,0.18945634266886327,0.8105436573311368,0.0,-0.020834825932979584,0.46828787432479685,-0.05308051922568076,0.06447855040748328,1214,-0.020910846069455147,0.4666651874048177,-0.05335222907910058,0.06312162086406073,1214,0.09624340739101173,0.9033527955878526,0.9498401956632734,0.05023971437476576,0.8837588982656599,0.11704678474925456,0.921191324479878,0.07926099612377585,0.02864887118339543,-0.029021281749010093,0.7875154908746482,-0.7863060108385981,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_1138__offbeam_meta_8.txt
occlusion,mpid,,0,2256,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,946,10.0,500.0,16,1,False,True,0.9941054582595825,0.006126153748482466,0.0,0.00360870361328125,0.01,0.3300267073636017,0.3300267073636017,True,True,True,True,delta_prob,16,262144,946,True,1.0,0.0,0.5019747018814087,0.022204470621859044,0.0011230707168579102,0.0262334942817688,0.1741924285888672,0.4205096900463094,0.5019747018814087,0.733615221987315,0.18076109936575052,0.08562367864693446,262144,946,True,1.0000000897449521,0.0,0.5037490725517273,0.022466163111340656,0.0011658743023872375,0.026890873908996582,0.176762193441391,0.4218955338001241,0.5037490725517273,0.17970401691331925,0.7346723044397463,0.08562367864693446,0.0471159853041172,0.14760541081585232,0.008847772414074402,0.7857931418401971,946,0.0471135750412941,0.147626951968761,0.00894527426589374,0.7834909942940506,946,0.08486188016831875,0.915247263922356,0.9466112561523914,0.0535971530014649,0.8873531527817248,0.11382273889612407,0.941393554955721,0.058946879510767755,0.005217701196670421,-0.005349726509302856,0.802491272613406,-0.801424525026232,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2256__offbeam_meta_16.txt
occlusion,mpid,,0,2256,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,946,10.0,500.0,2,1,False,True,0.9941073656082153,0.0061241742223501205,0.0,0.00360870361328125,0.01,0.3563525371995422,0.3563525371995422,True,True,True,True,delta_prob,2,262144,946,True,1.0,0.0,0.02339118719100952,0.000944845142122555,0.00033086538314819336,0.0018162727355957031,0.004021823406219482,0.0085082322359085,0.021642703413963436,0.6416490486257929,0.3456659619450317,0.012684989429175475,262144,946,True,1.0,0.0,0.02411734312772751,0.0009777859521805294,0.0003434999380260706,0.0018846029415726662,0.004152117762714624,0.008757493365555993,0.022324886042624833,0.346723044397463,0.6405919661733616,0.012684989429175475,0.06736746430397034,0.038298835718039693,0.15276727025584413,2.356129772266984e-06,946,0.06777359545230865,0.03714558764302248,0.1535211879758528,2.0977310766084097e-06,946,0.0687805614201352,0.9310860830359162,0.9467722790315749,0.053428816515952354,0.8873559730127453,0.11381983673200011,0.9413946943357587,0.05894569689407945,0.005377584695816173,-0.005516880378127094,0.81857541159261,-0.8172662463039161,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2256__offbeam_meta_2.txt
occlusion,mpid,,0,2256,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,946,10.0,500.0,4,1,False,True,0.9941054582595825,0.006126153748482466,0.0,0.00360870361328125,0.01,0.35291873330789775,0.35291873330789775,True,True,True,True,delta_prob,4,262144,946,True,1.0,0.0,0.04879528284072876,0.0014964782536407858,0.0005489587783813477,0.0033223330974578857,0.006544783711433411,0.014683836698532007,0.04879528284072876,0.6215644820295984,0.3562367864693446,0.022198731501057084,262144,946,True,0.9999999185659993,0.0,0.050081878900527954,0.0015474377410687175,0.0005691132973879576,0.003419593907892704,0.006753850262612104,0.01511390283703794,0.050081878900527954,0.35517970401691334,0.6226215644820295,0.022198731501057084,0.0025345273315906525,0.9379463960044264,0.11734825803067866,0.0002980082626303115,946,0.0029688645154237747,0.9273380552689202,0.11816536525288539,0.0002701202801242211,946,0.06881812526844443,0.9310483896872028,0.9466937847435474,0.05351051834877581,0.8873531527817248,0.11382273889612407,0.941393554955721,0.058946879510767755,0.005300229787826405,-0.005436361161991948,0.8185350275132803,-0.8172256507910788,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2256__offbeam_meta_4.txt
occlusion,mpid,,0,2256,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,946,10.0,500.0,8,1,False,True,0.9941073656082153,0.0061241742223501205,0.0,0.00360870361328125,0.01,0.3464326592903472,0.3464326592903472,True,True,True,True,delta_prob,8,262144,946,True,1.00000007886477,0.0,0.15892106294631958,0.003195699312218148,0.0007347762584686279,0.006809920072555542,0.015240967273712158,0.041720119118690474,0.14905087709426945,0.6321353065539113,0.3276955602536998,0.040169133192389,262144,946,True,1.000000153296092,0.0,0.1612398475408554,0.003288121891540749,0.0007570369634777308,0.0071110595017671585,0.01564713567495346,0.04279489368200302,0.15125208035111495,0.3266384778012685,0.6331923890063424,0.040169133192389,-0.020845964550971985,0.5219223779903077,0.022802477519964226,0.48361374601094154,946,-0.020459474995732307,0.5296699341153759,0.023040183517559532,0.4790654047246894,946,0.08494462459348143,0.9151658314280213,0.9465760128572585,0.053633803315460686,0.8873559730127453,0.11381983673200011,0.9413946943357587,0.05894569689407945,0.005181318521499723,-0.005311893578618762,0.8024113484192639,-0.8013459946960212,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2256__offbeam_meta_8.txt
occlusion,mpid,,0,2627,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,328,10.0,500.0,16,1,False,True,0.9814391732215881,0.019251545891165733,0.0,0.001251220703125,0.01,0.11140785959557421,0.11140785959557421,True,True,True,True,delta_prob,16,262144,328,True,1.0,0.0,0.6179118156433105,0.12989357440936855,0.010629475116729736,0.49968335032463074,0.49968335032463074,0.6179118156433105,0.6179118156433105,0.4969512195121951,0.3932926829268293,0.10975609756097561,262144,328,True,0.9999999115025373,0.0,0.6196793913841248,0.13141816575931975,0.010963886976242065,0.5046257972717285,0.5046257972717285,0.6196793913841248,0.6196793913841248,0.3932926829268293,0.4969512195121951,0.10975609756097561,0.07447852194309235,0.17843699945094227,0.014978209952323608,0.7869706427074661,328,0.07410094887018204,0.18065421795844572,0.015341101079469096,0.7819377139494971,328,0.1012519031763077,0.8985983203165232,0.9409813858568669,0.05946330474689603,0.8911253251135349,0.11080808835104107,0.898507521301508,0.10296382075175645,0.04247386455535884,-0.043500516004860414,0.7898734219372272,-0.7877902319654821,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2627__offbeam_meta_16.txt
occlusion,mpid,,0,2627,A_high_tail,,/home/hep/an1522/dark_tridents_wspace/outputs/weights/DM-CNN_model_20260116-10_22_PM_epoch_4_batch_id_1961_labels_2_title_0.001_AG_GN_LM_TRAINING_step_9821.pwf,/data/run1_offbeam_larcv_cropped_full_set.root,328,10.0,500.0,2,1,False,True,0.9814391732215881,0.019251545891165733,0.0,0.001251220703125,0.01,0.12323540633346051,0.12323540633346051,True,True,True,True,delta_prob,2,262144,328,True,1.0,0.0,0.14773833751678467,0.009391076499369086,0.0029855072498321533,0.022953748703002985,0.05125189423561095,0.09727168083190918,0.14295849210023967,0.2896341463414634,0.6951219512195121,0.01524390243902439,262144,328,True,1.0000001510345526,0.0,0.15028607845306396,0.009625425735465818,0.003113815560936928,0.023583727702498492,0.05250221900641917,0.0992959663271904,0.14546002054214563,0.6920731707317073,0.2926829268292683,0.01524390243902439,0.13684391975402832,0.013117351616643395,0.06438454435096563,0.24490704037421257,328,0.13747857511043549,0.012696091234707298,0.06505412321117664,0.2400237986315071,328,0.11845194175839426,0.881783331464976,0.933513007313013,0.06716342950239779,0.8911253251135349,0.11080808835104107,0.898507521301508,0.10296382075175645,0.035005486011504994,-0.03580039124935866,0.7726733833551407,-0.770975243113935,0.1,0.1,0.1,0.1,0.1,0.1,26214.4,26214.4,26214.4,26214.4,26214.4,26214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,occlusion_attr_signal,/vols/sbn/uboone/an1522/cam_methods/occlusion/A_high_tail/run1_samples/mpid/occlusion__ENTRY_2627__offbeam_meta_2.txt
