run_number,subrun_number,event_number
7001,916,45840
7016,378,18939
7017,644,32240
7017,1674,83722
7017,1674,83743
7017,1022,51131
7016,385,19252
7112,25,1277
7001,1145,57254
7017,657,32867
7014,1748,87402
7016,131,6582
7012,1639,81969
7017,1345,67269
7016,133,6659
7017,731,36561
7017,1348,67405
7017,1348,67429
7020,111,5573
7020,288,14410
7014,1649,82452
7014,1649,82459
7014,1649,82485
7016,376,18806
7016,376,18816
7001,602,30129
7012,1308,65441
7001,776,38826
7017,778,38917
7017,48,2409
7017,1672,83647
7011,66,3305
7012,1297,64872
7012,1297,64889
7012,1297,64899
7020,267,13388
7017,1065,53282
7017,446,22345
7001,885,44259
7017,1478,73933
7014,1699,84991
7017,9,491
7016,307,15376
7020,390,19550
7017,982,49150
7013,92,4632
7011,129,6470
7011,129,6493
7001,1005,50293
7020,525,26276
7017,1742,87120
7017,1009,50454
7017,1009,50490
7017,1009,50498
7113,57,2859
7001,1129,56456
7001,55,2800
7017,966,48328
7017,187,9391
7001,1039,51977
7001,1039,51982
7001,507,25366
7011,286,14310
7017,323,16175
7017,323,16177
7020,121,6083
7001,220,11003
7014,1424,71208
7017,1223,61156
7017,492,24646
7017,1549,77470
7012,1379,68953
7012,1379,68964
7001,1150,57533
7017,568,28433
7017,759,37957
7017,759,37974
7017,988,49415
7017,988,49423
7001,938,46915
7017,451,22600
7017,1208,60412
7017,28,1435
7017,329,16485
7001,1159,57961
7017,1373,68700
7016,264,13238
7020,213,10681
7017,115,5751
7017,344,17216
7001,208,10404
7016,247,12392
7020,524,26244
7017,61,3051
7017,588,29450
7017,827,41379
7014,994,49739
7017,1180,59042
7014,1296,64812
7014,1653,82662
7017,60,3017
7017,976,48850
7011,22,1102
7017,1578,78944
7017,1236,61828
7001,353,17678
7001,353,17687
7017,1002,50106
7017,1002,50108
7013,28,1413
7017,51,2572
7017,51,2588
7020,1901,95065
7017,420,21020
7003,1586,79336
7020,382,19150
7017,360,18001
7017,1283,64161
7017,1164,58246
7012,1742,87123
7014,1561,78064
7014,1561,78082
7020,46,2305
7017,732,36643
7014,1495,74775
7017,1492,74635
