run_number,subrun_number,event_number
6361,14,734
6695,54,2749
6334,106,5339
6692,111,5571
6446,28,1448
6406,22,1110
6387,194,9733
6387,194,9735
6387,195,9761
6356,47,2364
6356,47,2377
6356,53,2658
6580,2,110
6580,9,485
6388,61,3078
6388,63,3191
6564,212,10622
6564,216,10806
6349,57,2854
6349,57,2869
6349,60,3019
6431,29,1457
6431,91,4586
6423,134,6726
6423,149,7474
6487,98,4950
6487,127,6383
6440,189,9499
6690,154,7744
6690,157,7863
6690,159,7951
6479,14,713
6535,202,10104
6376,13,692
6428,25,1266
6354,31,1578
6568,34,1729
6749,57,2868
6749,60,3047
6479,22,1134
6479,23,1168
6479,25,1290
6674,13,682
6658,64,3240
6343,119,5958
6343,124,6250
6407,131,6554
6686,21,1079
6686,22,1147
6387,111,5588
6591,62,3141
6633,31,1553
6620,107,5365
6633,39,1972
6479,2,137
6480,145,7268
6480,148,7402
6343,40,2019
6599,48,2448
6634,72,3608
6605,115,5764
6572,132,6612
6572,135,6771
6376,41,2074
6468,147,7376
6488,23,1186
6487,93,4698
5091,52,2617
6341,26,1335
6658,29,1456
6379,188,9411
6379,191,9573
6697,78,3947
6697,80,4050
6527,222,11120
6749,207,10359
6749,210,10504
6752,93,4658
6457,160,8025
6647,69,3456
6647,70,3522
6647,77,3863
6549,29,1490
6549,30,1519
6633,21,1074
6446,147,7381
6535,149,7492
6535,152,7650
6680,33,1685
6666,0,40
6647,48,2401
6579,81,4063
6579,83,4184
6579,88,4421
6406,132,6648
6655,20,1032
6369,95,4778
6369,97,4866
6369,100,5019
6412,21,1079
6412,37,1891
6528,97,4888
6528,98,4904
6382,205,10293
6596,36,1824
6596,40,2042
6687,199,10000
6647,182,9111
6647,182,9127
6647,192,9602
6640,44,2247
6589,48,2432
6481,20,1039
6481,25,1287
6560,8,446
6698,46,2331
6356,24,1244
6356,27,1400
6356,31,1557
6650,33,1660
6650,33,1666
6693,43,2191
6468,34,1722
6664,70,3541
6551,205,10284
6551,205,10291
6577,75,3790
6339,11,559
6339,18,920
6339,19,974
6535,195,9789
6535,212,10606
6668,129,6476
6544,104,5201
6544,108,5404
6647,120,6046
6647,123,6156
6647,124,6237
6647,232,11647
6639,39,1982
6571,137,6885
6571,137,6886
6369,122,6108
6369,122,6140
6674,19,986
6387,93,4694
6387,100,5020
6387,101,5083
6572,228,11428
6336,153,7660
6336,157,7870
6336,157,7878
6620,16,839
6478,26,1335
6615,28,1432
6615,30,1544
6478,16,804
6507,128,6446
6507,128,6447
6354,75,3775
6382,183,9200
6382,190,9534
6695,29,1492
6341,105,5292
6647,156,7819
6751,10,518
6751,13,665
6376,46,2309
6690,165,8262
6525,10,513
6361,35,1792
6479,63,3184
6669,111,5569
6553,60,3010
6553,61,3074
6562,16,817
6482,104,5203
6482,105,5279
6552,82,4135
6552,82,4139
6423,80,4022
6649,44,2212
6649,44,2243
6698,27,1399
6564,121,6080
6630,23,1163
6630,29,1498
6749,181,9100
6475,65,3261
6712,20,1013
6712,21,1056
6565,15,756
6529,102,5112
6529,105,5251
6647,41,2100
6752,2,123
6583,10,520
6446,62,3124
6535,168,8438
6535,171,8563
6535,174,8745
6467,8,419
6423,19,988
6387,160,8019
6520,23,1173
6520,25,1273
6520,27,1392
6436,21,1094
6436,24,1226
6534,29,1471
6688,78,3929
6647,87,4382
6508,1,98
6353,29,1460
6563,61,3063
6563,118,5924
6672,63,3156
6672,63,3164
6342,4,224
6551,115,5775
6551,118,5950
6551,122,6129
6379,156,7840
6379,159,7991
6379,160,8039
6379,162,8138
6663,35,1774
6510,31,1567
6687,117,5855
6666,39,1966
6666,44,2222
6666,45,2272
6521,89,4497
6521,93,4667
6647,246,12328
6752,138,6916
6380,52,2643
6653,32,1621
6616,151,7599
6429,52,2613
6419,2,122
6380,88,4438
6380,92,4635
6380,96,4832
6565,166,8324
6572,85,4257
6614,28,1447
6614,31,1600
6614,93,4656
6525,0,24
6525,4,225
6525,7,365
6535,15,789
6535,17,897
6404,194,9748
6658,54,2738
6619,73,3697
6367,58,2933
6367,61,3051
6582,38,1914
6360,81,4059
6565,147,7361
6565,151,7573
6640,51,2578
6483,3,181
6483,9,485
6388,17,892
6527,2,137
6527,3,170
6429,15,761
6429,15,775
6412,16,819
6544,294,14750
