run_number,subrun_number,event_number
4982,94,4705
5226,40,2017
5454,29,1467
5454,105,5256
5169,127,6396
5513,90,4508
5121,2,123
5347,3,157
5519,16,813
5029,109,5452
5480,36,1817
5497,30,1520
5497,38,1912
5169,16,822
5540,3,166
5497,89,4493
5432,10,523
5332,45,2275
5217,85,4263
5147,4,235
5091,46,2312
5774,104,5215
5625,111,5551
5441,83,4177
5566,37,1881
5217,50,2525
5412,26,1330
5412,27,1398
5136,11,563
5092,65,3267
5489,25,1281
5360,13,685
4981,1,94
5078,39,1973
4957,52,2605
5588,148,7432
5071,45,2261
5019,67,3351
5226,5,290
5589,40,2043
5093,101,5065
5337,8,436
5382,13,654
5162,0,45
5061,98,4923
5162,37,1863
5151,62,3112
5383,9,496
5577,7,375
5577,16,837
5564,76,3827
5463,2,111
5463,3,168
5581,34,1735
5385,3,195
5144,17,886
5142,26,1328
5005,171,8573
4999,132,6648
5602,84,4227
5184,4,201
5077,30,1529
5782,84,4234
5564,65,3287
5099,8,439
5091,51,2573
5427,25,1276
5338,37,1870
4955,24,1210
5532,69,3453
5130,59,2996
4971,141,7055
5448,9,490
5586,11,554
5341,148,7404
5037,9,471
5046,50,2502
5533,1,69
5533,4,231
4992,43,2166
5411,81,4052
5419,45,2281
5582,41,2057
5616,210,10513
5576,37,1856
4997,11,567
4997,11,582
5474,11,574
5427,15,767
5031,35,1778
5519,151,7556
5382,115,5796
5412,19,991
5769,55,2796
5361,57,2872
5598,22,1124
5519,62,3143
5005,189,9462
5418,39,1973
5170,15,773
5092,53,2687
5418,87,4373
5153,62,3119
5527,103,5181
5364,147,7394
5412,94,4742
5365,18,950
5049,21,1075
4998,71,3562
4998,75,3789
5090,162,8140
5106,189,9456
4998,107,5377
4998,109,5487
5497,22,1121
5497,23,1178
5169,22,1142
5512,210,10532
5061,147,7388
5061,152,7626
5363,11,595
4977,48,2441
5375,26,1321
5598,34,1707
5458,88,4420
5527,12,617
5386,204,10242
5464,15,772
5121,30,1519
5235,22,1114
5364,22,1142
5084,9,496
5377,5,253
4983,26,1348
5411,7,357
5412,9,500
5127,135,6794
5092,41,2074
5092,42,2116
5454,53,2674
4979,52,2646
5191,78,3930
5164,16,823
5593,3,165
5527,69,3468
5087,28,1420
5056,28,1435
5084,101,5083
5778,12,604
5154,199,9997
5154,203,10200
5368,131,6553
5189,13,678
5332,74,3721
5462,84,4204
5005,138,6938
5077,16,826
5338,19,955
5024,32,1623
5609,36,1843
5609,39,1967
5487,43,2193
5555,13,684
5555,14,702
5588,217,10885
5136,0,23
5099,45,2256
5093,117,5899
5433,63,3194
5777,13,657
5130,0,34
5589,34,1714
5151,136,6826
5499,172,8601
5384,0,15
5772,11,572
5102,11,586
5038,62,3130
5397,107,5385
5031,89,4470
5060,31,1598
5391,22,1135
5235,52,2614
5585,49,2460
5046,65,3269
4975,78,3913
5179,15,766
5368,86,4319
5607,76,3802
5441,32,1602
5458,95,4763
5227,19,992
5042,41,2059
5773,0,11
5783,119,5994
5512,77,3854
5181,0,39
5512,161,8061
5464,29,1486
5071,68,3430
5071,70,3524
5516,64,3203
4955,106,5317
5187,107,5384
5157,92,4631
5384,171,8571
5384,172,8619
5519,53,2697
4983,14,716
5056,59,2986
5019,88,4443
5056,5,267
5606,55,2759
5547,82,4132
5375,17,882
5498,9,463
5153,37,1879
5102,58,2904
5187,195,9788
5630,10,513
5201,82,4146
4982,13,664
5611,37,1871
5435,7,364
5625,45,2300
5361,144,7224
5602,33,1674
5046,5,252
5578,79,3967
5454,74,3707
5462,19,994
5155,13,681
5151,24,1220
5102,4,204
5768,20,1016
5499,164,8213
5134,36,1846
5616,182,9119
5525,7,357
5127,70,3526
5157,51,2597
5044,75,3796
5044,76,3843
5044,97,4863
5454,211,10581
5454,218,10913
5390,50,2520
5541,4,250
5501,56,2828
5187,152,7617
5108,107,5390
5095,96,4841
4971,162,8135
5207,113,5668
5588,165,8252
5600,177,8869
5208,55,2793
5344,30,1512
5370,85,4286
5411,115,5770
5147,22,1131
4971,171,8591
5351,58,2950
5418,130,6545
5411,127,6379
5328,5,259
5382,204,10241
5394,33,1687
5425,51,2586
5497,119,5953
5384,47,2398
5197,16,831
5470,71,3558
4979,8,428
5561,112,5618
5433,146,7329
5783,1,84
5393,31,1566
5589,6,312
5351,64,3201
5506,31,1562
5506,36,1825
5411,97,4870
5204,56,2831
5411,178,8905
5371,49,2484
4953,2,104
5625,145,7284
5484,9,488
5229,50,2523
5084,38,1933
5581,62,3149
5588,213,10697
4955,61,3081
5412,157,7852
5526,15,787
5237,60,3030
4975,71,3565
5474,27,1370
5540,70,3530
5512,23,1180
5005,143,7167
5497,44,2245
5514,32,1618
5514,39,1973
5470,10,539
4986,52,2620
5211,11,557
5547,120,6035
5776,34,1718
5340,40,2015
5351,43,2184
5351,49,2470
5361,94,4702
5605,124,6220
5207,136,6818
5068,99,4987
5344,20,1022
5454,166,8302
4962,114,5743
5326,57,2885
5326,58,2919
5368,97,4897
5089,32,1611
5089,33,1666
5538,5,289
4952,33,1694
5361,148,7412
5588,200,10031
5508,63,3169
5444,8,422
5515,219,10952
5515,71,3578
5337,28,1403
5216,35,1753
5618,1,93
5602,91,4584
5602,102,5126
5075,17,863
5782,75,3783
5233,136,6821
4982,89,4470
5377,46,2350
5109,16,821
5519,88,4425
5485,32,1620
5371,30,1530
5044,47,2362
5044,51,2573
5518,32,1607
5604,93,4697
5532,117,5894
5169,94,4729
5361,217,10886
5099,63,3183
5029,16,843
5450,11,559
5060,10,515
5497,147,7374
5535,25,1279
5584,1,98
5370,71,3561
5093,169,8458
5093,61,3081
5607,19,976
5029,181,9095
5029,204,10225
5539,15,755
5459,177,8872
5092,87,4378
5565,20,1003
5013,32,1632
4975,95,4757
4975,12,622
5214,49,2472
5586,0,36
5573,104,5227
4952,8,426
5217,41,2066
5217,41,2081
5403,6,328
5191,44,2229
5412,80,4031
5418,110,5539
5557,51,2551
5061,41,2079
5437,40,2046
5470,76,3838
5567,23,1190
5187,70,3540
5195,15,764
5195,15,797
5195,19,973
5169,140,7032
5070,31,1596
5127,46,2331
5779,26,1313
5069,16,801
5182,59,3000
5332,165,8294
5480,27,1357
5514,11,565
5458,23,1196
4955,116,5825
6952,114,5741
6425,160,8001
5456,27,1386
7688,14,720
7285,37,1872
6783,194,9717
5110,78,3945
6827,185,9293
7648,39,1967
7648,45,2278
7126,22,1121
6083,42,2140
6960,59,2976
7001,1102,55131
5456,27,1386
5068,66,3346
7627,121,6100
7004,511,25570
5139,100,5035
5139,102,5128
7526,20,1038
6052,104,5236
6052,108,5407
7085,31,1564
6226,144,7226
6801,69,3459
6332,44,2231
6692,50,2537
7699,67,3392
5452,27,1364
