run_number,subrun_number,event_number
7010,1043,52162
7010,1043,52165
7010,1043,52166
7010,1043,52169
7010,1043,52170
7010,1043,52171
7010,1043,52173
7010,1043,52188
7010,1043,52189
7010,1043,52192
7010,1043,52194
7010,1043,52197
7010,1276,63808
7010,1276,63811
7010,1276,63812
7010,1276,63820
7010,1276,63823
7010,1276,63826
7010,1276,63827
7010,1276,63830
7010,1276,63831
7010,1276,63832
7010,1276,63833
7010,1276,63846
7010,1276,63849
7010,1276,63850
7010,908,45401
7010,908,45402
7010,908,45404
7010,908,45408
7010,908,45409
7010,908,45413
7010,908,45416
7010,908,45417
7010,908,45419
7010,908,45420
7010,908,45423
7010,908,45426
7010,908,45436
7010,908,45439
7010,908,45445
7010,908,45446
7010,1304,65205
7010,1304,65211
7010,1304,65212
7010,1304,65214
7010,1304,65215
7010,1304,65216
7010,1304,65217
7010,1304,65218
7010,1304,65221
7010,1304,65223
7010,1304,65228
7010,1304,65229
7010,1304,65230
7010,1304,65232
7010,1304,65233
7010,1304,65242
7010,1304,65244
7010,1304,65249
7010,1249,62451
7010,1249,62452
7010,1249,62456
7010,1249,62462
7010,1249,62467
7010,1249,62468
7010,1249,62472
7010,1249,62478
7010,1249,62479
7010,1249,62481
7010,1249,62483
7010,1249,62484
7010,1249,62490
7010,1249,62491
7010,1249,62492
7010,1249,62493
7010,1249,62497
7010,1249,62500
7010,893,44651
7010,893,44654
7010,893,44656
7010,893,44658
7010,893,44659
7010,893,44663
7010,893,44670
7010,893,44678
7010,893,44679
7010,893,44680
7010,893,44684
7010,893,44686
7010,893,44696
7010,893,44698
7010,893,44699
7010,737,36853
7010,737,36855
7010,737,36858
7010,737,36860
7010,737,36863
7010,737,36868
7010,737,36872
7010,737,36874
7010,737,36875
7010,737,36877
7010,737,36882
7010,737,36884
7010,737,36886
7010,737,36891
7010,737,36892
7010,737,36893
7010,737,36895
7010,737,36899
7010,560,28003
7010,560,28009
7010,560,28011
7010,560,28013
7010,560,28016
7010,560,28018
7010,560,28025
7010,560,28033
7010,560,28035
7010,560,28036
7010,560,28038
7010,560,28041
7010,560,28048
7010,634,31705
7010,634,31706
7010,634,31710
7010,634,31711
7010,634,31719
7010,634,31721
7010,634,31723
7010,634,31724
7010,634,31734
7010,634,31738
7010,634,31740
7010,634,31744
7010,634,31745
7010,634,31749
7010,1264,63201
7010,1264,63203
7010,1264,63204
7010,1264,63215
7010,1264,63218
7010,1264,63223
7010,1264,63224
7010,1264,63226
7010,1264,63228
7010,1264,63236
7010,1264,63237
7010,1264,63239
7010,1264,63241
7010,1264,63243
7010,600,30001
7010,600,30022
7010,600,30025
7010,600,30027
7010,600,30028
7010,600,30030
7010,600,30036
7010,600,30041
7010,600,30042
7010,600,30044
7010,600,30046
7010,600,30047
7010,1091,54554
7010,1091,54556
7010,1091,54557
7010,1091,54560
7010,1091,54561
7010,1091,54562
7010,1091,54567
7010,1091,54574
7010,1091,54576
7010,1091,54577
7010,1091,54579
7010,1091,54581
7010,1091,54582
7010,1091,54586
7010,1091,54593
7010,1091,54595
7010,1091,54596
7010,1091,54597
7010,1091,54598
7010,1717,85851
7010,1717,85853
7010,1717,85855
7010,1717,85859
7010,1717,85866
7010,1717,85867
7010,1717,85869
7010,1717,85875
7010,1717,85876
7010,1717,85894
7010,1717,85897
7010,1717,85898
7010,996,49801
7010,996,49802
7010,996,49804
7010,996,49808
7010,996,49809
7010,996,49818
7010,996,49819
7010,996,49823
7010,996,49825
7010,996,49828
7010,996,49829
7010,996,49831
7010,996,49835
7010,996,49838
7010,996,49839
7010,996,49840
7010,996,49844
7010,996,49846
7010,996,49848
7010,996,49850
7010,738,36902
7010,738,36904
7010,738,36905
7010,738,36913
7010,738,36916
7010,738,36918
7010,738,36920
7010,738,36921
7010,738,36922
7010,738,36924
7010,738,36926
7010,738,36927
7010,738,36930
7010,738,36933
7010,738,36934
7010,738,36935
7010,738,36938
7010,738,36942
7010,738,36944
7010,738,36947
7010,738,36950
7010,632,31605
7010,632,31606
7010,632,31607
7010,632,31608
7010,632,31609
7010,632,31611
7010,632,31612
7010,632,31613
7010,632,31615
7010,632,31616
7010,632,31618
7010,632,31620
7010,632,31625
7010,632,31628
7010,632,31631
7010,632,31636
7010,632,31639
7010,632,31642
7010,632,31648
7010,630,31503
7010,630,31510
7010,630,31517
7010,630,31522
7010,630,31526
7010,630,31528
7010,630,31530
7010,630,31532
7010,630,31533
7010,630,31539
7010,630,31540
7010,630,31542
7010,630,31543
7010,630,31545
7010,630,31549
7010,731,36553
7010,731,36556
7010,731,36560
7010,731,36561
7010,731,36562
7010,731,36564
7010,731,36565
7010,731,36572
7010,731,36575
7010,731,36579
7010,731,36580
7010,731,36586
7010,731,36592
7010,731,36593
7010,731,36597
7010,731,36598
7010,1147,57351
7010,1147,57361
7010,1147,57363
7010,1147,57366
7010,1147,57373
7010,1147,57375
7010,1147,57376
7010,1147,57383
7010,1147,57390
7010,1147,57393
7010,1147,57398
7010,1147,57400
7010,1401,70052
7010,1401,70053
7010,1401,70054
7010,1401,70057
7010,1401,70066
7010,1401,70067
7010,1401,70072
7010,1401,70073
7010,1401,70077
7010,1401,70084
7010,1401,70094
7010,1401,70096
7010,1401,70097
7010,875,43753
7010,875,43759
7010,875,43760
7010,875,43762
7010,875,43764
7010,875,43765
7010,875,43766
7010,875,43767
7010,875,43772
7010,875,43784
7010,875,43785
7010,875,43796
7010,991,49552
7010,991,49553
7010,991,49555
7010,991,49556
7010,991,49560
7010,991,49564
7010,991,49565
7010,991,49568
7010,991,49570
7010,991,49572
7010,991,49576
7010,991,49577
7010,991,49582
7010,991,49584
7010,991,49594
7010,991,49595
7010,991,49598
7010,991,49600
7010,1316,65801
7010,1316,65803
7010,1316,65817
7010,1316,65819
7010,1316,65820
7010,1316,65821
7010,1316,65824
7010,1316,65828
7010,1316,65829
7010,1316,65842
7010,1316,65843
7010,1316,65844
7010,1316,65848
7010,1316,65849
7010,1097,54852
7010,1097,54854
