run_number,subrun_number,event_number
14954,2,109
14954,94,4743
16387,37,1862
17149,52,2644
15780,103,5190
17122,154,7710
15149,67,3389
14766,58,2924
15367,117,5893
14399,110,5517
14399,161,8073
15447,21,1054
17501,9,499
15910,13,677
17118,28,1422
17484,172,8629
15345,161,8063
15348,260,13021
15722,175,8781
16222,153,7682
16952,67,3393
15348,195,9785
14956,113,5700
16935,206,10318
16752,63,3177
14603,148,7437
17517,173,8695
17371,65,3274
15933,230,11544
16038,145,7252
15366,60,3039
14913,53,2660
16199,126,6334
14607,262,13137
14410,143,7172
14390,97,4877
15954,97,4888
14743,48,2429
16038,99,4960
16499,220,11010
16420,30,1507
15102,40,2043
15102,88,4411
14874,233,11657
17312,179,8976
14619,8,435
15348,205,10297
15592,188,9413
15092,57,2883
15834,203,10158
15875,60,3019
14637,74,3737
14903,44,2221
14218,87,4396
14959,61,3071
14959,69,3452
16205,42,2120
14713,47,2395
14713,53,2654
16825,47,2376
15415,43,2159
17237,67,3386
16730,9,483
16730,52,2636
17307,52,2629
17307,79,3980
15136,15,762
16453,267,13364
15279,7,387
15967,70,3521
17271,16,846
16200,80,4046
14956,229,11471
17027,68,3413
14291,12,601
16583,127,6376
16583,164,8206
15145,5,258
15498,97,4856
14764,46,2346
16295,239,11960
17320,49,2469
15486,370,18522
14559,221,11062
16313,16,816
14641,98,4930
15123,0,31
15902,312,15639
15800,269,13478
14653,53,2661
14653,68,3429
14831,124,6215
14831,137,6881
14218,95,4791
14218,132,6607
15828,386,19312
15433,129,6484
14758,58,2946
14917,61,3054
16125,43,2196
16125,154,7720
16186,118,5939
17474,33,1694
14537,38,1922
14537,90,4541
17364,101,5092
17467,22,1138
14372,274,13724
14555,196,9828
14401,46,2323
14655,11,556
16411,228,11422
17260,13,657
17260,13,680
17260,53,2686
14914,280,14031
15073,86,4334
14912,245,12276
14227,114,5732
14239,40,2037
17144,40,2030
15894,160,8034
16446,138,6902
17206,252,12613
16801,55,2788
16894,172,8644
15251,139,6989
14890,116,5841
16946,22,1146
14944,65,3274
16468,105,5299
14890,53,2677
14828,55,2797
15426,75,3800
14985,45,2296
17482,5,279
15117,124,6222
15391,289,14472
16925,104,5215
16864,134,6714
14383,3,154
14383,25,1293
14383,25,1295
14546,69,3468
15466,170,8533
14729,177,8863
14367,86,4311
15092,80,4017
16459,59,2984
16232,135,6778
14760,45,2259
15484,335,16792
14965,102,5132
14884,165,8256
15801,192,9626
16749,30,1527
16749,67,3377
14231,0,48
14231,21,1065
15715,106,5342
17522,57,2868
14915,174,8714
14760,13,672
15975,133,6678
14760,53,2682
14401,38,1933
16821,124,6236
14464,201,10066
14139,239,11969
16453,94,4733
17388,10,507
17388,23,1162
17518,10,516
14971,59,2989
14971,103,5156
14956,56,2810
16141,44,2245
16731,78,3932
16731,276,13845
14569,29,1459
14342,130,6538
15949,119,5952
14117,18,928
14257,185,9295
17309,112,5614
14652,12,610
14245,51,2588
15450,50,2514
15450,230,11535
14549,33,1663
17111,209,10475
16874,66,3323
16736,51,2568
17313,228,11449
14806,4,208
14146,14,714
14140,36,1805
16266,242,12119
16387,91,4590
16387,155,7774
17352,312,15602
16040,67,3385
16978,476,23807
14642,73,3664
14878,156,7832
15528,174,8747
17332,32,1616
15828,69,3496
15689,18,917
15053,137,6895
14695,15,778
14196,61,3077
14270,223,11163
14609,203,10195
15330,18,912
14768,63,3178
14643,268,13431
17488,256,12849
16834,63,3193
14216,49,2496
16091,46,2304
16091,56,2847
14259,110,5515
14874,226,11344
16878,86,4340
16878,193,9665
16298,79,3986
14801,256,12836
15462,24,1226
16382,0,18
16382,11,565
16382,16,836
14719,3,184
14938,216,10809
16962,11,592
14610,300,15008
15689,114,5741
14873,305,15283
14942,44,2208
17467,101,5093
15292,41,2075
15457,199,9958
15799,272,13631
15783,316,15802
16312,68,3442
16125,30,1543
14277,174,8744
14277,197,9859
16666,104,5224
15875,35,1774
15859,87,4368
14149,9,453
14149,9,483
14149,134,6733
14877,187,9359
14315,4,231
14329,36,1839
14802,80,4010
16831,40,2037
14543,296,14847
14784,56,2807
15128,2,136
16963,113,5652
14393,25,1288
14795,27,1392
