run_number,subrun_number,event_number
15676,62,3125
14925,135,6763
15867,161,8059
15873,316,15803
15828,529,26485
14342,199,9992
15777,75,3773
15857,1,63
15782,11,573
15437,20,1006
17204,155,7784
15013,172,8611
15592,42,2136
15700,6,327
15700,8,419
15828,142,7140
15886,3,172
15892,32,1625
15892,32,1645
15521,1,66
15907,51,2592
18923,124,6238
15491,26,1338
15473,7,389
15900,25,1278
18948,167,8393
15859,145,7263
15785,245,12269
15762,267,13374
15762,295,14765
15590,62,3103
15783,195,9798
15895,22,1127
15715,45,2293
15872,75,3771
15923,56,2831
15923,439,21972
15657,13,698
15657,21,1085
15151,282,14139
15633,27,1390
15633,35,1757
15633,35,1800
15780,121,6057
15780,121,6100
15894,16,822
15921,17,872
18283,86,4346
15775,11,556
15766,32,1640
15466,90,4519
15466,178,8916
15466,182,9132
15910,71,3568
15794,23,1197
15466,29,1459
15466,82,4113
15466,215,10800
15465,60,3014
15677,26,1323
15677,318,15941
15846,62,3132
15921,63,3152
14715,18,937
15504,201,10088
15466,175,8778
15872,63,3151
15872,67,3370
15931,315,15790
15931,398,19903
16286,357,17894
15913,51,2582
15445,7,397
15443,59,2959
15442,190,9515
15708,60,3006
15457,9,452
15779,46,2350
15677,370,18539
15458,8,429
15780,89,4469
15828,375,18785
15859,276,13835
15859,326,16323
15632,16,822
15632,38,1950
15596,67,3356
15900,103,5197
15777,51,2564
15800,150,7549
15861,63,3189
15709,62,3128
15647,7,370
15783,12,619
15504,54,2711
15803,83,4173
15800,240,12038
15677,97,4876
15466,23,1183
15700,50,2503
15794,185,9266
15509,19,971
15828,475,23754
15828,483,24192
15589,3,178
15783,10,509
15872,1,92
15878,80,4031
15832,14,720
17237,181,9077
17237,524,26248
18233,328,16439
15900,44,2201
15489,104,5234
15808,25,1279
15808,88,4441
15466,252,12649
15702,34,1749
15921,156,7803
15592,31,1599
15910,132,6604
15904,20,1008
15904,43,2182
15504,113,5652
15913,20,1035
15439,17,888
15439,17,897
15465,11,563
15465,77,3874
15696,3,152
15702,30,1528
15923,5,280
15519,10,502
15689,92,4641
15689,158,7949
15794,41,2077
15923,363,18186
15783,182,9134
15632,2,137
15792,189,9453
15778,23,1189
15863,4,235
15504,208,10413
15689,118,5907
15910,178,8929
15151,266,13312
15828,312,15633
15918,28,1436
15751,4,248
15751,33,1658
15677,39,1961
15828,140,7012
15828,304,15203
15828,304,15249
15892,57,2890
15590,1,56
18021,612,30620
15923,425,21289
15777,9,476
15777,65,3277
15698,10,523
15766,28,1412
15766,28,1417
15766,43,2196
15871,51,2554
15871,66,3303
15871,66,3306
15876,33,1683
14715,25,1265
15466,33,1694
15800,233,11699
15456,38,1934
15466,140,7010
15840,22,1101
15709,29,1483
15890,46,2348
16141,207,10386
15715,40,2017
15903,19,964
15903,57,2868
15451,27,1400
15923,29,1477
15632,3,176
15829,32,1602
14745,153,7678
15832,37,1885
15832,128,6424
15491,328,16405
15907,94,4714
14897,156,7820
15590,350,17512
15923,84,4202
15592,117,5900
15900,39,1996
15466,272,13629
15900,38,1914
16340,165,8271
16340,165,8290
16340,286,14302
15808,4,214
16200,71,3563
15965,487,24383
18062,263,13200
18862,53,2687
16199,158,7908
16075,32,1612
16770,116,5804
14225,55,2767
15589,343,17200
16776,12,610
16536,28,1423
15433,33,1675
15799,246,12314
16889,262,13106
15264,19,991
16209,118,5942
16874,220,11048
15299,14,701
15299,14,743
15966,171,8591
16453,364,18209
16453,384,19233
16724,102,5108
18512,137,6864
18512,182,9117
15394,90,4507
14121,45,2295
18677,283,14177
16150,39,1997
16150,235,11770
15249,17,889
15415,182,9114
16048,3,156
16048,11,562
16048,12,645
16147,215,10752
18032,344,17242
18770,10,520
17818,24,1219
14123,83,4167
18634,19,955
18059,205,10252
16949,136,6828
16514,13,666
15989,504,25237
16571,26,1318
15774,331,16555
14154,73,3681
16228,41,2089
16831,22,1144
15425,197,9892
18463,210,10512
18463,468,23422
16802,223,11166
18032,572,28649
16551,272,13603
16551,272,13645
18677,253,12688
16853,10,516
15989,494,24719
18463,121,6059
18941,41,2097
18610,215,10795
18610,234,11708
15593,250,12548
18007,9,481
18007,9,498
15916,96,4804
15916,380,19024
15771,44,2243
15771,44,2249
16101,67,3364
17861,335,16769
18770,47,2355
15873,168,8445
18603,245,12256
15975,7,372
15975,98,4904
16964,167,8353
14174,160,8034
14174,175,8793
16889,32,1609
16889,32,1646
18265,7,397
15386,101,5072
15774,116,5844
18527,412,20631
17013,31,1582
16551,77,3897
16551,122,6149
18032,427,21395
18481,13,674
14148,180,9008
15242,86,4325
16557,28,1419
18954,401,20077
16448,11,573
16906,68,3429
18238,199,9960
15916,340,17020
15225,25,1265
18863,46,2308
18863,161,8088
15501,5,265
14154,7,363
18957,103,5151
18957,355,17758
15634,75,3800
16894,28,1448
16080,26,1322
16794,6,311
18219,34,1725
15949,232,11616
14157,100,5038
14186,9,477
14186,129,6466
16514,34,1728
16514,34,1742
18685,303,15184
15411,228,11441
16845,47,2383
16845,249,12463
15282,67,3385
16845,387,19390
14149,196,9806
16036,508,25443
14152,250,12541
15634,210,10530
18508,37,1871
16091,36,1815
18678,22,1121
16946,110,5543
16169,358,17939
16312,119,5965
18779,95,4787
15917,141,7071
18954,53,2682
18225,392,19622
18923,218,10908
15353,138,6921
18697,424,21213
17686,177,8884
15345,134,6735
16313,298,14946
14129,1,67
14129,32,1646
18238,48,2432
18238,293,14679
18238,315,15794
16542,53,2679
15402,46,2312
18782,59,2997
15877,80,4034
15251,15,760
15251,48,2428
15398,301,15086
16336,94,4742
16336,102,5121
18915,197,9859
15514,139,6974
16949,53,2679
16851,292,14621
15901,269,13500
18623,31,1553
18233,176,8819
18676,400,20034
15930,444,22218
15316,226,11334
15316,226,11341
18062,117,5858
18062,250,12527
17048,64,3224
15640,210,10507
