run_number,subrun_number,event_number
17195,25,1281
17195,185,9293
17229,11,573
14991,32,1607
14991,190,9544
14991,214,10742
15147,106,5304
17556,67,3358
17556,90,4517
14938,43,2200
14938,218,10933
17194,34,1717
17144,36,1812
17144,175,8770
17281,9,495
15099,155,7766
15222,43,2167
15222,43,2186
17164,115,5780
17164,120,6007
17164,132,6607
17267,53,2688
17132,362,18108
17520,6,315
17239,218,10903
17239,301,15053
17389,106,5339
17389,113,5684
15128,45,2292
17093,54,2745
17534,115,5767
17534,115,5779
15116,81,4062
15116,81,4064
15116,201,10097
17451,163,8191
17451,227,11365
15156,23,1158
15156,26,1314
17407,95,4758
15174,102,5132
17494,26,1337
17361,142,7114
17361,234,11701
17383,548,27416
17185,21,1085
15136,106,5306
15122,37,1857
17116,1,65
17116,1,98
17116,77,3862
17116,122,6125
17116,122,6137
17195,6,331
17336,40,2001
17336,43,2174
17415,223,11194
17415,288,14403
15140,207,10400
17126,19,967
17075,44,2205
17075,143,7190
17210,214,10713
17088,4,227
17088,11,592
17281,6,332
17281,44,2243
17168,10,543
17122,149,7460
15013,220,11017
17415,269,13481
15111,58,2924
15111,230,11538
17114,65,3283
17239,64,3211
17239,120,6009
17407,56,2837
17132,81,4095
17388,1,61
17388,8,438
17453,1,77
17077,129,6453
17077,129,6500
17128,71,3598
15160,135,6796
17162,31,1594
17162,128,6419
17183,4,214
17183,6,349
17183,25,1252
17360,22,1145
17343,10,511
15086,169,8479
15161,163,8172
15161,227,11377
17335,75,3792
17365,8,417
17365,8,444
17057,66,3302
15182,77,3868
17271,82,4121
17271,91,4555
17271,91,4571
17158,59,2992
17158,116,5839
17158,116,5845
17255,23,1185
17407,173,8654
17407,181,9053
14901,308,15410
17208,16,817
17208,73,3700
15103,77,3878
17070,99,4979
17219,97,4899
17219,113,5685
15097,108,5409
15097,108,5422
15097,200,10032
15167,103,5155
17328,50,2538
15125,45,2271
15125,90,4526
17181,104,5205
17218,33,1669
17380,29,1480
17497,171,8566
17152,80,4047
15106,29,1463
15106,29,1496
15106,177,8879
15147,104,5246
17335,40,2003
15160,146,7347
15160,228,11424
15160,310,15515
17269,60,3006
17150,4,216
17150,48,2434
17498,15,775
15161,44,2214
15161,44,2247
17492,33,1695
17492,69,3461
15103,184,9208
15103,184,9249
17164,40,2006
17240,255,12772
17240,308,15419
17162,62,3133
17162,78,3930
17162,87,4351
15111,195,9757
15111,272,13602
17308,35,1778
17308,159,7966
17324,76,3810
17383,156,7801
17383,156,7808
17177,49,2457
17371,42,2116
17371,65,3254
17160,4,221
17160,6,301
17160,6,331
17139,31,1556
17502,12,618
17155,45,2291
17397,50,2537
17397,60,3023
17397,60,3039
17360,34,1704
17447,14,741
17198,89,4491
17304,4,246
17352,69,3458
17352,247,12397
17139,281,14084
17139,284,14239
17404,4,225
17404,7,354
17404,7,360
17238,21,1057
17238,48,2441
17503,201,10095
14938,247,12381
17073,145,7271
17073,155,7759
17070,24,1238
17243,47,2352
17243,93,4691
17205,97,4859
17080,39,2000
17251,23,1194
17251,223,11186
17089,36,1834
17089,68,3432
15099,98,4920
15099,181,9089
15152,9,499
17232,9,462
17232,9,476
15086,7,400
15086,48,2417
17457,128,6416
17144,161,8058
17508,49,2460
17267,66,3342
15014,230,11526
17132,221,11086
17132,427,21359
15052,39,1996
17413,196,9807
17267,8,421
17070,55,2751
17371,488,24432
17271,40,2012
17271,40,2036
15045,2,144
17524,50,2534
14901,80,4045
14901,161,8067
17529,2,147
17529,11,572
17491,32,1614
17491,41,2072
15222,29,1493
15222,93,4666
17224,27,1357
15111,106,5317
17451,128,6404
15113,27,1386
15113,28,1401
17413,183,9186
17057,86,4346
17057,118,5940
15153,164,8250
15122,52,2614
17270,8,407
17270,8,421
17270,48,2406
17270,49,2480
17390,25,1296
17394,48,2414
14921,17,884
14921,76,3831
17353,10,524
17390,57,2879
17415,231,11575
17199,86,4309
15079,10,520
15079,45,2274
17414,134,6733
17360,16,812
17360,16,848
17360,87,4371
17545,20,1045
17300,28,1425
17300,38,1913
17531,13,697
17398,130,6545
17309,159,7960
17309,159,7979
17484,265,13270
17162,96,4805
17400,112,5605
17474,17,900
17309,131,6590
14824,261,13084
17270,45,2265
17073,25,1257
17256,160,8046
17304,14,729
17304,14,744
17361,197,9897
15053,124,6218
15106,96,4835
17408,42,2110
15086,100,5030
15073,26,1331
15073,26,1334
17249,344,17244
17458,30,1520
17458,128,6417
17155,113,5692
17502,7,355
17502,17,888
17502,34,1728
17502,75,3775
15099,161,8063
17140,45,2264
17535,38,1902
17535,61,3091
17088,17,867
17088,17,882
17088,20,1047
17088,34,1743
17073,164,8205
17168,105,5291
17250,33,1658
17301,0,15
17301,7,364
15074,35,1775
15116,56,2821
15116,219,10956
15116,220,11039
17075,158,7917
15101,46,2314
15013,143,7168
17324,35,1753
17324,47,2383
17125,41,2061
17521,56,2834
17521,81,4072
17265,46,2339
17139,217,10891
17494,90,4521
17530,85,4288
17530,95,4789
15130,96,4848
17523,17,893
15174,104,5243
15167,3,164
15115,76,3805
17155,143,7194
17256,55,2789
14801,18,942
17452,148,7415
17249,145,7254
15130,20,1035
15130,46,2319
15128,197,9882
15120,3,161
17352,104,5221
17352,104,5236
17219,87,4361
17561,115,5769
17561,174,8746
17389,61,3070
17102,34,1737
17210,193,9683
14901,278,13910
17517,70,3544
17517,173,8679
17171,89,4467
17102,0,20
14877,98,4933
17078,91,4586
17078,97,4884
17407,77,3862
15077,0,26
15077,0,50
17093,141,7066
17131,122,6106
17131,122,6118
15102,64,3207
17407,155,7764
15117,43,2161
15117,43,2169
17474,70,3547
17383,439,21998
17511,16,843
17240,38,1906
17494,247,12378
14802,43,2156
17452,101,5082
17452,106,5327
17260,24,1212
17260,57,2862
17541,48,2407
17335,106,5303
15122,35,1772
17239,50,2528
17239,50,2534
17328,8,404
17139,230,11516
17120,87,4370
17203,0,26
17203,2,149
15145,46,2329
15145,46,2335
15145,107,5354
17494,143,7197
17257,24,1225
17257,24,1244
17185,22,1129
15079,33,1662
15079,33,1683
15074,45,2279
15074,136,6831
17309,56,2837
17316,107,5393
17073,53,2654
17208,55,2790
17240,184,9239
17484,1,58
17484,146,7309
17484,181,9083
17352,33,1672
17352,77,3883
17137,55,2773
15074,144,7236
15153,2,103
17489,220,11015
17111,55,2794
17111,188,9433
14901,6,342
17482,191,9599
14877,208,10418
14877,208,10444
17132,529,26479
17237,337,16865
17100,59,2993
17199,139,6963
15014,86,4321
17391,22,1116
17391,40,2042
17391,40,2046
15152,26,1337
15152,31,1574
17371,298,14923
17139,205,10255
17139,239,11960
17339,297,14851
17339,297,14893
17122,37,1875
17099,49,2459
17206,369,18483
17106,25,1294
17249,189,9470
17249,244,12233
17249,269,13457
17226,157,7863
17231,12,628
17231,41,2092
15222,69,3463
17205,10,532
17205,93,4684
17235,33,1668
17235,64,3227
17361,19,991
17361,323,16181
17083,8,443
17126,50,2547
17126,145,7285
15167,168,8409
15115,160,8010
17097,6,343
17453,11,583
14971,78,3928
14971,109,5476
14882,89,4473
17307,26,1301
17358,53,2696
17488,174,8720
15145,184,9217
15145,286,14311
15145,292,14625
17524,149,7471
17337,21,1089
17337,38,1925
17413,171,8567
17413,318,15926
17557,60,3022
17557,136,6834
17256,30,1505
17256,90,4519
17152,36,1816
17152,91,4556
17364,37,1896
17448,34,1715
17448,178,8948
17158,62,3120
17308,33,1659
17308,72,3634
15115,57,2880
17100,179,8958
17100,179,8996
17466,5,267
17383,483,24165
17440,90,4536
17517,143,7196
17158,22,1139
17158,24,1236
15222,68,3429
15222,112,5608
15222,84,4231
15222,191,9587
15125,178,8944
15135,27,1386
17217,122,6143
17280,57,2887
17280,60,3022
17352,119,5975
17352,193,9664
17352,193,9698
17125,19,959
15122,65,3286
17240,406,20327
17165,96,4812
17237,139,6985
17139,298,14930
17070,70,3544
17070,97,4885
17070,173,8686
15154,290,14502
15170,48,2439
15170,74,3717
15170,74,3743
17073,36,1841
17361,13,695
17169,133,6667
17240,497,24861
17185,103,5193
17084,2,115
17084,7,390
17084,19,988
17084,24,1238
15116,103,5188
15116,103,5191
17497,200,10029
15128,1,55
17257,75,3780
17530,1,69
17332,30,1505
15106,57,2894
14991,9,499
14991,100,5038
17083,73,3664
17070,15,794
17070,233,11667
17070,248,12442
15151,115,5757
15151,225,11280
15151,225,11289
17333,25,1288
17239,44,2224
15160,393,19682
17114,155,7790
17203,87,4388
17365,112,5606
17341,61,3062
17174,19,993
17174,26,1331
17174,38,1916
17339,87,4393
17303,79,3988
17134,39,1959
17383,162,8143
17555,5,271
17268,7,361
17206,404,20219
17208,189,9474
17186,64,3237
17383,11,551
15057,48,2402
15057,126,6309
17467,74,3705
17467,77,3888
17356,103,5155
17356,103,5162
17356,157,7882
17358,7,371
15166,103,5177
14991,12,611
15166,289,14488
15166,310,15537
15114,137,6898
17282,42,2120
17282,74,3703
17336,32,1627
15160,214,10704
15151,2,123
17119,11,571
17119,78,3930
17413,208,10403
17103,3,161
17301,66,3327
17140,124,6209
17119,29,1491
15161,97,4864
15125,20,1013
17218,6,344
17218,40,2029
17556,140,7021
17100,214,10736
15047,3,151
15047,4,219
17249,64,3205
15182,62,3144
15182,90,4536
15061,254,12701
17267,82,4130
17237,366,18331
15014,234,11711
15160,144,7233
17251,36,1846
17080,78,3930
17114,33,1686
17114,103,5155
17560,77,3875
17240,355,17790
17338,3,193
17338,89,4463
17349,54,2722
17210,21,1080
15166,166,8319
17550,0,20
17550,2,147
17364,153,7691
17095,17,899
17095,85,4288
15140,152,7611
14810,7,355
14810,9,485
14810,22,1141
17482,67,3359
17482,187,9391
17361,230,11501
17257,14,729
17238,28,1439
14882,30,1533
14882,50,2507
14882,158,7939
17070,270,13529
17543,8,414
15145,91,4563
15145,91,4574
15145,158,7913
17116,126,6322
17116,126,6341
17193,23,1172
17073,117,5857
15117,147,7393
17235,75,3752
17497,41,2074
17308,153,7690
17239,186,9327
17239,267,13389
17488,44,2247
17250,29,1453
17193,27,1359
17193,35,1760
17193,47,2373
17503,246,12340
17426,11,555
17235,4,228
17235,47,2368
17451,282,14108
17157,7,359
17157,25,1263
17341,99,4980
17237,96,4819
17237,96,4846
17524,55,2782
17540,10,507
17540,32,1626
14802,17,858
14802,194,9702
14802,194,9747
17205,218,10905
15136,144,7221
14901,252,12628
17358,10,527
17358,55,2797
17178,8,414
17178,30,1503
17178,41,2088
17204,197,9866
17143,6,308
14831,10,518
14831,177,8890
15172,31,1580
14831,78,3913
15129,41,2079
15154,255,12789
17358,9,488
17199,92,4622
17418,29,1494
17418,40,2044
17448,189,9484
17352,60,3041
17506,12,635
15121,2,110
15121,4,221
15117,74,3726
15117,86,4329
17239,277,13894
17080,42,2110
17080,42,2122
17093,68,3402
17237,306,15349
17383,310,15545
17383,511,25595
17250,116,5848
17302,113,5683
17079,5,296
17475,130,6542
17484,40,2021
17112,49,2482
17112,100,5001
17112,100,5031
15222,30,1543
17502,51,2585
17502,64,3244
17475,0,17
17210,69,3481
17266,5,294
17132,110,5512
17237,408,20437
17534,139,6998
17447,40,2001
17447,40,2009
17543,17,890
14802,269,13454
14802,269,13496
17312,103,5153
17312,181,9071
17312,181,9099
17544,12,608
17544,19,979
17132,54,2716
17162,169,8485
17383,477,23876
17228,45,2267
17228,86,4322
17228,91,4576
17370,4,204
17240,16,806
14877,82,4108
17313,68,3431
15138,48,2409
15138,64,3216
17453,28,1401
17070,186,9310
14912,186,9314
17169,51,2594
17169,303,15194
17389,3,180
17458,44,2225
17386,1,82
17199,25,1263
17364,73,3693
17355,63,3197
14802,166,8313
15149,32,1608
15149,35,1778
17270,39,1996
14831,75,3799
14831,132,6621
17077,157,7889
17111,208,10428
17482,8,413
17240,386,19315
15166,7,361
17118,36,1847
17307,34,1745
17307,109,5465
15133,49,2473
17349,9,493
17349,41,2096
15017,62,3149
17140,72,3612
17325,0,39
15179,105,5265
15179,156,7835
17265,43,2191
17369,15,774
15116,168,8404
17328,45,2290
17162,51,2554
17162,56,2823
17162,56,2835
17181,9,483
17181,19,981
17181,69,3490
17206,134,6729
17174,21,1089
15149,77,3891
15133,22,1138
17196,11,564
17267,56,2838
15136,19,982
15136,96,4846
17415,286,14313
17415,286,14315
15128,182,9123
15128,182,9144
17559,16,801
15097,217,10869
17267,98,4933
15122,189,9469
17108,38,1943
15013,281,14096
14986,186,9326
17067,5,295
17067,48,2436
17101,30,1547
17101,70,3542
17267,103,5197
15116,82,4119
17451,202,10131
17373,18,909
17371,416,20822
17489,160,8010
17489,221,11059
17087,123,6153
17524,305,15265
17407,118,5945
17164,99,4977
17406,12,601
17406,116,5815
17313,143,7158
17208,237,11887
17208,238,11933
