run_number,subrun_number,event_number
17352,235,11763
17557,37,1894
17535,3,199
17535,6,323
17535,98,4946
17530,115,5770
17578,6,306
17556,82,4105
17517,122,6117
17584,4,207
17620,115,5754
17637,89,4499
17389,114,5708
17666,26,1334
17406,92,4641
17524,308,15406
17579,6,320
17413,1,84
17413,232,11638
17469,54,2712
17406,38,1939
17372,71,3553
17552,170,8527
17407,157,7871
17389,74,3712
17439,15,753
17577,78,3932
17356,52,2607
17544,4,221
17652,74,3730
17552,119,5954
17561,41,2081
17414,179,8978
17666,205,10280
17451,51,2553
17383,193,9666
17666,204,10233
17397,42,2135
17367,137,6875
17607,82,4122
17631,117,5869
17506,3,168
17531,6,329
17667,99,4972
17409,56,2837
17567,44,2229
17371,552,27625
17667,15,780
17451,95,4759
17451,180,9001
17407,168,8413
17579,30,1538
17365,49,2457
17646,105,5266
17646,105,5285
17364,135,6765
17440,141,7065
17484,118,5911
17641,12,616
17502,58,2916
17524,68,3430
17407,64,3238
17652,43,2171
17524,15,799
17664,68,3439
17664,72,3644
17534,82,4128
17514,13,681
17371,392,19626
17373,109,5487
17373,183,9152
17524,185,9280
17655,177,8893
17635,351,17570
17655,137,6866
17520,24,1201
17552,153,7698
17667,14,740
17472,8,410
17487,37,1851
17633,34,1719
17441,10,524
17482,184,9231
17448,29,1457
17633,19,967
17633,19,975
17633,31,1597
17484,255,12772
17498,26,1340
17498,36,1832
17414,172,8609
17414,172,8628
17498,17,861
17449,55,2774
17460,17,860
17495,17,854
17448,85,4284
17493,238,11933
17652,38,1933
17569,27,1380
17459,134,6746
17614,111,5567
17614,201,10087
17641,39,1966
17371,232,11634
17666,202,10135
17494,124,6239
17478,101,5057
17525,2,105
17550,47,2396
17514,7,354
17600,41,2100
17661,37,1860
17361,6,305
17361,37,1878
17641,66,3350
17471,32,1649
17603,5,284
17406,70,3523
17361,200,10026
17467,89,4455
17618,42,2101
17414,147,7379
17621,65,3275
17486,2,106
17661,88,4436
17575,52,2626
17662,25,1272
17372,105,5293
17371,162,8122
17423,0,17
17514,104,5224
17401,70,3518
17556,14,740
17503,68,3406
17383,421,21093
17635,218,10910
17655,253,12672
17373,128,6414
17383,496,24804
17533,38,1942
17497,30,1522
17664,88,4448
17408,25,1259
17484,266,13315
17560,95,4783
17494,83,4168
17620,154,7712
17521,57,2886
17514,24,1250
17585,2,133
17607,48,2401
17631,46,2308
17667,181,9089
17435,60,3045
17653,39,1982
17424,17,865
17557,119,5951
17631,42,2106
17631,77,3881
17440,61,3089
17458,169,8476
17397,111,5594
17652,32,1621
17503,59,2985
17535,7,398
17413,80,4004
17594,11,581
17389,29,1468
17667,248,12435
17661,64,3208
17655,304,15235
17508,4,243
17494,168,8431
17637,117,5884
17648,37,1857
17371,182,9139
17469,43,2176
17352,340,17001
17566,122,6143
17361,98,4950
17648,44,2222
17601,15,760
17635,312,15622
17521,33,1690
17462,17,893
17462,19,975
17407,36,1833
17559,71,3570
17568,41,2053
17413,240,12014
17413,284,14244
17482,206,10331
17651,31,1585
17585,52,2647
17491,5,259
17545,39,1975
17631,107,5353
17630,69,3465
17494,39,1955
17439,8,448
17648,1,66
17652,33,1674
17457,118,5902
17540,27,1363
17352,50,2512
17655,353,17688
17361,302,15122
17493,223,11154
17566,152,7622
17440,23,1188
17561,183,9160
17566,93,4665
17612,53,2680
17470,150,7529
17361,31,1557
17401,35,1790
17373,206,10333
17550,48,2414
17389,14,711
17476,14,715
17463,2,107
17566,164,8238
17636,42,2113
17358,24,1202
17594,10,539
17361,69,3482
17655,294,14702
17655,208,10404
17671,86,4328
17511,59,2964
17653,45,2292
17564,38,1942
17667,21,1095
17371,102,5127
17631,97,4860
17466,37,1855
17612,2,147
17600,18,916
17630,126,6337
17493,237,11865
17646,91,4565
17667,144,7212
17662,74,3709
17426,28,1404
17671,41,2079
17434,12,612
17352,248,12448
17493,202,10139
17358,44,2227
17521,64,3202
17641,2,120
17641,17,888
17641,17,889
17614,178,8929
17440,120,6011
17493,112,5626
17648,32,1631
17634,11,590
17598,53,2691
17592,88,4405
17457,87,4363
17409,78,3942
17443,9,485
17644,2,116
17637,5,266
17635,28,1430
17635,347,17398
17524,249,12482
17630,71,3573
17367,40,2046
17564,27,1379
17440,122,6118
17440,172,8613
17571,2,137
17571,4,249
17524,186,9305
17509,76,3847
17620,140,7038
17620,188,9439
17544,9,497
17497,41,2074
17459,213,10686
17494,64,3205
17594,131,6597
17530,159,8000
17600,53,2668
17600,82,4114
17568,0,48
17620,33,1700
17655,15,752
17630,81,4067
17389,32,1634
17620,88,4442
17361,273,13678
17361,273,13692
17482,204,10201
17621,82,4142
17671,53,2685
17568,18,902
17360,14,740
17495,200,10021
17495,200,10045
17635,299,14982
17626,6,345
17655,209,10466
17655,254,12706
17611,7,382
17635,131,6582
17635,131,6588
17398,211,10553
17585,53,2699
17545,21,1069
17460,35,1786
17352,143,7158
17440,12,604
17620,101,5070
17621,19,1000
17579,16,822
17603,31,1590
17524,238,11950
17534,69,3458
17352,329,16481
17609,40,2015
17609,46,2333
17493,185,9266
17371,245,12297
17569,10,545
17653,33,1686
17666,191,9592
17517,219,10959
17519,4,211
17641,31,1598
17495,85,4297
17492,27,1396
17621,17,871
17372,61,3052
17550,55,2764
17653,86,4330
17361,34,1749
17631,23,1162
17426,10,550
17415,235,11754
17641,73,3669
17428,13,684
17552,134,6720
17666,213,10681
17522,127,6371
17493,294,14733
17600,88,4410
17600,49,2473
17534,143,7160
17524,144,7213
17424,2,105
17424,2,143
17389,41,2069
17563,62,3144
17469,61,3092
17648,59,2994
17518,35,1772
17645,34,1749
17534,33,1662
17397,23,1170
17415,166,8308
17557,24,1232
17655,96,4832
17611,71,3556
17566,51,2578
17401,12,602
17614,179,8954
17609,7,379
17454,15,751
17667,42,2116
17497,79,3997
17497,250,12549
17413,356,17841
17655,12,632
17383,183,9178
17407,179,8991
17655,377,18897
17592,199,9996
17664,102,5116
17590,4,249
17357,16,837
17655,60,3047
17573,92,4615
17573,108,5426
17573,108,5429
17431,2,130
17408,31,1585
17662,130,6517
17370,7,354
17451,279,13965
17451,264,13238
17533,59,2999
17594,94,4746
17383,489,24492
17662,93,4700
17607,40,2045
17559,25,1274
17550,63,3154
17364,34,1744
17495,30,1503
17501,3,170
17503,150,7503
17469,15,767
17484,19,985
17559,59,2993
17415,37,1875
17415,68,3429
17484,213,10674
17407,94,4709
17552,105,5275
17646,101,5087
17475,55,2755
17457,134,6702
17611,30,1549
17511,22,1114
17541,47,2373
17611,3,156
17620,80,4044
17471,96,4843
17594,116,5819
17475,184,9208
17475,193,9666
17671,25,1285
17352,281,14051
17494,82,4109
17493,78,3906
17572,12,631
17602,7,351
17591,17,890
17667,177,8862
17475,132,6624
17514,106,5320
17667,268,13402
17661,18,931
17597,20,1018
17497,33,1676
17497,33,1692
17561,212,10608
17498,1,99
17449,16,848
17482,47,2400
17470,167,8364
17635,0,9
17367,148,7424
17367,152,7628
17637,113,5695
17360,106,5340
17583,0,14
17414,21,1069
17414,21,1079
17410,7,352
17635,297,14860
17631,101,5075
17524,189,9468
17524,227,11396
17549,5,285
17530,146,7334
17361,293,14669
17361,184,9247
17355,107,5387
17641,103,5161
17658,13,658
17658,21,1084
17352,73,3661
17494,26,1313
17662,96,4807
17371,29,1481
17364,28,1448
17592,77,3861
17621,24,1209
17459,67,3389
17440,32,1621
17575,33,1660
17491,39,1966
17470,166,8332
17635,247,12382
17524,163,8195
17489,226,11347
17453,12,630
17630,87,4358
17637,2,114
17666,238,11932
17358,47,2392
17448,117,5899
17448,35,1796
17383,419,20999
17633,10,505
17633,10,526
17503,241,12082
17597,10,532
17407,88,4442
17487,41,2079
17478,103,5182
17371,97,4874
17489,203,10154
17655,37,1856
17383,484,24212
17503,197,9866
17460,2,112
17460,50,2544
17413,310,15505
17371,46,2348
17371,511,25576
17560,37,1867
17560,114,5734
17478,122,6121
17667,128,6409
17526,24,1238
17611,69,3465
17371,23,1157
17488,30,1537
17406,2,116
17530,85,4254
17414,112,5640
17495,164,8211
17601,18,920
17635,241,12066
17635,241,12082
17523,18,925
17488,174,8720
17621,49,2465
17478,56,2815
17631,94,4726
17474,51,2581
17561,156,7844
17383,240,12029
17413,280,14045
17407,152,7607
17658,16,821
17535,42,2150
17492,76,3820
17449,5,272
17471,81,4055
17383,292,14640
17556,10,545
17356,213,10685
17482,190,9533
17352,96,4805
17352,312,15605
17478,71,3600
17534,30,1531
17517,232,11650
17534,7,371
17560,137,6858
17366,44,2232
17366,54,2738
17361,196,9808
17361,263,13171
17386,2,144
17415,193,9696
17415,220,11048
17494,50,2532
17494,150,7525
17596,59,2969
17592,92,4605
17592,150,7519
17666,59,2996
17475,113,5662
17352,187,9372
17478,164,8233
17552,4,246
17658,45,2288
17493,300,15012
17493,300,15015
17383,79,3975
17540,16,849
17666,215,10772
17505,144,7240
17457,170,8508
17611,94,4720
17606,17,866
17606,17,892
17592,169,8467
