run_number,subrun_number,event_number
14314,1,85
14314,3,154
14314,3,177
14314,3,192
14314,6,325
14314,6,326
14314,6,334
14314,7,375
14314,7,379
14314,7,392
14314,7,395
14314,8,430
14314,8,442
14314,8,446
14314,9,461
14314,15,751
14314,15,779
15396,87,4351
15396,87,4380
15396,119,5954
15396,119,5964
15396,119,5972
15396,119,5978
15396,166,8302
15396,166,8328
14758,222,11102
14758,222,11118
14758,222,11125
14758,222,11146
14758,222,11148
14758,226,11302
14758,226,11319
14758,226,11323
14758,226,11325
14758,226,11327
14758,226,11338
15933,37,1858
15933,37,1892
15933,87,4364
15933,87,4392
15933,87,4396
15933,128,6412
15933,128,6431
15933,188,9409
15933,188,9414
15933,188,9436
15933,255,12779
15933,340,17005
15933,340,17006
15931,83,4151
15931,83,4154
15931,83,4179
15931,83,4182
15931,83,4185
15931,83,4190
15931,137,6861
15931,137,6880
15931,137,6881
15931,137,6898
15931,347,17363
15931,347,17379
15931,347,17391
15931,347,17394
15931,365,18264
15931,365,18272
15931,365,18284
15931,453,22673
15960,162,8111
15960,162,8125
15960,195,9758
15960,195,9763
15960,195,9766
15960,195,9775
15960,195,9776
15960,195,9784
15960,308,15404
15960,308,15415
15960,308,15417
15960,308,15443
15960,308,15444
15960,308,15447
15960,477,23860
15960,477,23870
15960,477,23874
15960,477,23889
14610,67,3356
14610,67,3365
14610,67,3381
14610,67,3397
14610,105,5267
14610,105,5280
14610,105,5299
14610,126,6307
14610,126,6315
14610,126,6331
16006,180,9023
16006,180,9031
16006,180,9032
16006,248,12403
16006,276,13825
16006,276,13845
16006,276,13848
14186,230,11501
14186,230,11521
14186,230,11550
14186,238,11911
14186,238,11924
14186,238,11925
14186,242,12111
14186,242,12115
14186,242,12122
14186,242,12126
14186,242,12128
14186,242,12136
14186,242,12143
14186,242,12145
14186,242,12148
14558,103,5152
14558,103,5177
14558,103,5182
14558,176,8828
14558,176,8847
14558,239,11954
14558,239,11958
14558,239,11988
14558,245,12281
14223,61,3055
14223,61,3056
14223,61,3069
14223,61,3087
14223,61,3094
14223,61,3099
14223,122,6103
14223,122,6114
14223,122,6130
14223,122,6137
14223,122,6146
14223,261,13063
14223,261,13080
14223,261,13086
14223,261,13087
14223,261,13089
14223,261,13092
14223,269,13459
14223,269,13476
14223,269,13478
14223,269,13499
15952,37,1859
15952,37,1883
15952,37,1889
15952,37,1897
15952,73,3654
15952,73,3657
15952,73,3665
15952,73,3667
15952,73,3680
15952,105,5262
15952,124,6209
15952,124,6243
15952,165,8257
15952,165,8271
15952,165,8296
15952,174,8748
15952,215,10776
15952,215,10796
14274,84,4208
14274,84,4213
14274,84,4223
14274,84,4230
14274,178,8931
15987,21,1066
15987,21,1084
15987,21,1089
15987,251,12553
15987,251,12590
15987,251,12595
15987,292,14613
15987,292,14614
15987,292,14629
15987,292,14650
16094,65,3253
16094,65,3262
16094,65,3266
16094,65,3287
16094,181,9062
16094,181,9087
16094,257,12889
16094,257,12890
16094,419,20954
16094,419,20984
16094,419,21000
14541,45,2252
14541,45,2257
14541,45,2258
14541,45,2286
14541,45,2297
14541,80,4009
14541,80,4011
14541,80,4038
14541,80,4049
14541,80,4050
14541,105,5278
14541,105,5288
14541,105,5294
14541,105,5297
14541,155,7755
14541,155,7785
14541,155,7788
14541,161,8064
14541,161,8098
14541,178,8926
14541,178,8935
14541,178,8949
14418,289,14457
14399,20,1006
14399,20,1007
14399,20,1011
14399,20,1034
14399,20,1035
14399,20,1037
14399,20,1050
14399,174,8718
14399,174,8719
14643,39,1954
14643,39,1995
14643,39,1996
14643,98,4902
14643,98,4903
14643,98,4914
14643,98,4928
14643,98,4943
14643,98,4944
14643,157,7876
14643,194,9716
14643,194,9724
14643,194,9739
14643,194,9740
14643,194,9746
14643,196,9817
14643,196,9821
14643,235,11755
14643,235,11759
14643,235,11765
14643,235,11770
14643,259,12967
14643,259,12971
14643,259,12986
14643,259,12999
15428,38,1936
15428,38,1945
15428,71,3565
15428,71,3588
15428,71,3591
15428,80,4003
15428,80,4006
15428,80,4013
15428,80,4014
15428,80,4015
15428,80,4023
15428,80,4031
15428,105,5285
15428,105,5300
15428,164,8202
15428,164,8209
15428,164,8226
15428,185,9262
15428,185,9268
15428,225,11257
15311,15,752
15311,15,756
15311,15,758
15311,15,762
15311,15,764
15311,15,795
15311,20,1007
15311,20,1015
15311,22,1134
15311,31,1577
15311,31,1592
15311,37,1854
15311,37,1857
15311,37,1860
15311,37,1884
15311,37,1889
15311,37,1896
15311,37,1897
15311,58,2911
15311,58,2914
15311,58,2924
15311,79,3952
15311,79,3985
14548,98,4938
14548,98,4947
14548,121,6066
14548,121,6090
14548,121,6098
14548,183,9153
14548,183,9155
14548,183,9168
14548,183,9189
14631,7,375
14631,7,378
14631,7,382
14631,7,395
14631,22,1104
14631,22,1108
14631,22,1111
14631,22,1119
14631,22,1127
14631,22,1134
14631,22,1136
14631,91,4553
14631,91,4566
14631,91,4572
14631,91,4597
14631,91,4598
14631,222,11105
14631,222,11112
14631,222,11119
14631,222,11142
14631,222,11145
14175,0,15
14175,0,20
14175,0,47
14175,24,1219
14175,24,1228
14175,24,1240
14175,25,1258
14175,25,1260
14175,25,1261
14175,25,1274
14175,25,1296
14175,37,1891
14175,54,2722
14175,54,2724
14175,54,2725
14175,57,2894
14175,57,2898
14175,69,3453
14175,69,3475
14175,69,3495
14325,5,266
14325,5,274
14325,5,288
14325,8,406
14325,40,2032
14325,44,2218
14325,44,2221
14325,44,2224
14325,44,2241
14325,47,2354
14325,47,2364
14325,47,2369
14325,47,2373
14325,47,2380
14325,47,2396
14325,56,2811
14325,56,2813
14325,56,2815
14325,56,2836
14325,56,2850
15328,40,2008
15328,40,2011
15328,40,2042
15328,161,8067
15328,161,8071
15328,161,8081
15328,161,8088
15328,212,10606
15328,212,10614
15328,212,10620
15328,212,10621
15328,212,10622
15328,212,10640
15328,212,10643
15328,212,10645
15328,212,10648
15328,223,11156
15328,223,11160
15328,223,11168
15295,25,1274
15295,25,1279
15295,25,1286
15295,25,1292
15295,25,1294
15295,30,1523
15295,30,1526
15295,30,1529
15295,34,1705
15295,34,1727
15295,34,1744
15295,38,1902
15295,38,1903
15295,38,1925
15295,41,2060
15295,41,2077
15295,41,2083
15295,43,2185
15295,43,2186
15295,43,2197
15295,94,4728
15295,94,4737
15295,94,4739
15295,94,4741
15295,94,4745
15267,14,707
15267,14,709
15267,14,714
15267,14,723
15267,14,728
15267,14,745
15267,43,2157
15267,43,2179
15267,43,2183
15267,43,2192
15267,135,6752
15267,135,6753
14428,174,8703
14428,174,8705
14428,174,8715
14428,174,8718
14428,174,8722
14428,174,8723
14428,174,8739
14428,235,11755
14428,235,11798
14428,267,13364
14428,267,13367
14428,267,13377
14428,267,13378
14428,267,13393
14211,29,1456
14211,29,1474
14211,29,1482
14211,32,1605
14211,32,1632
14211,96,4805
14211,96,4811
14211,96,4820
14211,96,4826
14211,96,4843
14211,98,4902
14211,98,4906
14211,98,4931
14298,4,215
14298,4,230
14298,26,1315
14298,26,1343
14298,29,1469
14298,29,1479
14298,29,1480
14298,29,1492
14298,44,2205
14298,44,2216
14298,44,2220
14298,44,2221
14298,44,2238
14298,44,2239
14298,58,2927
14298,58,2928
14298,58,2950
14298,62,3125
14298,62,3135
14298,62,3138
14298,97,4866
14148,48,2401
14148,48,2404
14148,48,2432
14148,48,2448
14148,65,3256
14148,65,3257
14148,65,3295
14148,210,10517
14148,210,10543
14363,134,6705
14363,134,6712
14363,134,6722
14363,267,13377
14363,269,13490
14363,269,13493
15364,3,160
15364,3,167
15364,3,188
15364,12,613
15364,12,618
15364,12,630
15364,54,2738
14269,202,10145
14281,55,2799
14281,55,2800
14281,274,13720
14281,274,13728
14154,47,2358
14154,47,2367
14154,47,2396
14154,47,2397
14154,47,2399
14154,92,4618
14154,92,4633
14154,92,4640
14154,241,12051
14154,241,12064
15275,71,3552
15275,71,3563
15275,71,3566
15275,71,3579
15275,71,3596
15412,29,1458
15412,29,1461
15412,29,1486
15412,29,1489
15412,101,5069
15412,127,6354
15412,127,6385
15412,127,6388
15412,136,6805
15412,136,6814
15412,136,6817
15412,136,6822
15412,136,6823
15412,136,6834
15412,136,6847
15412,159,7956
15412,159,7988
15412,187,9377
14631,242,12112
14631,242,12117
14631,242,12147
14631,267,13364
14631,267,13385
14631,267,13388
14631,267,13393
14631,274,13723
14631,274,13724
14631,274,13728
14631,274,13731
14631,274,13746
14631,286,14319
14631,286,14322
14631,286,14334
14631,286,14340
14631,286,14342
14409,9,454
14409,9,460
14409,9,475
14409,9,486
14409,9,489
14409,9,491
14409,9,493
14409,184,9210
14409,184,9239
14409,266,13309
14409,266,13325
14409,266,13327
14409,266,13346
15407,7,351
15407,7,353
15407,7,358
15407,7,388
15407,111,5564
15407,111,5585
15407,111,5586
15407,111,5587
15407,111,5595
15407,111,5598
15407,333,16653
15407,333,16681
14277,243,12156
14277,243,12172
